board_id,arm_id,stratum,setup_source,player_color,ordinal,match_id,opponent_policy,outcome,effective_score,winner,terminal_reason,plies,player_decisions,seconds,player_seconds,seconds_per_player_move,move_changes,move_change_rate,c1_forwards
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=00,direct_c1,phase9_selfplay,neutral,blue,0,m-b4e99c9ccfba2b6b46cfec3c,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,blue,flag_capture,438,219,0.8163,0.3892,0.00178,0,,219
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=00,search_agent1c,phase9_selfplay,neutral,blue,0,m-b4e99c9ccfba2b6b46cfec3c,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,blue,flag_capture,302,151,50.4863,50.1355,0.33202,26,0.17219,133327
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=00,search_oracle,phase9_selfplay,neutral,blue,0,m-b4e99c9ccfba2b6b46cfec3c,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,blue,flag_capture,208,104,4.56,4.3379,0.04171,12,0.11538,5846
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=00,search_original_phase11,phase9_selfplay,neutral,blue,0,m-b4e99c9ccfba2b6b46cfec3c,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,blue,flag_capture,278,139,46.764,45.7491,0.32913,21,0.15108,123583
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=00,search_remaining_count,phase9_selfplay,neutral,blue,0,m-b4e99c9ccfba2b6b46cfec3c,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,blue,flag_capture,238,119,40.6708,39.0655,0.32828,14,0.11765,105891
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=01,direct_c1,phase9_selfplay,neutral,blue,1,m-56b0ca351ff8d302e727c76b,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,319,159,0.6066,0.2862,0.0018,0,,159
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=01,search_agent1c,phase9_selfplay,neutral,blue,1,m-56b0ca351ff8d302e727c76b,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,blue,flag_capture,102,51,15.6911,15.5746,0.30538,6,0.11765,41803
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=01,search_oracle,phase9_selfplay,neutral,blue,1,m-56b0ca351ff8d302e727c76b,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,blue,flag_capture,112,56,2.4167,2.2979,0.04103,8,0.14286,3125
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=01,search_original_phase11,phase9_selfplay,neutral,blue,1,m-56b0ca351ff8d302e727c76b,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,151,75,23.7917,23.6177,0.3149,9,0.12,63045
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=01,search_remaining_count,phase9_selfplay,neutral,blue,1,m-56b0ca351ff8d302e727c76b,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,blue,flag_capture,106,53,15.3243,15.2022,0.28683,10,0.18868,41133
