board_id,arm_id,stratum,setup_source,player_color,ordinal,match_id,opponent_policy,outcome,effective_score,winner,terminal_reason,plies,player_decisions,seconds,player_seconds,seconds_per_player_move,c1_forwards,fallbacks
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=00,player_direct,phase9_selfplay,neutral,blue,0,m-b4e99c9ccfba2b6b46cfec3c,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,blue,flag_capture,438,219,0.829,0.4041,0.00185,219,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=blue|g=00,player_search_tiny,phase9_selfplay,neutral,blue,0,m-b4e99c9ccfba2b6b46cfec3c,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,blue,flag_capture,220,110,14.198,13.8307,0.12573,34942,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=red|g=00,player_direct,phase9_selfplay,neutral,red,0,m-eeb1dc74b89a29f12748e586,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,blue,flag_capture,558,279,1.032,0.5018,0.0018,279,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=red|g=00,player_search_tiny,phase9_selfplay,neutral,red,0,m-eeb1dc74b89a29f12748e586,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,blue,flag_capture,106,53,6.754,6.3862,0.12049,16285,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=00,player_direct,phase9_selfplay,p10d,blue,0,m-d64783b6c763c3c4b3c1cf9f,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,1,0,0.0019,0.0,,0,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=00,player_search_tiny,phase9_selfplay,p10d,blue,0,m-d64783b6c763c3c4b3c1cf9f,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,1,0,0.0018,0.0,,0,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=00,player_direct,phase9_selfplay,p10d,red,0,m-2727ffea0e68a65a5c76dfc9,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,blue,flag_capture,744,372,1.4617,0.6896,0.00185,372,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=00,player_search_tiny,phase9_selfplay,p10d,red,0,m-2727ffea0e68a65a5c76dfc9,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,blue,flag_capture,278,139,18.2282,17.2804,0.12432,44073,0
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=00,player_direct,scout_rush,neutral,blue,0,m-cb06f1595f9c63379df72494,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.0025,0.002,0.00195,1,0
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=00,player_search_tiny,scout_rush,neutral,blue,0,m-cb06f1595f9c63379df72494,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.0905,0.09,0.08996,217,0
