position_id,preset_id,arm,replay,ply,unresolved,action_id,oracle_q_regret,legal,seconds,candidates,tau,tau_r,argmax_action_id,direct_action_id,changed_from_argmax,move_changed_vs_direct,matches_control,matches_oracle,search_seconds,c1_forwards,unique_worlds
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,oracle_reference,0,12,37,2829,0.045536,1,0.04072,8,,,,,,,,,,,
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,0,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,1,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,2,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,3,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,4,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,5,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,6,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,7,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,8,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,9,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,10,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,11,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,12,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,13,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,14,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t000_r000,15,12,37,2829,0.045536,1,,8,0.0,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,0,12,37,3545,0.195404,1,,8,0.15,0.0,2829,2829,1,1,0,0,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,1,12,37,2829,0.045536,1,,8,0.15,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,2,12,37,3545,0.195404,1,,8,0.15,0.0,2829,2829,1,1,0,0,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,3,12,37,3545,0.195404,1,,8,0.15,0.0,2829,2829,1,1,0,0,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,4,12,37,3141,0.239894,1,,8,0.15,0.0,2829,2829,1,1,0,0,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,5,12,37,2829,0.045536,1,,8,0.15,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,6,12,37,3545,0.195404,1,,8,0.15,0.0,2829,2829,1,1,0,0,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,7,12,37,2829,0.045536,1,,8,0.15,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,8,12,37,2829,0.045536,1,,8,0.15,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,9,12,37,2829,0.045536,1,,8,0.15,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,10,12,37,2829,0.045536,1,,8,0.15,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,11,12,37,2829,0.045536,1,,8,0.15,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,12,12,37,2829,0.045536,1,,8,0.15,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,13,12,37,2829,0.045536,1,,8,0.15,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,14,12,37,2829,0.045536,1,,8,0.15,0.0,2829,2829,0,0,1,1,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t015_r000,15,12,37,3141,0.239894,1,,8,0.15,0.0,2829,2829,1,1,0,0,0.46597,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t030_r000,0,12,37,4454,0.217478,1,,8,0.3,0.0,2829,2829,1,1,0,0,0.46597,321,8
