ordinal,candidate_id,nominal_hour,iteration,elapsed_active_training_seconds,active_hours,move_ema_model_state_digest,setup_ema_model_state_digest,bundle_file_sha256,move_only_ewr,move_only_se,move_only_wins,move_only_draws,move_only_losses,joint_ewr,joint_se,joint_wins,joint_draws,joint_losses,mean_ewr,move_only_worst_stratum,move_only_worst_stratum_family,move_only_worst_stratum_ewr,joint_worst_stratum,joint_worst_stratum_family,joint_worst_stratum_ewr,worst_stratum_lane,worst_stratum,worst_stratum_ewr,worst_stratum_games,move_only_neural_block_ewr,joint_neural_block_ewr,neural_block_games,move_only_nonneural_block_ewr,joint_nonneural_block_ewr,min_neural_block_ewr,move_entropy,move_entropy_normalized,move_mean_kl,move_kl_beta,move_learning_rate,move_clip_fraction,move_mean_game_length,setup_alpha,setup_final_epoch_kl,setup_empirical_entropy,setup_predicted_entropy,setup_adv_entropy_to_outcome_abs_ratio,setup_concentration_measured_at_iteration,setup_flag_effective_support,setup_mean_prefix_entropy_nats,setup_percent_of_baseline,setup_crosses_relative_floor,joint_distinct_setup_fingerprints,joint_setup_cases,has_training_telemetry_row,training_stop_predicates,training_warnings,setup_legality_failures,setup_orientation_failures,setup_fallback_attempts,move_non_finite_gradients,receipt_status,result_digest,receipt_digest,rows_reproduce_result_digest,rolling3_move_only_ewr,rolling3_joint_ewr,rolling3_mean_ewr,rolling3_worst_stratum_ewr
0,RUN-2026-B-cand-000,0.0,0,0.0,0.0,f1df694d59e3435994be06f2537d9c603749bc072fc39bf021aac79f2dffcefd,9dc73986f4e31f0654c8432ecf49eea001d75c34aa58975ea63dfb7c1e5207aa,0a9fe8528ee52709cee75c1038c04436d1be641999e036f7bae60f6644dc1949,0.754167,0.0388,89,3,28,0.6625,0.043144,79,1,40,0.708333,p24,by_opponent,0.458333,strategic_rule_based,by_opponent,0.333333,joint_move_setup,strategic_rule_based,0.333333,12,0.513889,0.555556,36,0.857143,0.708333,0.513889,,,,,,,,,,,,,,,,,,120,120,False,0,0,0,0,0,0,ok,6d4dd4ebfd0d9125f8627e8e67cffd2a1a07247f1a93cf0196de80d6018345ca,3cac9d3c81505edc8e30e673b5dfcb9a6214f715c5e9f41c03457c57d32daee5,True,,,,
1,RUN-2026-B-cand-001,0.5,26,1844.6893350850007,0.5124,bef41c235a6ce270829468d607af6ba35973514f826b7a62887678b05ca4c9db,c3f6eaff058fd23ce162737ee11cd5afe12ac69fcdf0415af502a619c330376e,05185269e930f1dea848e1ea32a34106ae2d62d5fd0fbb9bafd02e3819940d3e,0.725,0.040502,86,2,32,0.654167,0.042586,76,5,39,0.689584,p24,by_opponent,0.25,p18,by_opponent,0.333333,move_only,p24,0.25,12,0.430556,0.486111,36,0.85119,0.72619,0.430556,1.28518,0.409682,0.01908035,0.005,0.00015,0.148129,170.171,0.037628,0.00649215,1.768981,0.070748,1.103212,25,31.7978,1.779909,115.3617,False,120,120,True,0,0,0,0,0,0,ok,4fe5dfe5049bbec38095b6986472b9554387c5bded6f4b83b1d9a37ee6236ed5,9898e8e3d306c719d88837b0bfa0ca9ca730c5334a16e86dcdef04a72af31a31,True,,,,
2,RUN-2026-B-cand-002,1.0,46,3634.975630543999,1.0097,e103bf6dcc980fad7fa6e896e0fe767b3ed747b44a7f594dd0b7d3c243646a87,bb8203cece3452baa81ddce2832601fb2dac1e7a149056965c57129eb28c575b,d68ace1928230f5decad901a322c76ed61728ba149673aea0602f161d09233bd,0.716667,0.040451,84,4,32,0.6,0.044517,71,2,47,0.658334,p18,by_opponent,0.375,p18,by_opponent,0.083333,joint_move_setup,p18,0.083333,12,0.430556,0.222222,36,0.839286,0.761905,0.222222,1.040867,0.335719,0.0223638,0.005,0.00015,0.154704,136.595,0.031708,0.00602648,1.758036,0.064304,0.957442,25,31.7978,1.779909,115.3617,False,120,120,True,0,0,0,0,0,0,ok,85b6bf0c4f81e7169afa937b00c8414f24d8c193a20e3561cf0e9db8098eb603,22c7d43dffedf6c38bfe7a0b4d289e9d4549e15a4fbda3c1201aeaf1f9b4ca12,True,0.725,0.654167,0.689584,0.25
3,RUN-2026-B-cand-003,1.5,66,5470.785122334998,1.5197,e26b7e987fb6f51e661b4d263d9546b021159b7f0d86321241f51056422fa880,041c6db216c5934048c214b26983e31f962dfcefced7348b19fb2b69c5127b86,e842ffe4e520b096cd1daf42cfac26c5f3c2566a1094987b1847b6b4d59d35eb,0.679167,0.042173,80,3,37,0.575,0.043744,65,8,47,0.627083,p18,by_opponent,0.416667,p18,by_opponent,0.25,joint_move_setup,p18,0.25,12,0.513889,0.305556,36,0.75,0.690476,0.305556,0.945549,0.309175,0.02157614,0.005,0.00015,0.143675,154.534,0.028454,0.00488834,1.752679,0.075458,1.095919,50,28.1091,1.760285,114.0898,False,120,120,True,0,0,0,0,0,0,ok,62489cacaccfc458b3beb5d24004d374d690d3bcda266331a4a7a2d9576f1619,448ab441b21bb5be3d3ced1d890be1897ab020a2e0d2eed7f3647493819ac015,True,0.716667,0.6,0.658334,0.25
4,RUN-2026-B-cand-004,2.0,85,7205.0951314979975,2.0014,4fc524680c9db88504f1736d26b806a2515a55b51b4f2771b682c2b99a6fa127,4383109f220ae665d19d1da106683ab07e4d2193ccfe4e254ab2aa6107eefdc5,ee770e994deb9bbf54a2b05531551d4feffc5a904b9b93011bebe554954a34c6,0.683333,0.041393,79,6,35,0.541667,0.043717,60,10,50,0.6125,phase9_anchor,by_opponent,0.25,p18,by_opponent,0.25,move_only,phase9_anchor,0.25,12,0.388889,0.319444,36,0.809524,0.636905,0.319444,0.779911,0.260279,0.02338337,0.005,0.00014032318270056844,0.157627,148.237,0.026374,0.00571151,1.727216,0.065043,0.939034,75,26.6067,1.732871,112.313,False,120,120,True,0,0,0,0,0,0,ok,edf419f1b0045fd3fb582e9d14356ddcb8c59b21b332b326e847e0501c5ebabd,4b019be0d538e9927d5e0570476ec3130fb36d4d35816beb71ebd3ead43503ea,True,0.683333,0.575,0.627083,0.25
5,RUN-2026-B-cand-005,2.5,106,9084.329209580996,2.5234,dce4c62ec19b88ed64a49cb884ac655bfc3a54fcd5aa7580bd46d99f308d80f7,43c3c6a252291688af16f390b31eb5733d167552a0c46d52743f824c8cca3e3f,5af008d566f0a581a11834766d27966b0940daaf4dc561b351f8b654e1727d09,0.716667,0.039576,82,8,30,0.629167,0.042463,71,9,40,0.672917,p24,by_opponent,0.416667,p24,by_opponent,0.291667,joint_move_setup,p24,0.291667,12,0.458333,0.444444,36,0.827381,0.708333,0.444444,0.728574,0.239141,0.01933901,0.005,0.00011006615440618185,0.137692,145.898,0.024684,0.00553565,1.691543,0.069744,0.846521,100,13.9358,1.684641,109.187,False,120,120,True,0,0,0,0,0,0,ok,e52faf027f4638733d4bbafb4515a190fc0dce48e8dd87d7c7a28db9851e322b,6942ff95701ffa8c5f0d78ade2f9355cf3820185cd64c783e215944cb906f87d,True,0.683333,0.575,0.627083,0.25
6,RUN-2026-B-cand-006,3.0,126,10875.406163126,3.0209,69a54bf950a50d3147133ece7da0d54d76d92321891d9a463412a95b92dee862,677bf716c2fac4adb092c9a6ef0aba39910443d0ca39262ca9bdd10ba6ebc3df,097e37979de640283318858b925504295b3e922691660bbb681984171e226f2b,0.675,0.03998,74,14,32,0.629167,0.042463,71,9,40,0.652084,p24,by_opponent,0.25,p24,by_opponent,0.333333,move_only,p24,0.25,12,0.375,0.458333,36,0.803571,0.702381,0.375,0.645875,0.21803,0.01352552,0.005,9.100864432528592e-05,0.112563,151.018,0.023436,0.0048887,1.702218,0.068795,1.248264,125,26.9922,1.704936,110.5024,False,120,120,True,0,0,0,0,0,0,ok,e2f89f8805a66490f25969718d13d4be8d66ff0811e0475c3fed4dd25a9b41d0,f5a982ecb5c0b0137ca76567d06a4de3a1f99ed85abf71908cb0dc3257d6ff13,True,0.683333,0.629167,0.652084,0.25
7,RUN-2026-B-cand-007,3.5,148,12607.137453292997,3.502,e68e7b19f504fce612a7de7d3262c663ee85e98963c88a9d25c9fbdd5acfb866,3b9578619216699206017eebd503bfa8f53b61911431cb59572c34991eb8c8ea,bc8084488a3a6a41fae584b5b664a37f4a568af9bce5c6a8c1008829b2efda59,0.704167,0.039912,80,9,31,0.495833,0.044476,56,7,57,0.6,p18,by_opponent,0.333333,p18,by_opponent,0.083333,joint_move_setup,p18,0.083333,12,0.430556,0.152778,36,0.821429,0.642857,0.152778,0.64817,0.218034,0.0119415,0.005,7.624341804931821e-05,0.097132,160.142,0.022332,0.00561466,1.686563,0.074327,0.797899,125,26.9922,1.704936,110.5024,False,120,120,True,0,0,0,0,0,0,ok,9d7674a43219d21926f0b740439991bf2df7cc8a9ac3c5ace64d9f7fb22f0182,0fecf8df1246c1012825535b60a292b763812673e00e624ad5ba32dac6ad189f,True,0.704167,0.629167,0.652084,0.25
8,RUN-2026-B-cand-008,4.0,173,14485.683713253004,4.0238,3778917a14ca4b7f80bdf6c99b37abaa5f51e9a5a882ca72a07ebc2c27bbc70e,8772417d37f04da5706dd622c35b935a04d5fe3bea2ede0cf42709e2b6228edf,53e369256ec2670c342d350fadf501cf45c0d21752e92ab3fa62392d0d064b83,0.695833,0.039824,78,11,31,0.704167,0.039471,79,11,30,0.7,p18,by_opponent,0.416667,phase9_anchor,by_opponent,0.375,joint_move_setup,phase9_anchor,0.375,12,0.458333,0.444444,36,0.797619,0.815476,0.444444,0.626126,0.209019,0.01227639,0.005,6.42154501503299e-05,0.10002,156.714,0.02131,0.00605003,1.653188,0.077372,0.991734,150,17.4564,1.680105,108.8931,False,120,120,True,0,0,0,0,0,0,ok,ff3e8432c94ad9151105ce433ebc5ffab27e14f8b90a851c9ee225774190a618,b059694880ae077fde5bc63e50be73df43bde1800a04df066d69ba59959d9bf4,True,0.695833,0.629167,0.652084,0.25
9,RUN-2026-B-cand-009,4.5,195,16213.015966505001,4.5036,ae0c067f1f4c69be10149b4f2cbe4dc17e4e3c91f0d7cd08d9202ba354bcb67f,a5923c602539cc1519e73d36bc95ab1cc7d4520402f6f03c72b250413060a9b5,2b259ece8a43f445c15ab83aa824d91070204fa57167a8304b65672d02960576,0.679167,0.03916,73,17,30,0.595833,0.041122,62,19,39,0.6375,p24,by_opponent,0.291667,p24,by_opponent,0.208333,joint_move_setup,p24,0.208333,12,0.416667,0.361111,36,0.791667,0.696429,0.361111,0.569121,0.192771,0.00907253,0.0025,5.629271202417116e-05,0.089143,159.906,0.020558,0.00452445,1.637105,0.07695,1.286896,175,12.9944,1.646291,106.7014,False,120,120,True,0,0,0,0,0,0,ok,874bccaceb76585398b824436adbffce438417f696d76869e34e0f0b4947f8d3,bd98e3dcd30f493ac5d63c52081cc78c46368f3842190ee5f1b5c6d3300fb1a9,True,0.695833,0.595833,0.6375,0.208333
