iteration,elapsed_active_training_seconds,total_seconds,collection_seconds,move_optimization_seconds,setup_generation_seconds,setup_optimization_seconds,checkpoint_seconds,memory_high_water_mib,move_transitions_harvested,move_games_completed,move_mean_game_length,move_learning_rate,move_entropy,move_entropy_normalized,move_entropy_coefficient,move_mean_kl,move_clip_fraction,move_optimizer_steps,move_non_finite_gradients,move_raw_model_state_digest,move_ema_model_state_digest,move_ledger_holds,move_distinct_acting_model_states,move_historical_participants,move_search_participants,move_rule_or_stress_decisions,setup_updated,setup_alpha,setup_kl_coefficient,setup_final_epoch_kl,setup_empirical_entropy,setup_predicted_entropy,setup_episodes_consumed,setup_optimizer_steps,setup_legality_failures,setup_orientation_failures,setup_fallback_attempts,setup_ema_model_state_digest,setup_adv_entropy_term_abs_mean,setup_adv_outcome_term_abs_mean,setup_adv_entropy_to_outcome_abs_ratio,setup_adv_information_nats_mean,stop_predicates,warnings,export_ordinals
1,68.304,68.304,37.862,27.567,2.117,0.717,4.402,6948.3,65536,115,138.87,0.00015,1.760699,0.577918,0.005,0.01402027,0.178138,128,0,a7b11bcdd5237aec524d1c10be588479c686aadd3ffdb426de06e892c5845a12,fece2191f106fedbc93585e5a8b00db8f8ab0b474097adb121b06423c8983264,True,1,0,0,0,True,0.1,0.1,0.00789062,1.669412,5.109749,230,20,0,0,0,251b4640028adef1a4739181362684ac5d29ffbeddd2827c6def52c6d8b4928c,2.775921,1.000661,2.7753,27.607595,,,
2,134.777,66.473,37.005,27.287,1.429,0.705,4.177,10770.2,65536,256,272.56,0.00015,1.707317,0.551374,0.004061261981781178,0.01283825,0.164376,128,0,06cef294757d2863c17ade9c9198889ffa44fdb0238d22d99bd5767da02da575,0edf91fd652427b2cc6d93c362af67aff3b8ca8b273c6f93f48724b45b944f50,True,2,0,0,0,True,0.08122523963562356,0.1,0.00873897,1.659159,1.539173,512,40,0,0,0,741f8363315873b33844f969a5c9e49197b647bc685abc26dff126b007dd4902,2.212679,1.001137,2.212267,27.486833,,,
3,198.613,63.836,33.351,27.6,1.51,1.328,4.869,11391.5,65536,208,292.51,0.00015,1.693084,0.545836,0.0035961154666243216,0.01056459,0.146681,128,0,dd95c4901a748bfa1dfda50a9004ed5d13c7b986b33f2737658f340d3ec699ac,9176a0ef20d09a9f4b0df45a93b0346ceb4358c5869bec8ab91d4b56a50fc993,True,3,0,0,0,True,0.07192230933248643,0.1,0.00978943,1.670634,0.258192,416,35,0,0,0,f611e9a2b51f2d681ce4feb25c3368b32d1ca2def07bc58f173364de61febd16,1.882412,1.001509,1.884866,27.504723,,,
4,265.452,66.839,36.603,27.236,1.595,1.353,4.8,12235.3,65536,229,289.76,0.00015,1.659765,0.536985,0.0032987697769322356,0.01439904,0.165955,128,0,e1f04d26c9ebfec65b8c997be6ea4ed7a03ec6f24bb130f6441141664b075487,e52ec0b838dbd6236947cf060fb50cf71cb6bea5fe1610108b6ecfbc92c099a2,True,4,0,0,0,True,0.06597539553864472,0.1,0.00786698,1.683649,0.15694,458,40,0,0,0,10c77e286a0eb35e2440e39384ba7fd76d5046b8d9c7ca35b4bfc284951d0bd5,1.688065,0.99718,1.717952,27.741477,,,
5,329.979,64.527,34.435,27.353,1.532,1.154,4.71,12621.2,65536,236,290.69,0.00015,1.687321,0.545284,0.003085169313600048,0.01413329,0.160345,128,0,58e86476a9806946b4de1b737c7b0c5efac0121ff66b96cffeb4f21891fc1007,8b5b5c6e82c56426c6e8640071baa3da9f57d43e589182b0ba38c3c6abdb8aa6,True,5,0,0,0,True,0.06170338627200096,0.1,0.00593939,1.685317,0.121011,472,40,0,0,0,87f510718a09625580e13b2053d33299a98f134c70ff383842c66e45eb529bff,1.571709,0.992117,1.66204,27.982839,,,
6,393.525,63.547,33.637,27.425,1.418,1.009,5.536,13041.3,65536,195,289.98,0.00015,1.727983,0.553895,0.0029209534053393276,0.01476596,0.167573,128,0,feea3d4cb587d28d07ce48c703aa13f77f8dcba7b2a0619c117630e4bc00e8cc,fdbc57e0cd74396c8cdca70d8a19000e48d23c28a97dc149aae3e86757ab3c23,True,6,0,0,0,True,0.058419068106786556,0.1,0.00579272,1.683454,0.116411,390,35,0,0,0,da30b041d549aa592e16086cd02a84fa7d59e0fddc4074d4bad9ea71d4367c5c,1.472746,0.999209,1.475363,27.834881,,,
7,460.997,67.472,37.221,27.724,1.557,0.915,4.949,13042.3,65536,244,300.89,0.00015,1.599407,0.513796,0.0027889491265162304,0.01526241,0.163605,128,0,e9e547d1d1fb021f87fb03361de557644d550d6dd669d435d3f07df7f439a03d,47e3878a37513ab38975c5225440795e0749544f70094061c7dd05dcfef4cbda,True,7,0,0,0,True,0.05577898253032461,0.1,0.00519485,1.695265,0.101825,488,40,0,0,0,92412cf7b10f9fce76da4f27b33ded28a0f18cdf0c650318a64db2e71dd3c23f,1.407735,0.995497,1.516296,27.99821,,,
8,527.64,66.643,36.267,28.047,1.516,0.759,4.949,13042.3,65536,243,271.18,0.00015,1.637909,0.525454,0.002679433656340733,0.01489913,0.161133,128,0,2aec2db25d4ac4344edbb3258934957b986f4e8decf506cee842375183c895b4,5e5da26b0ea94f61d629517fe03cc0a11f6b5d8e1bc77d65d2622a087a68b068,True,8,0,0,0,True,0.05358867312681466,0.1,0.00615147,1.711043,0.088393,486,40,0,0,0,bffb4cce9f240ea7fa04894d370eb483007548e2cf156c78ffa6133909db9898,1.385429,1.000069,1.387676,28.712216,,,
9,595.557,67.917,36.837,27.997,1.959,1.075,4.956,13042.3,65536,239,276.23,0.00015,1.631506,0.521413,0.002586409289858933,0.01634489,0.168725,128,0,bb6c5cfb73abc53f72dbcd977ce3dd3fed5974dc8f7d947e12c1e491c74ec90a,1fa4fa514907b6929ef9604f1bc5c7476fb8109ff31e2363f9e25062354f096e,True,9,0,0,0,True,0.051728185797178666,0.1,0.00499875,1.714725,0.095022,478,40,0,0,0,1ae4aaf300c3dedb56dab78d4c02ab7e96d2d441f49845e07f0374c353d3cea9,1.33009,1.000668,1.331487,28.582614,,,
10,664.461,68.903,38.085,28.017,1.718,1.034,5.159,13396.4,65536,230,274.86,0.00015,1.601398,0.511505,0.0025059361681363614,0.01601183,0.165978,128,0,17431c62e3fd0b9b971f427d77330fb5d656d5c7ae528b60c0a60b5c9f89fd58,789137fae6326ab708844e17d1f08cfd7381ff424802c73da01dccafa0e5a482,True,10,0,0,0,True,0.05011872336272723,0.1,0.00621413,1.715235,0.090086,460,40,0,0,0,b8f1a5508872503113adfca9c6991b618e10b21e12a6960b039d6b5cfb7e872b,1.29963,0.997999,1.305388,28.8351,,,
