[coadapt 01:02:24] verifying the accepted corpus identity and every payload
[coadapt 01:03:37] fresh lineage: setup init digest c0f532e75d80 (ckpt_1024 EMA c0f532e75d80), C1 init cfe60bb0cb34
[coadapt 01:05:45] [control] period 1/256: games 1141 (in flight 2551), c1 step 64, setup frozen, 120.54 s, bundle 2feec01b324e
[coadapt 01:05:46] period 1/256 in 129 s
[coadapt 01:05:52] verifying the accepted corpus identity and every payload
[coadapt 01:07:13] resumed from bundle_0001 at period 1
[coadapt 01:09:23] [control] period 2/256: games 2007 (in flight 2547), c1 step 128, setup frozen, 129.728 s
[coadapt 01:11:29] [control] period 3/256: games 1843 (in flight 2551), c1 step 192, setup frozen, 125.951 s
[coadapt 01:13:35] [control] period 4/256: games 1857 (in flight 2551), c1 step 256, setup frozen, 126.408 s
[coadapt 01:15:42] [control] period 5/256: games 1841 (in flight 2549), c1 step 320, setup frozen, 126.812 s
[coadapt 01:17:49] [control] period 6/256: games 1875 (in flight 2550), c1 step 384, setup frozen, 127.338 s
[coadapt 01:19:57] [control] period 7/256: games 1882 (in flight 2552), c1 step 448, setup frozen, 127.677 s
[coadapt 01:22:12] [control] period 8/256: games 1899 (in flight 2545), c1 step 512, setup frozen, 134.82 s
[coadapt 01:24:19] [control] period 9/256: games 1935 (in flight 2544), c1 step 576, setup frozen, 127.576 s
[coadapt 01:26:28] [control] period 10/256: games 1862 (in flight 2551), c1 step 640, setup frozen, 128.363 s
[coadapt 01:28:37] [control] period 11/256: games 1928 (in flight 2552), c1 step 704, setup frozen, 129.264 s
[coadapt 01:30:45] [control] period 12/256: games 1913 (in flight 2549), c1 step 768, setup frozen, 128.164 s
[coadapt 01:32:53] [control] period 13/256: games 1863 (in flight 2547), c1 step 832, setup frozen, 128.166 s
[coadapt 01:35:02] [control] period 14/256: games 1864 (in flight 2551), c1 step 896, setup frozen, 128.766 s
[coadapt 01:37:12] [control] period 15/256: games 1881 (in flight 2552), c1 step 960, setup frozen, 129.349 s
[coadapt 01:39:27] [control] period 16/256: games 1889 (in flight 2557), c1 step 1024, setup frozen, 135.368 s
[coadapt 01:41:37] [control] period 17/256: games 1845 (in flight 2549), c1 step 1088, setup frozen, 129.759 s
[coadapt 01:43:46] [control] period 18/256: games 1852 (in flight 2550), c1 step 1152, setup frozen, 129.189 s
[coadapt 01:45:55] [control] period 19/256: games 1885 (in flight 2556), c1 step 1216, setup frozen, 129.352 s
[coadapt 01:48:06] [control] period 20/256: games 1939 (in flight 2551), c1 step 1280, setup frozen, 130.903 s
[coadapt 01:50:17] [control] period 21/256: games 1911 (in flight 2552), c1 step 1344, setup frozen, 130.298 s
[coadapt 01:52:27] [control] period 22/256: games 1898 (in flight 2553), c1 step 1408, setup frozen, 130.445 s
[coadapt 01:54:37] [control] period 23/256: games 1909 (in flight 2548), c1 step 1472, setup frozen, 130.195 s
[coadapt 01:56:54] [control] period 24/256: games 1862 (in flight 2554), c1 step 1536, setup frozen, 136.573 s
[coadapt 01:59:05] [control] period 25/256: games 1871 (in flight 2554), c1 step 1600, setup frozen, 130.982 s
[coadapt 02:01:16] [control] period 26/256: games 1891 (in flight 2549), c1 step 1664, setup frozen, 130.796 s
[coadapt 02:03:27] [control] period 27/256: games 1901 (in flight 2554), c1 step 1728, setup frozen, 130.889 s
[coadapt 02:05:37] [control] period 28/256: games 1848 (in flight 2551), c1 step 1792, setup frozen, 129.675 s
[coadapt 02:07:48] [control] period 29/256: games 1894 (in flight 2548), c1 step 1856, setup frozen, 130.9 s
[coadapt 02:09:59] [control] period 30/256: games 1908 (in flight 2550), c1 step 1920, setup frozen, 131.407 s
[coadapt 02:12:11] [control] period 31/256: games 1882 (in flight 2552), c1 step 1984, setup frozen, 131.749 s
[coadapt 02:14:41] [control] period 32/256: games 1886 (in flight 2555), c1 step 2048, setup frozen, 136.123 s, bundle fc20a7799be6
[coadapt 02:16:53] [control] period 33/256: games 1928 (in flight 2546), c1 step 2112, setup frozen, 131.518 s
[coadapt 02:19:04] [control] period 34/256: games 1885 (in flight 2556), c1 step 2176, setup frozen, 131.006 s
[coadapt 02:21:15] [control] period 35/256: games 1889 (in flight 2552), c1 step 2240, setup frozen, 131.292 s
[coadapt 02:23:26] [control] period 36/256: games 1874 (in flight 2553), c1 step 2304, setup frozen, 131.207 s
[coadapt 02:25:38] [control] period 37/256: games 1843 (in flight 2549), c1 step 2368, setup frozen, 132.005 s
[coadapt 02:27:50] [control] period 38/256: games 1905 (in flight 2551), c1 step 2432, setup frozen, 131.898 s
[coadapt 02:30:02] [control] period 39/256: games 1871 (in flight 2550), c1 step 2496, setup frozen, 131.308 s
[coadapt 02:32:18] [control] period 40/256: games 1844 (in flight 2550), c1 step 2560, setup frozen, 136.139 s
[coadapt 02:34:30] [control] period 41/256: games 1892 (in flight 2553), c1 step 2624, setup frozen, 131.478 s
[coadapt 02:36:42] [control] period 42/256: games 1912 (in flight 2549), c1 step 2688, setup frozen, 131.939 s
[coadapt 02:38:53] [control] period 43/256: games 1837 (in flight 2553), c1 step 2752, setup frozen, 131.333 s
[coadapt 02:41:05] [control] period 44/256: games 1893 (in flight 2552), c1 step 2816, setup frozen, 131.515 s
[coadapt 02:43:16] [control] period 45/256: games 1890 (in flight 2550), c1 step 2880, setup frozen, 131.637 s
[coadapt 02:45:28] [control] period 46/256: games 1863 (in flight 2553), c1 step 2944, setup frozen, 131.655 s
