[g3 14:52:03] candidate: resumed from the latest complete verified bundle bundle_0001 at period 1
[g3 14:54:13] [candidate] period 2/256: games 2271 (in flight 2547), c1 step 128, setup update, 129.497 s
[g3 14:56:22] [candidate] period 3/256: games 2267 (in flight 2549), c1 step 192, setup update, 129.206 s
[g3 14:58:32] [candidate] period 4/256: games 2265 (in flight 2554), c1 step 256, setup update, 130.327 s
[g3 15:00:43] [candidate] period 5/256: games 2260 (in flight 2543), c1 step 320, setup update, 130.275 s
[g3 15:02:54] [candidate] period 6/256: games 2331 (in flight 2547), c1 step 384, setup update, 131.858 s
[g3 15:05:05] [candidate] period 7/256: games 2274 (in flight 2548), c1 step 448, setup update, 130.49 s
[g3 15:07:24] [candidate] period 8/256: games 2247 (in flight 2548), c1 step 512, setup update, 139.261 s
[g3 15:09:36] [candidate] period 9/256: games 2233 (in flight 2550), c1 step 576, setup update, 132.187 s
[g3 15:11:49] [candidate] period 10/256: games 2171 (in flight 2543), c1 step 640, setup update, 132.138 s
[g3 15:14:02] [candidate] period 11/256: games 2235 (in flight 2550), c1 step 704, setup update, 133.082 s
[g3 15:16:16] [candidate] period 12/256: games 2272 (in flight 2544), c1 step 768, setup update, 134.183 s
[g3 15:18:30] [candidate] period 13/256: games 2293 (in flight 2543), c1 step 832, setup update, 134.129 s
[g3 15:20:43] [candidate] period 14/256: games 2212 (in flight 2548), c1 step 896, setup update, 133.283 s
[g3 15:22:57] [candidate] period 15/256: games 2227 (in flight 2552), c1 step 960, setup update, 134.043 s
[g3 15:25:17] [candidate] period 16/256: games 2206 (in flight 2548), c1 step 1024, setup update, 139.529 s
[g3 15:27:32] [candidate] period 17/256: games 2144 (in flight 2547), c1 step 1088, setup update, 134.463 s
[g3 15:29:46] [candidate] period 18/256: games 2128 (in flight 2550), c1 step 1152, setup update, 134.124 s
[g3 15:32:00] [candidate] period 19/256: games 2200 (in flight 2552), c1 step 1216, setup update, 134.702 s
[g3 15:34:16] [candidate] period 20/256: games 2155 (in flight 2550), c1 step 1280, setup update, 135.157 s
[g3 15:36:30] [candidate] period 21/256: games 2162 (in flight 2552), c1 step 1344, setup update, 134.308 s
[g3 15:38:44] [candidate] period 22/256: games 2186 (in flight 2551), c1 step 1408, setup update, 134.381 s
[g3 15:41:00] [candidate] period 23/256: games 2130 (in flight 2550), c1 step 1472, setup update, 135.069 s
[g3 15:43:21] [candidate] period 24/256: games 2125 (in flight 2548), c1 step 1536, setup update, 141.85 s
[g3 15:45:36] [candidate] period 25/256: games 2047 (in flight 2549), c1 step 1600, setup update, 134.805 s
[g3 15:47:53] [candidate] period 26/256: games 2187 (in flight 2555), c1 step 1664, setup update, 136.766 s
[g3 15:50:08] [candidate] period 27/256: games 2105 (in flight 2549), c1 step 1728, setup update, 135.113 s
[g3 15:52:24] [candidate] period 28/256: games 2131 (in flight 2544), c1 step 1792, setup update, 135.661 s
[g3 15:54:40] [candidate] period 29/256: games 2120 (in flight 2546), c1 step 1856, setup update, 135.409 s
[g3 15:56:55] [candidate] period 30/256: games 2051 (in flight 2553), c1 step 1920, setup update, 135.103 s
[g3 15:59:12] [candidate] period 31/256: games 2118 (in flight 2552), c1 step 1984, setup update, 137.326 s
[g3 16:01:47] [candidate] period 32/256: games 2147 (in flight 2547), c1 step 2048, setup update, 141.974 s, bundle 0695333a12f7
[g3 16:04:04] [candidate] period 33/256: games 2090 (in flight 2551), c1 step 2112, setup update, 136.603 s
[g3 16:06:22] [candidate] period 34/256: games 2160 (in flight 2551), c1 step 2176, setup update, 137.976 s
[g3 16:08:37] [candidate] period 35/256: games 2119 (in flight 2545), c1 step 2240, setup update, 135.711 s
[g3 16:10:54] [candidate] period 36/256: games 2136 (in flight 2549), c1 step 2304, setup update, 136.465 s
[g3 16:13:10] [candidate] period 37/256: games 2132 (in flight 2553), c1 step 2368, setup update, 136.291 s
[g3 16:15:27] [candidate] period 38/256: games 2112 (in flight 2549), c1 step 2432, setup update, 136.305 s
[g3 16:17:44] [candidate] period 39/256: games 2114 (in flight 2549), c1 step 2496, setup update, 137.149 s
[g3 16:20:06] [candidate] period 40/256: games 2108 (in flight 2550), c1 step 2560, setup update, 142.417 s
[g3 16:22:24] [candidate] period 41/256: games 2097 (in flight 2554), c1 step 2624, setup update, 137.281 s
[g3 16:24:41] [candidate] period 42/256: games 2066 (in flight 2553), c1 step 2688, setup update, 136.959 s
[g3 16:26:57] [candidate] period 43/256: games 2060 (in flight 2553), c1 step 2752, setup update, 136.359 s
[g3 16:29:15] [candidate] period 44/256: games 2177 (in flight 2547), c1 step 2816, setup update, 137.603 s
[g3 16:31:32] [candidate] period 45/256: games 2095 (in flight 2551), c1 step 2880, setup update, 136.473 s
[g3 16:33:49] [candidate] period 46/256: games 2100 (in flight 2554), c1 step 2944, setup update, 137.524 s
[g3 16:36:12] [candidate] period 47/256: games 2082 (in flight 2554), c1 step 3008, setup update, 143.266 s
[g3 16:38:30] [candidate] period 48/256: games 2079 (in flight 2547), c1 step 3072, setup update, 137.634 s
[g3 16:40:49] [candidate] period 49/256: games 2104 (in flight 2552), c1 step 3136, setup update, 138.737 s
[g3 16:43:07] [candidate] period 50/256: games 2076 (in flight 2553), c1 step 3200, setup update, 137.459 s
[g3 16:45:25] [candidate] period 51/256: games 2085 (in flight 2551), c1 step 3264, setup update, 138.371 s
[g3 16:47:42] [candidate] period 52/256: games 2143 (in flight 2544), c1 step 3328, setup update, 137.084 s
[g3 16:50:00] [candidate] period 53/256: games 2049 (in flight 2554), c1 step 3392, setup update, 138.06 s
[g3 16:52:20] [candidate] period 54/256: games 2105 (in flight 2548), c1 step 3456, setup update, 139.637 s
[g3 16:54:45] [candidate] period 55/256: games 2107 (in flight 2553), c1 step 3520, setup update, 144.539 s
[g3 16:57:03] [candidate] period 56/256: games 2023 (in flight 2550), c1 step 3584, setup update, 138.431 s
[g3 16:59:24] [candidate] period 57/256: games 2122 (in flight 2552), c1 step 3648, setup update, 140.905 s
[g3 17:01:45] [candidate] period 58/256: games 2102 (in flight 2556), c1 step 3712, setup update, 140.698 s
[g3 17:04:03] [candidate] period 59/256: games 2030 (in flight 2547), c1 step 3776, setup update, 137.988 s
[g3 17:06:24] [candidate] period 60/256: games 2122 (in flight 2551), c1 step 3840, setup update, 140.244 s
[g3 17:08:44] [candidate] period 61/256: games 2029 (in flight 2550), c1 step 3904, setup update, 139.817 s
[g3 17:11:04] [candidate] period 62/256: games 2071 (in flight 2553), c1 step 3968, setup update, 140.405 s
[g3 17:13:30] [candidate] period 63/256: games 2073 (in flight 2544), c1 step 4032, setup update, 145.422 s
[g3 17:16:05] [candidate] period 64/256: games 2092 (in flight 2546), c1 step 4096, setup update, 141.694 s, bundle 6101c415a720
[g3 17:18:26] [candidate] period 65/256: games 2070 (in flight 2551), c1 step 4160, setup update, 140.688 s
[g3 17:20:47] [candidate] period 66/256: games 2041 (in flight 2548), c1 step 4224, setup update, 141.388 s
[g3 17:23:08] [candidate] period 67/256: games 2092 (in flight 2549), c1 step 4288, setup update, 140.731 s
[g3 17:25:29] [candidate] period 68/256: games 2058 (in flight 2547), c1 step 4352, setup update, 141.024 s
[g3 17:27:51] [candidate] period 69/256: games 2094 (in flight 2548), c1 step 4416, setup update, 141.443 s
[g3 17:30:13] [candidate] period 70/256: games 2070 (in flight 2552), c1 step 4480, setup update, 141.974 s
[g3 17:32:38] [candidate] period 71/256: games 2056 (in flight 2550), c1 step 4544, setup update, 145.123 s
[g3 17:34:59] [candidate] period 72/256: games 2040 (in flight 2554), c1 step 4608, setup update, 141.05 s
[g3 17:37:22] [candidate] period 73/256: games 2069 (in flight 2544), c1 step 4672, setup update, 142.443 s
[g3 17:39:44] [candidate] period 74/256: games 2093 (in flight 2553), c1 step 4736, setup update, 142.257 s
[g3 17:42:07] [candidate] period 75/256: games 2072 (in flight 2554), c1 step 4800, setup update, 142.914 s
[g3 17:44:29] [candidate] period 76/256: games 2019 (in flight 2548), c1 step 4864, setup update, 141.931 s
[g3 17:46:51] [candidate] period 77/256: games 2132 (in flight 2554), c1 step 4928, setup update, 141.552 s
[g3 17:49:16] [candidate] period 78/256: games 2093 (in flight 2543), c1 step 4992, setup update, 144.918 s
