[chain 01:55:49] candidate complete; starting control
[g3 01:57:13] control: resumed from the latest complete verified bundle bundle_0001 at period 1
[g3 01:59:24] [control] period 2/256: games 2272 (in flight 2546), c1 step 128, setup frozen, 131.432 s
[g3 02:01:32] [control] period 3/256: games 2235 (in flight 2550), c1 step 192, setup frozen, 127.185 s
[g3 02:03:39] [control] period 4/256: games 2226 (in flight 2549), c1 step 256, setup frozen, 127.531 s
[g3 02:05:47] [control] period 5/256: games 2186 (in flight 2555), c1 step 320, setup frozen, 127.911 s
[g3 02:07:55] [control] period 6/256: games 2224 (in flight 2547), c1 step 384, setup frozen, 127.699 s
[g3 02:10:04] [control] period 7/256: games 2312 (in flight 2547), c1 step 448, setup frozen, 129.009 s
[g3 02:12:22] [control] period 8/256: games 2230 (in flight 2548), c1 step 512, setup frozen, 138.062 s
[g3 02:14:32] [control] period 9/256: games 2290 (in flight 2551), c1 step 576, setup frozen, 129.872 s
[g3 02:16:42] [control] period 10/256: games 2220 (in flight 2547), c1 step 640, setup frozen, 129.999 s
[g3 02:18:52] [control] period 11/256: games 2247 (in flight 2546), c1 step 704, setup frozen, 130.01 s
[g3 02:21:02] [control] period 12/256: games 2240 (in flight 2550), c1 step 768, setup frozen, 130.323 s
[g3 02:23:12] [control] period 13/256: games 2184 (in flight 2550), c1 step 832, setup frozen, 129.52 s
[g3 02:25:23] [control] period 14/256: games 2299 (in flight 2555), c1 step 896, setup frozen, 131.539 s
[g3 02:27:34] [control] period 15/256: games 2219 (in flight 2555), c1 step 960, setup frozen, 130.878 s
[g3 02:29:51] [control] period 16/256: games 2262 (in flight 2547), c1 step 1024, setup frozen, 136.385 s
[g3 02:32:02] [control] period 17/256: games 2243 (in flight 2548), c1 step 1088, setup frozen, 131.333 s
[g3 02:34:14] [control] period 18/256: games 2195 (in flight 2553), c1 step 1152, setup frozen, 131.528 s
[g3 02:36:25] [control] period 19/256: games 2245 (in flight 2551), c1 step 1216, setup frozen, 131.737 s
[g3 02:38:38] [control] period 20/256: games 2239 (in flight 2546), c1 step 1280, setup frozen, 132.322 s
[g3 02:40:49] [control] period 21/256: games 2209 (in flight 2551), c1 step 1344, setup frozen, 130.936 s
[g3 02:43:01] [control] period 22/256: games 2234 (in flight 2551), c1 step 1408, setup frozen, 132.271 s
