[g3 08:39:02] control: resumed from the latest complete verified bundle bundle_0160 at period 160
[g3 08:39:02] control: progress after the bundle archived under /Users/brandonwashington/Dev/Github/stratego/gpt_agent/output/phase18/runtime/g3_pilot_v2/control/archive/20260904T123848Z_after_bundle_0160
[g3 08:41:17] [control] period 161/256: games 2380 (in flight 2549), c1 step 10304, setup frozen, 135.057 s
[g3 08:43:23] [control] period 162/256: games 2244 (in flight 2550), c1 step 10368, setup frozen, 125.737 s
[g3 08:45:28] [control] period 163/256: games 2281 (in flight 2549), c1 step 10432, setup frozen, 125.392 s
[g3 08:47:35] [control] period 164/256: games 2220 (in flight 2550), c1 step 10496, setup frozen, 126.354 s
[g3 08:49:49] [control] period 165/256: games 2278 (in flight 2547), c1 step 10560, setup frozen, 133.986 s
[g3 08:51:57] [control] period 166/256: games 2228 (in flight 2547), c1 step 10624, setup frozen, 128.171 s
[g3 08:54:05] [control] period 167/256: games 2228 (in flight 2542), c1 step 10688, setup frozen, 127.459 s
[g3 08:56:12] [control] period 168/256: games 2241 (in flight 2552), c1 step 10752, setup frozen, 127.414 s
[g3 08:58:19] [control] period 169/256: games 2293 (in flight 2549), c1 step 10816, setup frozen, 126.678 s
[g3 09:00:26] [control] period 170/256: games 2341 (in flight 2549), c1 step 10880, setup frozen, 127.315 s
[g3 09:02:33] [control] period 171/256: games 2215 (in flight 2545), c1 step 10944, setup frozen, 126.693 s
[g3 09:04:46] [control] period 172/256: games 2260 (in flight 2548), c1 step 11008, setup frozen, 133.024 s
[g3 09:06:53] [control] period 173/256: games 2199 (in flight 2548), c1 step 11072, setup frozen, 127.209 s
[g3 09:09:01] [control] period 174/256: games 2178 (in flight 2548), c1 step 11136, setup frozen, 127.515 s
[g3 09:11:09] [control] period 175/256: games 2264 (in flight 2551), c1 step 11200, setup frozen, 128.488 s
[g3 09:13:17] [control] period 176/256: games 2217 (in flight 2549), c1 step 11264, setup frozen, 127.731 s
[g3 09:15:26] [control] period 177/256: games 2249 (in flight 2550), c1 step 11328, setup frozen, 128.642 s
[g3 09:17:34] [control] period 178/256: games 2266 (in flight 2546), c1 step 11392, setup frozen, 128.184 s
[g3 09:19:44] [control] period 179/256: games 2324 (in flight 2543), c1 step 11456, setup frozen, 129.34 s
[g3 09:21:58] [control] period 180/256: games 2271 (in flight 2549), c1 step 11520, setup frozen, 134.02 s
[g3 09:24:06] [control] period 181/256: games 2280 (in flight 2546), c1 step 11584, setup frozen, 128.375 s
[g3 09:26:14] [control] period 182/256: games 2186 (in flight 2544), c1 step 11648, setup frozen, 128.037 s
[g3 09:28:23] [control] period 183/256: games 2246 (in flight 2546), c1 step 11712, setup frozen, 128.886 s
[g3 09:30:32] [control] period 184/256: games 2223 (in flight 2553), c1 step 11776, setup frozen, 128.325 s
[g3 09:32:43] [control] period 185/256: games 2381 (in flight 2550), c1 step 11840, setup frozen, 130.894 s
[g3 09:34:52] [control] period 186/256: games 2227 (in flight 2548), c1 step 11904, setup frozen, 129.726 s
[g3 09:37:04] [control] period 187/256: games 2250 (in flight 2546), c1 step 11968, setup frozen, 131.326 s
[g3 09:39:22] [control] period 188/256: games 2340 (in flight 2552), c1 step 12032, setup frozen, 137.854 s
[g3 09:41:34] [control] period 189/256: games 2259 (in flight 2549), c1 step 12096, setup frozen, 132.461 s
[g3 09:43:45] [control] period 190/256: games 2228 (in flight 2549), c1 step 12160, setup frozen, 130.87 s
[g3 09:45:58] [control] period 191/256: games 2204 (in flight 2545), c1 step 12224, setup frozen, 131.903 s
[g3 09:48:21] [control] period 192/256: games 2280 (in flight 2551), c1 step 12288, setup frozen, 130.931 s, bundle b479fe9ba28a
[g3 09:50:34] [control] period 193/256: games 2177 (in flight 2544), c1 step 12352, setup frozen, 132.762 s
[g3 09:52:46] [control] period 194/256: games 2191 (in flight 2551), c1 step 12416, setup frozen, 131.536 s
[g3 09:54:58] [control] period 195/256: games 2282 (in flight 2552), c1 step 12480, setup frozen, 132.185 s
[g3 09:57:13] [control] period 196/256: games 2232 (in flight 2553), c1 step 12544, setup frozen, 134.693 s
[g3 09:59:24] [control] period 197/256: games 2216 (in flight 2556), c1 step 12608, setup frozen, 131.482 s
[g3 10:01:39] [control] period 198/256: games 2242 (in flight 2543), c1 step 12672, setup frozen, 134.002 s
[g3 10:03:51] [control] period 199/256: games 2254 (in flight 2552), c1 step 12736, setup frozen, 132.547 s
[g3 10:06:04] [control] period 200/256: games 2214 (in flight 2554), c1 step 12800, setup frozen, 132.113 s
[g3 10:08:15] [control] period 201/256: games 2194 (in flight 2553), c1 step 12864, setup frozen, 131.401 s
[g3 10:10:29] [control] period 202/256: games 2306 (in flight 2552), c1 step 12928, setup frozen, 133.839 s
[g3 10:12:41] [control] period 203/256: games 2234 (in flight 2552), c1 step 12992, setup frozen, 131.461 s
[g3 10:14:59] [control] period 204/256: games 2301 (in flight 2549), c1 step 13056, setup frozen, 138.585 s
[g3 10:17:11] [control] period 205/256: games 2226 (in flight 2553), c1 step 13120, setup frozen, 131.026 s
[g3 10:19:24] [control] period 206/256: games 2269 (in flight 2550), c1 step 13184, setup frozen, 133.652 s
[g3 10:21:37] [control] period 207/256: games 2253 (in flight 2548), c1 step 13248, setup frozen, 132.594 s
[g3 10:23:49] [control] period 208/256: games 2223 (in flight 2546), c1 step 13312, setup frozen, 131.683 s
[g3 10:26:01] [control] period 209/256: games 2232 (in flight 2550), c1 step 13376, setup frozen, 131.761 s
[g3 10:28:13] [control] period 210/256: games 2224 (in flight 2551), c1 step 13440, setup frozen, 132.03 s
[g3 10:30:33] [control] period 211/256: games 2316 (in flight 2544), c1 step 13504, setup frozen, 139.611 s
[g3 10:32:45] [control] period 212/256: games 2279 (in flight 2548), c1 step 13568, setup frozen, 132.005 s
[g3 10:35:00] [control] period 213/256: games 2263 (in flight 2550), c1 step 13632, setup frozen, 135.256 s
[g3 10:37:13] [control] period 214/256: games 2235 (in flight 2546), c1 step 13696, setup frozen, 132.911 s
[g3 10:39:28] [control] period 215/256: games 2161 (in flight 2551), c1 step 13760, setup frozen, 134.112 s
[g3 10:41:41] [control] period 216/256: games 2246 (in flight 2555), c1 step 13824, setup frozen, 133.308 s
[g3 10:43:55] [control] period 217/256: games 2217 (in flight 2551), c1 step 13888, setup frozen, 133.501 s
[g3 10:46:10] [control] period 218/256: games 2286 (in flight 2550), c1 step 13952, setup frozen, 135.616 s
[g3 10:48:29] [control] period 219/256: games 2261 (in flight 2555), c1 step 14016, setup frozen, 138.178 s
[g3 10:50:41] [control] period 220/256: games 2253 (in flight 2550), c1 step 14080, setup frozen, 132.245 s
[g3 10:52:55] [control] period 221/256: games 2254 (in flight 2548), c1 step 14144, setup frozen, 133.684 s
[g3 10:55:10] [control] period 222/256: games 2230 (in flight 2548), c1 step 14208, setup frozen, 134.473 s
[g3 10:57:25] [control] period 223/256: games 2242 (in flight 2543), c1 step 14272, setup frozen, 134.913 s
[g3 11:00:00] [control] period 224/256: games 2208 (in flight 2551), c1 step 14336, setup frozen, 141.717 s, bundle 46a494afec1f
[g3 11:02:16] [control] period 225/256: games 2256 (in flight 2550), c1 step 14400, setup frozen, 136.408 s
[g3 11:04:27] [control] period 226/256: games 2273 (in flight 2550), c1 step 14464, setup frozen, 130.429 s
[g3 11:06:56] [control] period 227/256: games 2214 (in flight 2551), c1 step 14528, setup frozen, 148.616 s
[g3 11:09:18] [control] period 228/256: games 2246 (in flight 2548), c1 step 14592, setup frozen, 142.568 s
[g3 11:11:32] [control] period 229/256: games 2280 (in flight 2551), c1 step 14656, setup frozen, 133.59 s
[g3 11:13:50] [control] period 230/256: games 2228 (in flight 2548), c1 step 14720, setup frozen, 137.19 s
[g3 11:16:07] [control] period 231/256: games 2229 (in flight 2547), c1 step 14784, setup frozen, 137.075 s
[g3 11:18:21] [control] period 232/256: games 2301 (in flight 2547), c1 step 14848, setup frozen, 134.24 s
[g3 11:20:37] [control] period 233/256: games 2303 (in flight 2550), c1 step 14912, setup frozen, 136.061 s
[g3 11:22:57] [control] period 234/256: games 2286 (in flight 2552), c1 step 14976, setup frozen, 139.468 s
[g3 11:25:14] [control] period 235/256: games 2230 (in flight 2547), c1 step 15040, setup frozen, 136.694 s
[g3 11:27:41] [control] period 236/256: games 2309 (in flight 2546), c1 step 15104, setup frozen, 147.248 s
[g3 11:29:59] [control] period 237/256: games 2250 (in flight 2545), c1 step 15168, setup frozen, 137.228 s
[g3 11:32:13] [control] period 238/256: games 2172 (in flight 2551), c1 step 15232, setup frozen, 134.183 s
[g3 11:34:42] [control] period 239/256: games 2241 (in flight 2546), c1 step 15296, setup frozen, 149.474 s
[g3 11:37:11] [control] period 240/256: games 2258 (in flight 2546), c1 step 15360, setup frozen, 148.665 s
[g3 11:39:23] [control] period 241/256: games 2226 (in flight 2546), c1 step 15424, setup frozen, 131.66 s
[g3 11:41:53] [control] period 242/256: games 2248 (in flight 2552), c1 step 15488, setup frozen, 150.006 s
[g3 11:44:30] [control] period 243/256: games 2257 (in flight 2540), c1 step 15552, setup frozen, 156.644 s
[g3 11:46:41] [control] period 244/256: games 2188 (in flight 2553), c1 step 15616, setup frozen, 131.022 s
[g3 11:49:14] [control] period 245/256: games 2257 (in flight 2547), c1 step 15680, setup frozen, 152.701 s
[g3 11:51:45] [control] period 246/256: games 2201 (in flight 2553), c1 step 15744, setup frozen, 151.086 s
[g3 11:53:57] [control] period 247/256: games 2215 (in flight 2549), c1 step 15808, setup frozen, 131.266 s
[g3 11:56:30] [control] period 248/256: games 2269 (in flight 2550), c1 step 15872, setup frozen, 153.204 s
[g3 11:58:55] [control] period 249/256: games 2204 (in flight 2547), c1 step 15936, setup frozen, 144.246 s
[g3 12:01:11] [control] period 250/256: games 2207 (in flight 2552), c1 step 16000, setup frozen, 136.738 s
[g3 12:03:45] [control] period 251/256: games 2248 (in flight 2546), c1 step 16064, setup frozen, 153.291 s
[g3 12:06:19] [control] period 252/256: games 2274 (in flight 2554), c1 step 16128, setup frozen, 153.763 s
[g3 12:08:29] [control] period 253/256: games 2300 (in flight 2547), c1 step 16192, setup frozen, 130.203 s
[g3 12:11:08] [control] period 254/256: games 2349 (in flight 2552), c1 step 16256, setup frozen, 158.926 s
[g3 12:13:38] [control] period 255/256: games 2293 (in flight 2541), c1 step 16320, setup frozen, 149.241 s
[g3 12:16:03] [control] period 256/256: games 2198 (in flight 2544), c1 step 16384, setup frozen, 131.684 s, bundle e1c410021f71
[g3 12:17:47] control: period 256/256 in 13140 s; nothing continues past the horizon
