global_step,segment,wall_seconds,examples_consumed,train_loss_total,train_loss_policy,train_loss_value,train_loss_belief,train_legal_policy_entropy,train_legal_policy_entropy_normalized,learning_rate,grad_norm_pre_clip,grad_norm_post_clip,parameter_norm,examples_per_second,data_wait_fraction,validation_selection_score,validation_policy_ce,validation_policy_ce_ratio,validation_policy_top1,validation_policy_baseline_expected_top1,validation_value_ce,validation_value_ce_ratio,validation_value_accuracy,validation_value_brier,validation_value_baseline_brier,validation_belief_ce,validation_belief_ce_ratio,validation_belief_top1,validation_belief_baseline_top1,validation_examples,validation_games,validation_batches,validation_seconds,is_best,peak_rss_bytes,mps_current_allocated_bytes,mps_driver_allocated_bytes
500,1,67.47052766859997,128000,5.392603193283081,2.400406299829483,0.798177666068077,2.1940192227363586,2.32047568321228,0.7865048466920853,0.001,8.326321856975555,0.9999681016206742,53.90582275390625,1897.1246323833002,0.09924134450063972,0.7470073042968782,2.1591328862942514,0.679568735437677,0.33400989471013576,0.0456353756232397,0.6513801868690517,0.5925055920936326,0.70159912109375,0.38612356769320744,0.6671754265886064,2.1394003341052263,0.968947585359325,0.24904678080376258,0.20342139424874092,16384,323,64,8.90130029199645,True,1679966208,15353856,2191441920
1000,1,67.78544800059171,256000,4.883798491477966,2.107470297336578,0.6463013976812363,2.1300268025398252,2.0785032742023466,0.7052041538953782,0.001,4.590346864700317,0.9999997460842133,54.757362365722656,1888.3108952659377,0.1019711728309059,0.7139757526108538,2.000172492490022,0.6295373017598643,0.3749841430927312,0.0456353756232397,0.6126256057653912,0.5572538198014224,0.7198486328125,0.36219325604448405,0.6671754265886064,2.1089051667298992,0.9551361362712749,0.25750171613438183,0.20342139424874092,16384,323,64,6.529435999982525,True,1679966208,15353856,2191441920
1500,1,67.61465342988959,384000,4.699062158584595,1.965741545200348,0.620156760931015,2.113163846492767,1.9862252457141876,0.6737683213949204,0.001,3.6994523558616637,0.9999997090101242,55.807125091552734,1893.0807673624279,0.09781447123400025,0.6933203741403076,1.892335565585112,0.5955965450257891,0.38703539261702397,0.0456353756232397,0.5871913105313334,0.5341183875900507,0.732421875,0.34763104165601605,0.6671754265886064,2.098108346280991,0.9502461898050829,0.2607255566958693,0.20342139424874092,16384,323,64,6.548870166996494,True,1679966208,15353856,2191441920
2000,1,67.67968266026583,512000,4.571188333511352,1.8676045711040496,0.5996841118335724,2.1038996486663817,1.9270912749767304,0.654054534316063,0.001,3.5645901799201964,0.9999997056722641,57.08731460571289,1891.2618228800845,0.07146244352893606,0.6816950130138886,1.8582480173594784,0.5848677787748046,0.3969301027527591,0.0456353756232397,0.5647022564714244,0.5136619927533578,0.74346923828125,0.33642690227880956,0.6671754265886064,2.0899589267426437,0.9465552675135034,0.2619715948608855,0.20342139424874092,16384,323,64,6.375807165983133,True,1679966208,15353856,2191441920
2500,1,67.16006349085364,640000,4.467888064384461,1.7760030965805054,0.5949956345558166,2.0968893418312073,1.8651765112876892,0.6343127579689026,0.001,3.466140868425369,0.9999996958971024,58.54502868652344,1905.8945651150552,0.09190676061287972,0.6671693228841784,1.7251794797648687,0.5429855869033654,0.4297856146137257,0.0456353756232397,0.566063152733351,0.5148998852494845,0.7342529296875,0.33938493113574575,0.6671754265886064,2.0834834771088127,0.9436224964996853,0.2638610418238374,0.20342139424874092,16384,323,64,6.602710792038124,True,1679966208,15353856,2191441920
3000,1,67.49213354440872,768000,4.395733837127685,1.718467226266861,0.5902018702626228,2.0870647230148314,1.8021799917221069,0.6123951934576034,0.001,3.418157778263092,0.9999996848106384,59.98604965209961,1896.5173165814665,0.09958142801103712,0.6597123620877161,1.6768134479928944,0.527762789243222,0.44158315362171763,0.0456353756232397,0.564064228333623,0.5130816323936461,0.73968505859375,0.3350771403032863,0.6671754265886064,2.0717154059943583,0.9382926646262804,0.26675185036667504,0.20342139424874092,16384,323,64,6.509584542014636,True,1679966208,15353856,2191441920
3500,1,67.71701995615149,896000,4.319456042289734,1.6591088647842407,0.5826982087492942,2.077648973941803,1.7628250195980073,0.5995549194812775,0.001,3.382437931060791,0.99999968791008,61.44580078125,1890.2190333077754,0.09430936578261101,0.6613790580332138,1.6746011749641847,0.5270664950993522,0.42242800964099964,0.0456353756232397,0.5740608338190788,0.5221747008834268,0.7425537109375,0.3398504561838396,0.6671754265886064,2.064215648151003,0.9348959781168626,0.26836490340938696,0.20342139424874092,16384,323,64,6.534020958002657,False,1679966208,15353856,2191441920
4000,1,67.74114892113721,1024000,4.285747511386871,1.635590193748474,0.5784316908717155,2.0717256293296815,1.7435846400260926,0.592800173997879,0.001,3.2749274480342865,0.9999996758699418,63.03308868408203,1889.5457493497024,0.09777258398057752,0.6486474945343387,1.6133233409310128,0.5077798173554204,0.45629836356716985,0.0456353756232397,0.5545391252241701,0.5044174498296256,0.74737548828125,0.33353411866446386,0.6671754265886064,2.0616748089969703,0.93374521641797,0.27024755380052967,0.20342139424874092,16384,323,64,6.466886334004812,True,1679966208,15353856,2191441920
4500,1,67.61847842024872,1152000,4.230723957061768,1.593201871395111,0.570917844414711,2.0666042490005494,1.6934318025112152,0.5753214277625084,0.001,3.2885989565849303,0.9999996864795685,64.73118591308594,1892.9736810177867,0.09627318940907176,0.6488765145161252,1.603117232895175,0.5045675315458339,0.4490676138525942,0.0456353756232397,0.5601328489658398,0.5095055883152263,0.745849609375,0.333565631196573,0.6671754265886064,2.059049998735224,0.9325564236873151,0.27028380218351195,0.20342139424874092,16384,323,64,6.561947832989972,False,1679966208,15353856,2191441920
5000,1,67.46852657821728,1279941,4.186307949066162,1.5545599308013915,0.5678034020662308,2.0639446239471435,1.6752076499462127,0.56997709441185,0.001,3.220292460203171,0.999999676823616,66.46514892578125,1896.3064185442981,0.09263784022542168,0.6416586367800882,1.5745028851277438,0.4955614086475525,0.45946974502093113,0.0456353756232397,0.5495631298530873,0.4998912067184096,0.747314453125,0.32878188422957744,0.6671754265886064,2.0523529630234347,0.9295232949743023,0.2716295234017295,0.20342139424874092,16384,323,64,6.699300792010035,True,1679966208,15353856,2191441920
