blue_family,distinct_blue_bases,distinct_red_bases,draws,games,mean_plies,red_family,red_losses,red_score,red_wins
F00,57,59,8,64,483.359375,F00,20,0.625,36
F01,59,61,2,64,429.6875,F00,26,0.578125,36
F02,60,60,2,64,384.84375,F00,23,0.625,39
F03,63,62,3,64,373.375,F00,14,0.7578125,47
F04,61,59,2,64,372.390625,F00,13,0.78125,49
F05,62,58,1,64,408.5625,F00,22,0.6484375,41
F06,58,60,2,64,447.921875,F00,11,0.8125,51
F07,60,59,0,64,314.6875,F00,14,0.78125,50
F08,58,56,1,64,344.9375,F00,21,0.6640625,42
F09,60,58,0,64,453.125,F00,20,0.6875,44
F10,61,62,0,64,391.59375,F00,14,0.78125,50
F11,60,59,0,64,388.5625,F00,16,0.75,48
F12,55,62,4,64,405.296875,F00,16,0.71875,44
F13,60,60,0,64,413.09375,F00,14,0.78125,50
F14,58,62,3,64,428.96875,F00,23,0.6171875,38
F15,61,60,1,64,349.359375,F00,28,0.5546875,35
F00,56,59,2,64,439.265625,F01,45,0.28125,17
F01,53,60,1,64,319.671875,F01,29,0.5390625,34
F02,59,61,0,64,363.328125,F01,37,0.421875,27
F03,61,60,0,64,365.0,F01,22,0.65625,42
F04,61,61,0,64,370.296875,F01,23,0.640625,41
F05,58,59,2,64,366.140625,F01,25,0.59375,37
F06,58,56,0,64,365.734375,F01,23,0.640625,41
F07,60,60,0,64,362.3125,F01,28,0.5625,36
F08,60,56,0,64,288.78125,F01,22,0.65625,42
F09,63,58,3,64,404.46875,F01,19,0.6796875,42
F10,54,60,0,64,330.9375,F01,26,0.59375,38
F11,57,61,1,64,384.5,F01,23,0.6328125,40
F12,62,60,3,64,397.453125,F01,22,0.6328125,39
F13,62,61,2,64,344.34375,F01,23,0.625,39
F14,60,59,2,64,397.953125,F01,33,0.46875,29
F15,59,61,0,64,298.390625,F01,25,0.609375,39
F00,60,61,4,64,415.3125,F02,46,0.25,14
F01,61,60,2,64,366.140625,F02,39,0.375,23
F02,61,62,1,64,350.671875,F02,27,0.5703125,36
F03,56,61,0,64,328.46875,F02,22,0.65625,42
F04,58,59,0,64,357.46875,F02,30,0.53125,34
F05,57,64,1,64,389.703125,F02,27,0.5703125,36
F06,60,56,0,64,352.34375,F02,26,0.59375,38
F07,62,61,0,64,357.5,F02,24,0.625,40
F08,57,60,1,64,285.703125,F02,22,0.6484375,41
F09,54,57,2,64,364.71875,F02,20,0.671875,42
F10,58,57,1,64,354.421875,F02,30,0.5234375,33
F11,60,59,2,64,410.390625,F02,23,0.625,39
F12,59,58,2,64,388.859375,F02,27,0.5625,35
F13,60,58,1,64,321.140625,F02,27,0.5703125,36
F14,57,59,1,64,439.484375,F02,31,0.5078125,32
F15,58,62,1,64,227.265625,F02,23,0.6328125,40
F00,60,56,3,64,371.0625,F03,46,0.2578125,15
F01,60,61,0,64,329.78125,F03,38,0.40625,26
F02,59,58,0,64,357.125,F03,38,0.40625,26
F03,57,57,1,64,341.53125,F03,33,0.4765625,30
F04,60,58,1,64,338.46875,F03,33,0.4765625,30
F05,63,58,1,64,324.15625,F03,38,0.3984375,25
F06,60,63,0,64,316.921875,F03,23,0.640625,41
F07,62,59,0,64,322.96875,F03,28,0.5625,36
F08,56,57,0,64,250.25,F03,32,0.5,32
F09,63,58,0,64,407.3125,F03,34,0.46875,30
F10,56,58,0,64,330.828125,F03,37,0.421875,27
F11,61,61,0,64,365.421875,F03,27,0.578125,37
F12,59,59,0,64,364.890625,F03,27,0.578125,37
F13,61,58,0,64,336.328125,F03,33,0.484375,31
F14,58,57,0,64,422.609375,F03,43,0.328125,21
F15,62,60,1,64,295.65625,F03,32,0.4921875,31
F00,59,60,1,64,362.5625,F04,51,0.1953125,12
F01,61,62,1,64,374.390625,F04,41,0.3515625,22
F02,62,60,0,64,351.3125,F04,34,0.46875,30
F03,58,60,0,64,364.625,F04,28,0.5625,36
F04,61,62,0,64,302.53125,F04,28,0.5625,36
F05,59,61,1,64,324.03125,F04,31,0.5078125,32
F06,61,58,0,64,354.78125,F04,30,0.53125,34
F07,59,61,0,64,298.4375,F04,24,0.625,40
F08,58,63,0,64,255.4375,F04,34,0.46875,30
F09,57,58,0,64,393.171875,F04,31,0.515625,33
F10,61,59,1,64,339.375,F04,26,0.5859375,37
F11,62,59,1,64,388.546875,F04,30,0.5234375,33
F12,56,61,0,64,344.5,F04,36,0.4375,28
F13,60,59,1,64,358.078125,F04,36,0.4296875,27
F14,62,57,0,64,357.109375,F04,47,0.265625,17
F15,58,59,0,64,309.953125,F04,33,0.484375,31
F00,60,61,1,64,379.1875,F05,52,0.1796875,11
F01,59,58,2,64,407.96875,F05,39,0.375,23
F02,56,60,0,64,389.984375,F05,29,0.546875,35
F03,60,60,0,64,355.625,F05,32,0.5,32
F04,58,60,1,64,357.359375,F05,28,0.5546875,35
F05,55,58,1,64,334.65625,F05,37,0.4140625,26
F06,57,62,0,64,331.8125,F05,24,0.625,40
F07,58,58,0,64,346.953125,F05,25,0.609375,39
F08,60,60,0,64,289.1875,F05,40,0.375,24
F09,62,58,1,64,400.296875,F05,27,0.5703125,36
F10,57,59,2,64,349.5625,F05,28,0.546875,34
F11,60,62,0,64,314.75,F05,30,0.53125,34
F12,58,59,0,64,360.28125,F05,36,0.4375,28
F13,59,61,0,64,376.265625,F05,25,0.609375,39
F14,57,59,1,64,405.8125,F05,41,0.3515625,22
F15,55,59,0,64,257.171875,F05,23,0.640625,41
F00,56,61,0,64,375.078125,F06,55,0.140625,9
F01,60,60,0,64,375.75,F06,40,0.375,24
F02,57,58,0,64,332.21875,F06,42,0.34375,22
F03,60,60,1,64,421.125,F06,29,0.5390625,34
F04,59,60,2,64,346.390625,F06,34,0.453125,28
F05,57,60,0,64,342.078125,F06,37,0.421875,27
F06,60,57,1,64,381.84375,F06,37,0.4140625,26
F07,63,61,0,64,342.234375,F06,35,0.453125,29
F08,57,64,0,64,269.75,F06,36,0.4375,28
F09,60,56,0,64,379.796875,F06,35,0.453125,29
F10,59,59,0,64,312.265625,F06,33,0.484375,31
F11,61,60,1,64,347.015625,F06,32,0.4921875,31
F12,56,62,0,64,364.71875,F06,36,0.4375,28
F13,61,59,0,64,362.34375,F06,32,0.5,32
F14,60,61,0,64,343.546875,F06,47,0.265625,17
F15,59,61,1,64,322.359375,F06,28,0.5546875,35
F00,58,56,1,64,334.984375,F07,50,0.2109375,13
F01,59,58,1,64,331.28125,F07,44,0.3046875,19
