candidate_id,color,split,normalized_family_entropy,effective_families,min_family_probability,max_family_probability,min_within_family_normalized_base_entropy,max_conditional_base_probability,effective_base_diversity,all_thresholds_pass,mixture_exact,all_finite,probability_vector_digest
P10-A,red,train,0.987396,15.450541,0.046401,0.123124,1.000000,0.002500,6180.216429,True,True,True,6632bb394247adc9327dbc9c048559d25f74faa7377509aec121ac461a8eb168
P10-A,red,validation,0.987396,15.450541,0.046401,0.123124,1.000000,0.020000,772.527054,True,True,True,b32118a6ff2b6f0484258dde54b215aa2ec834614bc57aebdfa495ac9566e398
P10-A,red,test,0.987396,15.450541,0.046401,0.123124,1.000000,0.020000,772.527054,True,True,True,934dcdeb90d74c5b40db68a93ed99c86dea789aa72c4dee21d6c59266c5898d7
P10-A,blue,train,0.984694,15.335226,0.046942,0.125174,1.000000,0.002500,6134.090397,True,True,True,a39629e6bdc8c3519d60235eb111a493819cc264faeb399327d6406c887d117f
P10-A,blue,validation,0.984694,15.335226,0.046942,0.125174,1.000000,0.020000,766.761300,True,True,True,79897ba0a81ba155c5cbf499427a09238623cef8bcde1ff69fd0e6e9fd74954f
P10-A,blue,test,0.984694,15.335226,0.046942,0.125174,1.000000,0.020000,766.761300,True,True,True,5ccd36bdf6871c8399a30f33b3c55300233efbe3bad253ec07a5118996df2c5e
P10-B,red,train,0.996069,15.826551,0.052422,0.093395,1.000000,0.002500,6330.620263,True,True,True,6bbcf2ec971abefca104196cb52212736cb6bdc511adc0e9848a45e4dfd5a17b
P10-B,red,validation,0.996069,15.826551,0.052422,0.093395,1.000000,0.020000,791.327533,True,True,True,04caf1d805e2786f3054a9a7663eb614bdd78c0321fe6f10fbba7f21f7486730
P10-B,red,test,0.996069,15.826551,0.052422,0.093395,1.000000,0.020000,791.327533,True,True,True,7ec7a6218162162cca3ba8113da4d8d571fd2130cffd41bdb3127067ff0be64a
P10-B,blue,train,0.995177,15.787462,0.052947,0.094546,1.000000,0.002500,6314.984764,True,True,True,5658c6e6a41043360f134ad14a986b53bbcab8470c358577bd2a14acb71f83d2
P10-B,blue,validation,0.995177,15.787462,0.052947,0.094546,1.000000,0.020000,789.373095,True,True,True,1191055edd9c11779953a7d71d4f85424fa5cdd3c3939b11c4394db1fc515bc0
P10-B,blue,test,0.995177,15.787462,0.052947,0.094546,1.000000,0.020000,789.373095,True,True,True,b1cc99ee93842ad6443d790f522ff38de79c451983e6c72f203ebef2f341ff27
P10-C,red,train,0.998589,15.937527,0.056061,0.080054,1.000000,0.002500,6375.010984,True,True,True,a03601dc47a35abdad5ff73ee750b421a6d3cb31adf09c2b0e43233144d72bbf
P10-C,red,validation,0.998589,15.937527,0.056061,0.080054,1.000000,0.020000,796.876373,True,True,True,011a7bdef33ddbf3ff309dae4a15f0fc1cc8c7320835cf7d6617129cd503e55d
P10-C,red,test,0.998589,15.937527,0.056061,0.080054,1.000000,0.020000,796.876373,True,True,True,f76650f566ca19aa4ce487f1ba4b13bd6c36e21c3bec15b4c7cab2bc5e7db2a3
P10-C,blue,train,0.998267,15.923289,0.056472,0.080712,1.000000,0.002500,6369.315778,True,True,True,950b674d38dae1f7066e39e1298dcea30560eb2aefcc235251d855bc602c45b3
P10-C,blue,validation,0.998267,15.923289,0.056472,0.080712,1.000000,0.020000,796.164472,True,True,True,44b67a198fe392722cde4d7a6ead2ca8bcb694311d67cfc84cf310331a649d4b
