bank,arm,candidate_id,matchup,cases,games,wins,draws,losses,ewr,red_ewr,blue_ewr,ci_lower,ci_upper,delta,delta_ci_lower,delta_ci_upper,landings,landing_rate
phase10_test_bank_v1,learned,P10-D,learned_vs_neutral,512,1024,519,17,488,0.515137,0.502930,0.527344,0.488281,0.541992,,,,68,0.066406
phase10_test_bank_v1,learned,P10-D,vs_basic,512,1024,878,4,142,0.859375,0.854492,0.864258,0.837891,0.879895,-0.001465,-0.024414,0.020996,68,0.066406
phase10_test_bank_v1,learned,P10-D,vs_phase8_anchor,512,1024,883,3,138,0.863770,0.860352,0.867188,0.841797,0.884290,0.018555,-0.005371,0.041504,68,0.066406
phase10_test_bank_v1,learned,P10-D,vs_random,512,1024,1011,0,13,0.987305,0.986328,0.988281,0.980469,0.994141,0.000000,-0.008301,0.007812,68,0.066406
phase10_test_bank_v1,learned,P10-D,vs_strategic,512,1024,858,2,164,0.838867,0.813477,0.864258,0.815918,0.861328,0.020020,-0.003906,0.043945,68,0.066406
phase10_test_bank_v1,learned,P10-D,vs_tactical,512,1024,852,5,167,0.834473,0.832031,0.836914,0.810547,0.857422,-0.000488,-0.024902,0.024414,68,0.066406
phase10_test_bank_v1,neutral,neutral_v1,vs_basic,512,1024,879,5,140,0.860840,0.834961,0.886719,0.839844,0.880859,,,,0,0.000000
phase10_test_bank_v1,neutral,neutral_v1,vs_phase8_anchor,512,1024,865,1,158,0.845215,0.847656,0.842773,0.822754,0.867200,,,,0,0.000000
phase10_test_bank_v1,neutral,neutral_v1,vs_random,512,1024,1009,4,11,0.987305,0.985352,0.989258,0.980469,0.993164,,,,0,0.000000
phase10_test_bank_v1,neutral,neutral_v1,vs_strategic,512,1024,838,1,185,0.818848,0.815430,0.822266,0.794922,0.842285,,,,0,0.000000
phase10_test_bank_v1,neutral,neutral_v1,vs_tactical,512,1024,854,2,168,0.834961,0.846680,0.823242,0.811523,0.857910,,,,0,0.000000
