state_ordinal,public_state_identity,game_id,decision_index,opponent_stratum,observer_color,opponent_setup_source,progress_bucket,unresolved_pieces,moved_unresolved,learned_worlds,distinct_worlds,fallback_steps,baseline_worlds,baseline_distinct_worlds,mean_marginal_l1,mean_learned_entropy
0,b3bb94ef9187ccaa2d70553c6c6e2a21864853a5bbe268c8e6afc9fa4235fec3,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,0,basic_rule,red,neutral,early,40,0,18,18,0,4,4,0.610805,2.226761
1,812a8ebda40637f65d1a420f9c032a6ad747db4e9a4be3c9d156e72267a61967,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,4,basic_rule,red,neutral,early,37,1,18,18,0,4,4,0.601339,2.24209
2,63019bd5652e3eff3453a0926ff34ab7338e009df8f6b174502951b3163adf39,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,10,basic_rule,red,neutral,early,37,4,18,18,0,4,4,0.562309,2.19117
3,d98e0ebccd85ae83d1e7f43b8db803536dfc0d92f81f97ce26e73e7ef79338d8,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,16,basic_rule,red,neutral,early,37,5,18,18,0,4,4,0.611477,2.182204
4,6e85f51dd84d26ee5a845f15c6dadce8fcda9de059c1b83e466bc91ee97a2a32,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,22,basic_rule,red,neutral,early,36,5,18,18,0,4,4,0.576326,2.177714
5,1aae999dcb8a53a2649698fb8649082242f4c1fdcaebcb5770d029b9898330db,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,28,basic_rule,red,neutral,early,36,7,18,18,0,4,4,0.562729,2.130845
6,e2b3796f755a899fd64ded6a189fda0d2c4543a876593e80b903d8914c5668fe,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,34,basic_rule,red,neutral,early,35,6,18,18,0,4,4,0.579431,2.129866
7,86f43b3a1460934f04f8ed3dc49bed29eb0b6c8e782010fe3e82e2362874b3d4,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,40,basic_rule,red,neutral,middle,34,5,18,18,0,4,4,0.54813,2.121809
8,6a1ca565d720b99ea0b11c0838268983aac11890b5f70b1d0fb2df9087f10624,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,46,basic_rule,red,neutral,middle,33,4,18,18,0,4,4,0.605279,2.115427
9,e7ce0c1f2d3fe197cbee4fa4ab96a4eba34b7d47aa6fd12a71e553eda661d7d0,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,52,basic_rule,red,neutral,middle,31,4,18,18,0,4,4,0.570586,2.161533
10,90803e89931fd848049de5227d4bfbee4fd10f79b3e7a1539fa13feabd4d6833,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,58,basic_rule,red,neutral,middle,30,3,18,18,0,4,4,0.579512,2.144414
11,97350de772750d95ccedc8c3aa4c2e67224e705b1495d8e3562f964a30207f48,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,64,basic_rule,red,neutral,middle,29,4,18,18,0,4,4,0.594062,2.153714
12,5fcce50c6538a4e7e03322004c9363720b22f3817b720e18693d1e04ec29602f,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,70,basic_rule,red,neutral,middle,29,4,18,18,0,4,4,0.5481,2.117925
13,7a5eef7830783df8668f9ed8d70c2b8cd2ebb011246c57e401999fd4dead87e6,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,76,basic_rule,red,neutral,middle,25,5,18,18,0,4,4,0.484497,2.058548
14,978013e06c58f8eb07358d1f4e811cd71b92e856bdac4c1fb68019810ffba7b2,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,82,basic_rule,red,neutral,middle,24,4,18,18,0,4,4,0.538048,1.982825
15,462fae47cdc93191a589fb52b031dfd11aed9acc8febcd28f69820e861941722,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=0,88,basic_rule,red,neutral,middle,24,4,18,18,0,4,4,0.502249,1.960271
16,3b617f47bfbeab9571d4e9b04d49e81fbb3f5e69186e896a3746634baa229706,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,1,basic_rule,blue,neutral,early,39,0,18,18,0,4,4,0.568874,2.245959
17,39cf1207f44343714c37c3bb7f5d7860a2cc7bef56ef864df5be03ebb619f336,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,11,basic_rule,blue,neutral,early,36,1,18,18,0,4,4,0.633334,2.245037
18,b55c6aaacb99ae136c24aa310589fe0398560bdfb781585e450cc871b09f0384,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,23,basic_rule,blue,neutral,early,35,2,18,18,0,4,4,0.569165,2.231535
19,6a3ac295db828650e55d8aab91f62194a09a09c06b1eed66d3a22ce56c1ec3df,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,35,basic_rule,blue,neutral,early,32,2,18,18,0,4,4,0.580777,2.200308
20,1ddd4a01973eb6fa7049f967d64d6ad35bc424c784af14d43eee0a1df4e42988,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,47,basic_rule,blue,neutral,middle,30,1,18,18,0,4,4,0.59592,2.1057
21,3575ccd30b2b12acd1b0ebd197e616f98b297b2c2853621062cbc9d10d438dcb,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,59,basic_rule,blue,neutral,middle,28,2,18,18,0,4,4,0.533865,2.090789
22,b751f147dbc4aaec19454261e4453685a401aebe711bafb1e9eb5807abe555f6,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,69,basic_rule,blue,neutral,middle,27,5,18,18,0,4,4,0.502789,1.956178
23,537ef8585bf17850434f42f2a0ff538a917087e35d659231b18c20a1730780e2,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,81,basic_rule,blue,neutral,middle,24,5,18,18,0,4,4,0.477149,1.829409
24,db2a05c4fa112600e733cb26516ecc75ab8f3a7d54c0a6957d8822a570f95716,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,93,basic_rule,blue,neutral,middle,18,1,18,18,0,4,4,0.501155,1.740967
25,e6d6b504aa6b405e65b5853b7b0872ef41b5ce95c24782c34d364afec587b6bd,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,105,basic_rule,blue,neutral,middle,17,3,18,18,0,4,4,0.497015,1.701542
26,db3b532b70a018edf513edfa08fe3fb7e00b5c3b184c73843dc4a1daee4351e3,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,117,basic_rule,blue,neutral,middle,14,3,18,18,0,4,4,0.535994,1.588733
27,c3d176ba0bd26d8ebc7dfeb76b2e171a0fedc5163acaa0d9534e8e4ca3b29f63,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,127,basic_rule,blue,neutral,late,12,4,18,18,0,4,4,0.379973,1.179145
28,8f4a441814d029a72616b78beb590f3d4a5e101ef809908b303386b09b1a4642,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,139,basic_rule,blue,neutral,late,9,2,18,17,0,4,4,0.326136,0.790499
29,7135de13cb1159a1e354fcb0774ef52a124f62a9aeeb8e47f3829646d4294d94,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,151,basic_rule,blue,neutral,late,8,2,18,7,0,4,3,0.299423,0.721707
30,22607ec080350113dce65134c0e509cf8f597208693eb1524ff345ca51b8319c,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,163,basic_rule,blue,neutral,late,7,1,18,4,0,4,3,0.287065,0.492849
31,a6cf19a9b936f63fe56cd6e5b973799152e13917f9866c70cfde66efc781530b,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=000|g=1,175,basic_rule,blue,neutral,late,6,1,18,5,0,4,3,0.352282,0.647186
32,d44d6335bc14e8cb68a42c3da20bf1c16eb37c592a019cc71e72d8655a36a4a1,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,0,basic_rule,red,neutral,early,40,0,18,18,0,4,4,0.57088,2.229859
33,f33c81bc958586f2e5cb6c2439bca17c1b8736bdc18ae29f2981757bc2f380c8,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,2,basic_rule,red,neutral,early,38,0,18,18,0,4,4,0.572572,2.212034
34,726e4b5b1b836a054c870eec6017514b9470eee8aa62fe49dc76c046e304aa11,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,6,basic_rule,red,neutral,early,37,1,18,18,0,4,4,0.565689,2.181636
35,572abfc49fbb4e3dfc16d2df008c390fd7a0c70ae2c3065a26a86e64fa854b8d,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,10,basic_rule,red,neutral,early,37,1,18,18,0,4,4,0.573504,2.183166
36,7b3854451dc94e0e9b67be991b51972f3b11e76887b43b5c112b920019641c09,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,14,basic_rule,red,neutral,early,37,3,18,18,0,4,4,0.540781,2.17837
37,ae5b2ee6d08f210a64ece9bdcb17164ecb26b614b867ee136fabb164a4eabd83,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,18,basic_rule,red,neutral,early,36,3,18,18,0,4,4,0.555153,2.172457
38,f4656e36256551ac7eb807d5e134e5addbf56cc0bc96060033b9898fbc05f9cb,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,22,basic_rule,red,neutral,early,35,3,18,18,0,4,4,0.555492,2.198795
39,2296b5899963df52692761d31e31e8ff0d5a8120c720450fdcf36363561d0b97,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,26,basic_rule,red,neutral,early,35,4,18,18,0,4,4,0.572057,2.176536
40,4fa12051f6e2bd1f745a06d0616cfb141af0b30b7e2b3c5206b77a7e0f8a60e4,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,30,basic_rule,red,neutral,early,34,3,18,18,0,4,4,0.578529,2.172678
41,283041f978527cf86348c23a7f73448ab38e5e4fc3d84f273c3c4ab4ec508e92,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,34,basic_rule,red,neutral,early,34,3,18,18,0,4,4,0.578206,2.159725
42,a32e1f40d95bd7f1f771064618286c766d5847c1bfe4f9831d39c8ac47e5ff13,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,38,basic_rule,red,neutral,early,34,3,18,18,0,4,4,0.557137,2.153515
43,828b81a3b7007cca654f2c66df024550b19500b07b564dd84ebab2d317664e7e,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,42,basic_rule,red,neutral,middle,33,3,18,18,0,4,4,0.579424,2.155111
44,03f0afc0a0e8bd13e0fc869d64b9e5c3139f2306e349e40e01f3e93119eece4c,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,46,basic_rule,red,neutral,middle,32,3,18,18,0,4,4,0.539332,2.136357
45,6c6d59afd22ba5ecefad225e599cb09c8d43263b597a7ea18103a256893c6e3a,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,50,basic_rule,red,neutral,middle,32,3,18,18,0,4,4,0.587074,2.114765
46,a1d8ae61c5273a26e2d6bf146d47afe565ae32082a5bf758380ac9a8a4384be4,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,54,basic_rule,red,neutral,middle,32,4,18,18,0,4,4,0.562083,2.113978
47,baba0ed9d259dd36d3fe9dc8180cfe9d079fa78705a1d56f551e02d592496a77,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=0,58,basic_rule,red,neutral,middle,32,5,18,18,0,4,4,0.585976,2.103266
48,803cdec8a6e2cf907dae6a5bbe986043fb4a13fd1d023ebfcc2523dbaa8c9cc4,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=1,1,basic_rule,blue,neutral,early,39,0,18,18,0,4,4,0.617018,2.23937
49,a6af49847355353619f0bc9534f645659e344d190d21f37989197b5330f9ddf9,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=1,3,basic_rule,blue,neutral,early,37,0,18,18,0,4,4,0.574584,2.245139
50,73034bdbbc1bd18ecd3fe67d055ac17651f62bdc8c24cde998dadfd84370de59,phase11_validation_bank_v1|ms=2026081901|st=basic_rule|src=neutral|c=001|g=1,5,basic_rule,blue,neutral,early,36,0,18,18,0,4,4,0.586576,2.252989
