benchmark_state_id,state_ordinal,configuration,worlds,opponent_stratum,observer_color,progress_bucket,unresolved_pieces,hidden_pieces,public_state_identity,document_ms,forward_ms,sampling_ms,total_ms
phase11_benchmark_state_v1|ms=2026081901|n=000,0,forward_only,0,phase9_selfplay,red,early,29,29,d923091f9ea73c5903fe712eb6f2eb1273e46c4d796cd58e6ce21225a2a8e814,0.276209,1.512125,0.097791,1.886125
phase11_benchmark_state_v1|ms=2026081901|n=000,0,forward_plus_16_worlds,16,phase9_selfplay,red,early,29,29,d923091f9ea73c5903fe712eb6f2eb1273e46c4d796cd58e6ce21225a2a8e814,0.246667,1.2605,9.660416,11.167583
phase11_benchmark_state_v1|ms=2026081901|n=000,0,forward_plus_32_worlds,32,phase9_selfplay,red,early,29,29,d923091f9ea73c5903fe712eb6f2eb1273e46c4d796cd58e6ce21225a2a8e814,0.243292,1.40375,19.211125,20.858167
phase11_benchmark_state_v1|ms=2026081901|n=000,0,forward_plus_64_worlds,64,phase9_selfplay,red,early,29,29,d923091f9ea73c5903fe712eb6f2eb1273e46c4d796cd58e6ce21225a2a8e814,0.264667,1.358,38.830458,40.453125
phase11_benchmark_state_v1|ms=2026081901|n=001,1,forward_only,0,phase9_selfplay,red,early,36,36,33b7c64dce40404c5898315bcd454596c4fda9bb2525389b6164c3c89c6ade42,0.276375,1.518625,0.119916,1.914916
phase11_benchmark_state_v1|ms=2026081901|n=001,1,forward_plus_16_worlds,16,phase9_selfplay,red,early,36,36,33b7c64dce40404c5898315bcd454596c4fda9bb2525389b6164c3c89c6ade42,0.248834,1.266916,11.283417,12.799167
phase11_benchmark_state_v1|ms=2026081901|n=001,1,forward_plus_32_worlds,32,phase9_selfplay,red,early,36,36,33b7c64dce40404c5898315bcd454596c4fda9bb2525389b6164c3c89c6ade42,0.27125,1.4765,22.121667,23.869417
phase11_benchmark_state_v1|ms=2026081901|n=001,1,forward_plus_64_worlds,64,phase9_selfplay,red,early,36,36,33b7c64dce40404c5898315bcd454596c4fda9bb2525389b6164c3c89c6ade42,0.271834,1.413833,44.149542,45.835209
phase11_benchmark_state_v1|ms=2026081901|n=002,2,forward_only,0,phase9_selfplay,red,early,37,37,106fa3976fddf46933c2906625b3f79d77d42a01153397ac9263a30c1d978ce0,0.273291,1.443459,0.123125,1.839875
phase11_benchmark_state_v1|ms=2026081901|n=002,2,forward_plus_16_worlds,16,phase9_selfplay,red,early,37,37,106fa3976fddf46933c2906625b3f79d77d42a01153397ac9263a30c1d978ce0,0.251833,1.264875,11.190125,12.706833
phase11_benchmark_state_v1|ms=2026081901|n=002,2,forward_plus_32_worlds,32,phase9_selfplay,red,early,37,37,106fa3976fddf46933c2906625b3f79d77d42a01153397ac9263a30c1d978ce0,0.251958,1.302125,22.142042,23.696125
phase11_benchmark_state_v1|ms=2026081901|n=002,2,forward_plus_64_worlds,64,phase9_selfplay,red,early,37,37,106fa3976fddf46933c2906625b3f79d77d42a01153397ac9263a30c1d978ce0,0.264584,1.389583,44.857125,46.511292
phase11_benchmark_state_v1|ms=2026081901|n=003,3,forward_only,0,phase9_selfplay,red,early,37,37,9e83efc7777d7cf7726db12576e909099ebeff595ca534a86dae6688556ede41,0.276292,1.45525,0.124916,1.856458
phase11_benchmark_state_v1|ms=2026081901|n=003,3,forward_plus_16_worlds,16,phase9_selfplay,red,early,37,37,9e83efc7777d7cf7726db12576e909099ebeff595ca534a86dae6688556ede41,0.248167,1.25975,11.565625,13.073542
phase11_benchmark_state_v1|ms=2026081901|n=003,3,forward_plus_32_worlds,32,phase9_selfplay,red,early,37,37,9e83efc7777d7cf7726db12576e909099ebeff595ca534a86dae6688556ede41,0.263625,1.429792,22.921708,24.615125
phase11_benchmark_state_v1|ms=2026081901|n=003,3,forward_plus_64_worlds,64,phase9_selfplay,red,early,37,37,9e83efc7777d7cf7726db12576e909099ebeff595ca534a86dae6688556ede41,0.290125,1.629667,44.727958,46.64775
phase11_benchmark_state_v1|ms=2026081901|n=004,4,forward_only,0,phase9_selfplay,red,early,38,38,20853858752bd8cc3fcb0b3d2a4cfb09e3efcb39f51541aa3e49861e9305b800,0.275416,1.442917,0.122542,1.840875
phase11_benchmark_state_v1|ms=2026081901|n=004,4,forward_plus_16_worlds,16,phase9_selfplay,red,early,38,38,20853858752bd8cc3fcb0b3d2a4cfb09e3efcb39f51541aa3e49861e9305b800,0.249625,1.256458,11.862833,13.368916
phase11_benchmark_state_v1|ms=2026081901|n=004,4,forward_plus_32_worlds,32,phase9_selfplay,red,early,38,38,20853858752bd8cc3fcb0b3d2a4cfb09e3efcb39f51541aa3e49861e9305b800,0.270625,1.46725,23.367875,25.10575
phase11_benchmark_state_v1|ms=2026081901|n=004,4,forward_plus_64_worlds,64,phase9_selfplay,red,early,38,38,20853858752bd8cc3fcb0b3d2a4cfb09e3efcb39f51541aa3e49861e9305b800,0.276125,1.522583,46.058417,47.857125
phase11_benchmark_state_v1|ms=2026081901|n=005,5,forward_only,0,phase9_selfplay,red,early,38,38,7c8772cd089099f0604a1960aea46e76bf9aec3be07483f10048bbf1320e5932,0.249875,1.556875,0.126125,1.932875
phase11_benchmark_state_v1|ms=2026081901|n=005,5,forward_plus_16_worlds,16,phase9_selfplay,red,early,38,38,7c8772cd089099f0604a1960aea46e76bf9aec3be07483f10048bbf1320e5932,0.239666,1.273459,11.243,12.756125
phase11_benchmark_state_v1|ms=2026081901|n=005,5,forward_plus_32_worlds,32,phase9_selfplay,red,early,38,38,7c8772cd089099f0604a1960aea46e76bf9aec3be07483f10048bbf1320e5932,0.228209,1.26575,21.950041,23.444
phase11_benchmark_state_v1|ms=2026081901|n=005,5,forward_plus_64_worlds,64,phase9_selfplay,red,early,38,38,7c8772cd089099f0604a1960aea46e76bf9aec3be07483f10048bbf1320e5932,0.245,1.365833,43.664584,45.275417
phase11_benchmark_state_v1|ms=2026081901|n=006,6,forward_only,0,phase9_selfplay,red,early,38,38,d937f945609f3e63cc25ff1962b88090fc1222b3fe4dfb8b915805b2932f1660,0.274666,1.660209,0.129708,2.064583
phase11_benchmark_state_v1|ms=2026081901|n=006,6,forward_plus_16_worlds,16,phase9_selfplay,red,early,38,38,d937f945609f3e63cc25ff1962b88090fc1222b3fe4dfb8b915805b2932f1660,0.255875,1.313041,11.380584,12.9495
phase11_benchmark_state_v1|ms=2026081901|n=006,6,forward_plus_32_worlds,32,phase9_selfplay,red,early,38,38,d937f945609f3e63cc25ff1962b88090fc1222b3fe4dfb8b915805b2932f1660,0.245375,1.274875,22.564167,24.084417
phase11_benchmark_state_v1|ms=2026081901|n=006,6,forward_plus_64_worlds,64,phase9_selfplay,red,early,38,38,d937f945609f3e63cc25ff1962b88090fc1222b3fe4dfb8b915805b2932f1660,0.25725,1.371459,44.924333,46.553042
phase11_benchmark_state_v1|ms=2026081901|n=007,7,forward_only,0,phase9_selfplay,red,early,39,39,474cc72a0870a99409b6fc18e3a112cd9ecde6dcb3b8aa373addebb3558913cc,0.271458,1.514292,0.127875,1.913625
phase11_benchmark_state_v1|ms=2026081901|n=007,7,forward_plus_16_worlds,16,phase9_selfplay,red,early,39,39,474cc72a0870a99409b6fc18e3a112cd9ecde6dcb3b8aa373addebb3558913cc,0.249209,1.274958,11.736208,13.260375
phase11_benchmark_state_v1|ms=2026081901|n=007,7,forward_plus_32_worlds,32,phase9_selfplay,red,early,39,39,474cc72a0870a99409b6fc18e3a112cd9ecde6dcb3b8aa373addebb3558913cc,0.251459,1.330833,23.19425,24.776542
phase11_benchmark_state_v1|ms=2026081901|n=007,7,forward_plus_64_worlds,64,phase9_selfplay,red,early,39,39,474cc72a0870a99409b6fc18e3a112cd9ecde6dcb3b8aa373addebb3558913cc,0.261833,1.350334,46.327291,47.939458
phase11_benchmark_state_v1|ms=2026081901|n=008,8,forward_only,0,phase9_selfplay,red,early,39,39,b54720a46427ee189cbd6d79bb93aae55a6b0d5cf723b37aa6f901a6a400c35e,0.251417,1.457958,0.126292,1.835667
phase11_benchmark_state_v1|ms=2026081901|n=008,8,forward_plus_16_worlds,16,phase9_selfplay,red,early,39,39,b54720a46427ee189cbd6d79bb93aae55a6b0d5cf723b37aa6f901a6a400c35e,0.2315,1.250542,11.29925,12.781292
phase11_benchmark_state_v1|ms=2026081901|n=008,8,forward_plus_32_worlds,32,phase9_selfplay,red,early,39,39,b54720a46427ee189cbd6d79bb93aae55a6b0d5cf723b37aa6f901a6a400c35e,0.232334,1.275166,22.376209,23.883709
phase11_benchmark_state_v1|ms=2026081901|n=008,8,forward_plus_64_worlds,64,phase9_selfplay,red,early,39,39,b54720a46427ee189cbd6d79bb93aae55a6b0d5cf723b37aa6f901a6a400c35e,0.234333,1.294625,44.722042,46.251
phase11_benchmark_state_v1|ms=2026081901|n=009,9,forward_only,0,phase9_selfplay,red,early,40,40,395056453a62a92cacd3b376243c6c3e40119c85a9b6d896932def80160c745a,0.241834,1.468833,0.1275,1.838167
phase11_benchmark_state_v1|ms=2026081901|n=009,9,forward_plus_16_worlds,16,phase9_selfplay,red,early,40,40,395056453a62a92cacd3b376243c6c3e40119c85a9b6d896932def80160c745a,0.229166,1.265917,11.387208,12.882291
phase11_benchmark_state_v1|ms=2026081901|n=009,9,forward_plus_32_worlds,32,phase9_selfplay,red,early,40,40,395056453a62a92cacd3b376243c6c3e40119c85a9b6d896932def80160c745a,0.237083,1.322542,22.502375,24.062
phase11_benchmark_state_v1|ms=2026081901|n=009,9,forward_plus_64_worlds,64,phase9_selfplay,red,early,40,40,395056453a62a92cacd3b376243c6c3e40119c85a9b6d896932def80160c745a,0.236583,1.332292,44.929,46.497875
phase11_benchmark_state_v1|ms=2026081901|n=010,10,forward_only,0,phase9_selfplay,red,middle,12,12,4fd6663a06fab27b209f7de26aeb33921977cef08f6b5967969678456862772b,0.283834,1.586541,0.053209,1.923584
phase11_benchmark_state_v1|ms=2026081901|n=010,10,forward_plus_16_worlds,16,phase9_selfplay,red,middle,12,12,4fd6663a06fab27b209f7de26aeb33921977cef08f6b5967969678456862772b,0.25325,1.288375,6.497041,8.038666
phase11_benchmark_state_v1|ms=2026081901|n=010,10,forward_plus_32_worlds,32,phase9_selfplay,red,middle,12,12,4fd6663a06fab27b209f7de26aeb33921977cef08f6b5967969678456862772b,0.491875,2.162459,12.906458,15.560792
phase11_benchmark_state_v1|ms=2026081901|n=010,10,forward_plus_64_worlds,64,phase9_selfplay,red,middle,12,12,4fd6663a06fab27b209f7de26aeb33921977cef08f6b5967969678456862772b,0.281833,2.513875,26.209959,29.005667
phase11_benchmark_state_v1|ms=2026081901|n=011,11,forward_only,0,phase9_selfplay,red,middle,30,30,a5d3a908fd9b0667f6e0772aa0354e5801759de132dba6d1ab8f6cb81d88fdf6,0.295792,1.616291,0.108625,2.020708
phase11_benchmark_state_v1|ms=2026081901|n=011,11,forward_plus_16_worlds,16,phase9_selfplay,red,middle,30,30,a5d3a908fd9b0667f6e0772aa0354e5801759de132dba6d1ab8f6cb81d88fdf6,0.260209,1.318791,10.213167,11.792167
phase11_benchmark_state_v1|ms=2026081901|n=011,11,forward_plus_32_worlds,32,phase9_selfplay,red,middle,30,30,a5d3a908fd9b0667f6e0772aa0354e5801759de132dba6d1ab8f6cb81d88fdf6,0.262375,1.375542,20.20475,21.842667
phase11_benchmark_state_v1|ms=2026081901|n=011,11,forward_plus_64_worlds,64,phase9_selfplay,red,middle,30,30,a5d3a908fd9b0667f6e0772aa0354e5801759de132dba6d1ab8f6cb81d88fdf6,0.27425,1.522709,38.970166,40.767125
