scope_type,scope,model,bin,bin_lower,bin_upper,events,mean_confidence,accuracy,abs_gap,scope_ece
overall,overall,learned,0,0.000000,0.066667,0,,,,0.040946
overall,overall,learned,1,0.066667,0.133333,17886,0.128964,0.131779,0.002816,0.040946
overall,overall,learned,2,0.133333,0.200000,2375227,0.177868,0.165565,0.012304,0.040946
overall,overall,learned,3,0.200000,0.266667,4104280,0.231317,0.202303,0.029014,0.040946
overall,overall,learned,4,0.266667,0.333333,2249964,0.294964,0.231858,0.063106,0.040946
overall,overall,learned,5,0.333333,0.400000,857784,0.361868,0.285040,0.076828,0.040946
overall,overall,learned,6,0.400000,0.466667,401368,0.429953,0.361960,0.067993,0.040946
overall,overall,learned,7,0.466667,0.533333,254442,0.498540,0.442867,0.055673,0.040946
overall,overall,learned,8,0.533333,0.600000,190859,0.565018,0.511791,0.053226,0.040946
overall,overall,learned,9,0.600000,0.666667,146181,0.631978,0.579754,0.052224,0.040946
overall,overall,learned,10,0.666667,0.733333,118965,0.698921,0.638499,0.060422,0.040946
overall,overall,learned,11,0.733333,0.800000,103715,0.766374,0.693911,0.072463,0.040946
overall,overall,learned,12,0.800000,0.866667,100793,0.833433,0.748693,0.084740,0.040946
overall,overall,learned,13,0.866667,0.933333,108442,0.900475,0.803821,0.096654,0.040946
overall,overall,learned,14,0.933333,1.000000,107840,0.963676,0.900408,0.063268,0.040946
overall,overall,baseline,0,0.000000,0.066667,0,,,,0.004184
overall,overall,baseline,1,0.066667,0.133333,16692,0.126198,0.119758,0.006440,0.004184
overall,overall,baseline,2,0.133333,0.200000,4654702,0.174557,0.175790,0.001233,0.004184
overall,overall,baseline,3,0.200000,0.266667,5449892,0.220625,0.218559,0.002066,0.004184
overall,overall,baseline,4,0.266667,0.333333,700846,0.284767,0.310308,0.025541,0.004184
overall,overall,baseline,5,0.333333,0.400000,193133,0.347814,0.374405,0.026591,0.004184
overall,overall,baseline,6,0.400000,0.466667,64083,0.418325,0.478239,0.059914,0.004184
overall,overall,baseline,7,0.466667,0.533333,32126,0.499516,0.538256,0.038739,0.004184
overall,overall,baseline,8,0.533333,0.600000,6093,0.562318,0.683243,0.120925,0.004184
overall,overall,baseline,9,0.600000,0.666667,5749,0.605162,0.678379,0.073217,0.004184
overall,overall,baseline,10,0.666667,0.733333,6443,0.671072,0.697346,0.026274,0.004184
overall,overall,baseline,11,0.733333,0.800000,1797,0.750000,0.768503,0.018503,0.004184
overall,overall,baseline,12,0.800000,0.866667,1384,0.819196,0.809249,0.009947,0.004184
overall,overall,baseline,13,0.866667,0.933333,0,,,,0.004184
overall,overall,baseline,14,0.933333,1.000000,4806,1.000000,1.000000,0.000000,0.004184
opponent_stratum,basic_rule,learned,0,0.000000,0.066667,0,,,,0.033742
opponent_stratum,basic_rule,learned,1,0.066667,0.133333,323,0.129274,0.126935,0.002339,0.033742
opponent_stratum,basic_rule,learned,2,0.133333,0.200000,134121,0.179454,0.166715,0.012739,0.033742
