scope_type,scope,events,cases_with_events,ce_learned,ce_baseline,r_ce,r_ce_lower,r_ce_upper,ce_delta,ce_delta_lower,ce_delta_upper,top1_learned,top1_baseline,top1_delta,top1_delta_lower,top1_delta_upper,brier_learned,brier_baseline,brier_delta,brier_delta_lower,brier_delta_upper,true_rank_probability_learned,true_rank_probability_baseline,entropy_learned,entropy_baseline,ece_learned,ece_baseline,independent_r_ce,independent_ece_learned
overall,overall,11137746,2048,2.106757,2.161769,0.974552,0.972638,0.976447,-0.055012,-0.059123,-0.050880,0.248932,0.213704,0.035228,0.033227,0.037232,0.840149,0.864192,-0.024044,-0.025307,-0.022808,0.172243,0.134169,2.002886,2.170858,0.040946,0.004184,0.974552,0.040946
opponent_stratum,basic_rule,647702,256,2.100983,2.142000,0.980851,0.976506,0.985349,-0.041017,-0.050365,-0.031514,0.264807,0.227236,0.033843,0.028726,0.039058,0.828607,0.855094,-0.023227,-0.026447,-0.020132,0.181868,0.142326,1.978685,2.138320,0.033742,0.009092,0.980851,0.033742
opponent_stratum,information_miser,2165662,256,2.130639,2.186370,0.974510,0.968333,0.980607,-0.055732,-0.068993,-0.042042,0.248960,0.213841,0.033736,0.028822,0.038765,0.850301,0.865784,-0.015424,-0.018744,-0.012195,0.166126,0.133859,1.994064,2.165582,0.044120,0.024820,0.974510,0.044120
opponent_stratum,miner_rush,2026699,256,2.136295,2.191419,0.974846,0.969913,0.979931,-0.055124,-0.066290,-0.044296,0.259177,0.209109,0.038295,0.032439,0.044190,0.839051,0.868490,-0.023026,-0.026195,-0.019888,0.173050,0.131389,1.997104,2.175325,0.036782,0.007250,0.974846,0.036782
opponent_stratum,phase8_anchor,782636,256,2.092043,2.142116,0.976624,0.972322,0.980733,-0.050073,-0.059176,-0.040834,0.261949,0.225649,0.029307,0.024445,0.034124,0.827665,0.856816,-0.024823,-0.027814,-0.021831,0.184521,0.140381,1.961006,2.140425,0.040005,0.013448,0.976624,0.040005
opponent_stratum,phase9_selfplay,1832263,256,2.020375,2.145944,0.941485,0.935897,0.947083,-0.125569,-0.137453,-0.113702,0.283106,0.209643,0.065603,0.059328,0.071866,0.810359,0.862698,-0.044942,-0.048993,-0.040891,0.200898,0.135390,1.906914,2.148347,0.035588,0.023005,0.941485,0.035588
opponent_stratum,scout_rush,1989303,256,2.189289,2.212497,0.989510,0.984608,0.994352,-0.023208,-0.034157,-0.012132,0.217997,0.197935,0.015812,0.010454,0.021147,0.856948,0.873168,-0.012915,-0.016123,-0.009799,0.156651,0.126168,2.047188,2.206522,0.048326,0.010831,0.989510,0.048326
opponent_stratum,strategic_rule,823379,256,2.096478,2.134426,0.982221,0.977465,0.986947,-0.037949,-0.047989,-0.028022,0.263349,0.229986,0.027934,0.022881,0.033012,0.826765,0.854524,-0.022165,-0.025568,-0.018804,0.187310,0.142349,1.945952,2.132411,0.042940,0.015155,0.982221,0.042940
opponent_stratum,tactical_rule,870102,256,2.087958,2.139382,0.975963,0.970841,0.981070,-0.051424,-0.062164,-0.040456,0.264287,0.219550,0.037298,0.031734,0.042955,0.827083,0.858385,-0.025826,-0.029364,-0.022256,0.186036,0.139300,1.946951,2.137533,0.041599,0.008444,0.975963,0.041599
observer_color,blue,5919355,,2.015610,2.163998,0.931429,,,-0.148388,,,0.279863,0.209633,0.070230,,,0.820058,0.865319,-0.045261,,,0.186023,0.132996,1.974479,2.172148,0.017603,,,
observer_color,red,5218391,,2.169330,2.150446,1.008782,,,0.018884,,,0.226801,0.216172,0.010629,,,0.855074,0.863411,-0.008337,,,0.166217,0.135760,1.984798,2.154405,0.067502,,,
progress_bucket,early,2522901,,2.268062,2.254717,1.005919,,,0.013346,,,0.198605,0.190683,0.007921,,,0.878795,0.879985,-0.001190,,,0.130909,0.119679,2.168424,2.257698,0.044661,,,
progress_bucket,late,5282656,,1.983850,2.096201,0.946402,,,-0.112351,,,0.284527,0.224352,0.060175,,,0.813741,0.854621,-0.040881,,,0.202083,0.143986,1.867438,2.100729,0.040069,,,
progress_bucket,middle,3332189,,2.115556,2.181570,0.969740,,,-0.066014,,,0.250894,0.210885,0.040009,,,0.840439,0.868188,-0.027749,,,0.171274,0.129985,2.013494,2.192813,0.039548,,,
piece_moved,moved,2542826,,1.821647,1.958179,0.930276,,,-0.136532,,,0.297781,0.259268,0.038513,,,0.788827,0.833979,-0.045152,,,0.213337,0.161081,1.813757,1.998073,0.014738,,,
piece_moved,unmoved,8594920,,2.166326,2.216662,0.977292,,,-0.050336,,,0.242345,0.198918,0.043427,,,0.850558,0.873433,-0.022875,,,0.165917,0.126365,2.028294,2.212876,0.048745,,,
true_rank,bomb,1710635,,1.395699,1.809266,0.771417,,,-0.413568,,,0.576581,0.268902,0.307679,,,0.607905,0.784897,-0.176992,,,0.331204,0.173001,1.797711,2.188612,0.190703,,,
true_rank,captain,1128312,,2.139378,2.165953,0.987731,,,-0.026575,,,0.098296,0.018498,0.079797,,,0.900221,0.892347,0.007874,,,0.129599,0.120368,2.052231,2.159226,0.161985,,,
true_rank,colonel,551704,,2.791606,2.800154,0.996947,,,-0.008548,,,0.023007,0.001461,0.021546,,,1.008444,0.999064,0.009379,,,0.074551,0.065179,2.075866,2.182375,0.235288,,,
true_rank,flag,410628,,3.257703,3.199032,1.018340,,,0.058671,,,0.148969,0.002567,0.146403,,,1.004985,1.039477,-0.034492,,,0.124263,0.050214,1.819869,2.137508,0.223550,,,
