batch_size,precision,legality,status,iterations_per_pass,trials,warmup_iterations,warmup_seconds,end_to_end_mean_ms,end_to_end_median_ms,end_to_end_p95_ms,end_to_end_stdev_ms,transfer_mean_ms,model_only_mean_ms,legality_sampling_mean_ms,readback_mean_ms,positions_per_second,model_only_positions_per_second,legality_sampling_positions_per_second,transfer_positions_per_second,readback_positions_per_second,model_share_of_end_to_end,legality_share_of_end_to_end,legality_host_bytes,legality_bytes_per_position,peak_process_memory_bytes,mps_current_allocated_bytes,mps_driver_allocated_bytes,illegal_samples,outputs_finite,error
64,float32,dense,OK,80,3,5,0.0412,6.9644,6.6332,8.8079,0.7611,0.3719,6.5383,0.3629,0.1599,9189.65,9788.55,176340.57,172076.99,400222.5,0.9388,0.0521,640000,10000.0,660570112,45344256,1128005632,0,True,
64,float32,compact,OK,80,3,5,0.0344,6.7043,6.6833,6.8982,0.114,0.5985,6.1276,0.2175,0.1375,9546.18,10444.59,294318.42,106933.41,465496.81,0.914,0.0324,32256,504.0,660668416,51015168,1125859328,0,True,
64,float16,dense,OK,80,3,5,0.0316,5.7614,5.7293,5.966,0.1221,0.4122,5.1019,0.3625,0.1363,11108.43,12544.31,176558.16,155277.13,469447.09,0.8855,0.0629,640000,10000.0,660668416,43707392,1125859328,0,True,
64,float16,compact,OK,80,3,5,0.0292,5.9874,5.8603,6.3811,0.5367,0.679,5.6522,0.2507,0.138,10689.04,11323.04,255250.96,94256.91,463869.56,0.944,0.0419,32256,504.0,660684800,39876608,1125859328,0,True,
64,bfloat16,dense,OK,80,3,5,0.0311,5.8022,5.7887,5.9978,0.1163,0.4486,5.208,0.3682,0.1416,11030.23,12288.89,173825.05,142658.57,451952.96,0.8976,0.0635,640000,10000.0,660684800,40430592,1125859328,0,True,
64,bfloat16,compact,OK,80,3,5,0.0296,5.9218,5.8981,6.1359,0.1195,0.6892,5.0903,0.2355,0.1345,10807.45,12573.04,271726.35,92859.74,475998.71,0.8596,0.0398,32256,504.0,660701184,39876608,1125859328,0,True,
128,float32,dense,OK,80,3,5,0.0621,11.5239,11.5159,11.7284,0.1136,0.4664,11.4995,0.5967,0.1764,11107.31,11130.94,214529.25,274453.56,725784.97,0.9979,0.0518,1280000,10000.0,660750336,73903360,1125859328,0,True,
128,float32,compact,OK,80,3,5,0.0578,11.5057,11.4732,11.8336,0.1496,0.7212,10.765,0.2781,0.1739,11124.89,11890.34,460252.36,177487.96,735932.55,0.9356,0.0242,64512,504.0,660750336,64915712,1125859328,0,True,
128,float16,dense,OK,80,3,5,0.0563,10.0101,9.9981,10.245,0.1269,0.5174,9.0986,0.5577,0.1552,12787.14,14068.09,229519.71,247399.77,824774.64,0.9089,0.0557,1280000,10000.0,660750336,70640896,1125859328,0,True,
128,float16,compact,OK,80,3,5,0.05,10.0471,9.9613,10.4785,0.3465,0.7559,9.0968,0.2645,0.1535,12740.04,14070.92,483919.51,169334.84,833994.14,0.9054,0.0263,64512,504.0,660750336,54734080,1125859328,0,True,
128,bfloat16,dense,OK,80,3,5,0.0523,10.1732,10.0096,11.686,0.6045,0.5463,9.2171,0.5794,0.1546,12582.08,13887.19,220905.42,234316.39,827712.44,0.906,0.057,1280000,10000.0,660799488,73607424,1125859328,0,True,
128,bfloat16,compact,OK,80,3,5,0.0495,10.1372,9.9888,11.082,0.3706,0.7867,9.1873,0.2803,0.1542,12626.75,13932.26,456617.9,162707.26,829899.35,0.9063,0.0277,64512,504.0,660799488,54423808,1125859328,0,True,
256,float32,dense,OK,80,3,5,0.1077,23.1219,23.3288,25.3569,1.5796,0.8192,20.9208,1.1421,0.2881,11071.75,12236.6,224148.84,312491.26,888493.04,0.9048,0.0494,2560000,10000.0,676429824,107297024,1125859328,0,True,
256,float32,compact,OK,80,3,5,0.1078,23.3969,23.453,24.5853,0.7344,1.3688,21.542,0.4924,0.2611,10941.62,11883.78,519939.54,187030.28,980597.09,0.9207,0.021,129024,504.0,676478976,91433216,1125859328,0,True,
256,float16,dense,OK,80,3,5,0.098,20.4475,20.4003,22.0202,0.953,1.2942,18.3151,1.2337,0.3239,12519.85,13977.5,207505.12,197810.0,790483.84,0.8957,0.0603,2560000,10000.0,676478976,116544768,1125859328,0,True,
256,float16,compact,OK,80,3,5,0.0942,19.9192,19.6863,21.3946,0.8772,1.3969,17.8669,0.4829,0.2379,12851.89,14328.21,530125.53,183258.02,1076149.77,0.897,0.0242,129024,504.0,676478976,84731136,1092304896,0,True,
256,bfloat16,dense,OK,80,3,5,0.0982,20.6088,20.6864,22.0475,0.8852,1.3441,18.3229,1.2533,0.3161,12421.86,13971.58,204257.1,190461.51,809836.08,0.8891,0.0608,2560000,10000.0,676478976,123092224,1092304896,0,True,
256,bfloat16,compact,OK,80,3,5,0.0996,19.1371,19.3236,21.234,1.3518,1.5706,18.025,0.5105,0.2474,13377.16,14202.47,501476.66,162995.23,1034734.67,0.9419,0.0267,129024,504.0,676478976,84724992,1092304896,0,True,
512,float32,dense,OK,46,3,5,0.2153,47.1682,47.1302,48.7136,1.0082,1.7311,42.9943,2.4175,0.4232,10854.77,11908.56,211792.67,295763.55,1209713.66,0.9115,0.0513,5120000,10000.0,703021056,161799424,1102790656,0,True,
512,float32,compact,OK,45,3,5,0.2199,46.1142,45.9435,49.0064,1.1846,2.0804,43.3852,0.623,0.3237,11102.88,11801.26,821781.75,246101.66,1581500.58,0.9408,0.0135,258048,504.0,703021056,117054720,1102790656,0,True,
512,float16,dense,OK,52,3,5,0.1949,39.2028,39.3052,41.3464,1.3463,2.3583,34.9921,2.507,0.3955,13060.29,14631.86,204226.92,217108.89,1294584.89,0.8926,0.0639,5120000,10000.0,703610880,130323712,1098596352,0,True,
512,float16,compact,OK,58,3,5,0.1757,37.707,37.7291,39.1182,0.9698,2.4606,34.6369,0.7207,0.3132,13578.36,14781.92,710397.75,208078.13,1634631.1,0.9186,0.0191,258048,504.0,703610880,91911424,1098596352,0,True,
