phase,group,label,num_workers,num_environments,inference_batch_size,precision,legality,record_trajectories,status,measured_seconds,global_steps,positions,games,chunks_per_step,positions_per_second,transitions_per_second,games_per_second,resets_per_second,mean_ms,p50_ms,p95_ms,max_ms,observation_seconds,legality_seconds,transfer_seconds,inference_seconds,sampling_seconds,writeback_seconds,worker_seconds,barrier_seconds,straggler_seconds,coordinator_active_fraction,coordinator_wait_fraction,mps_active_fraction,worker_active_fraction,worker_barrier_wait_fraction,process_memory_bytes,shared_memory_bytes,worker_max_rss_bytes,error
screen,batch_sweep,w8_e2048_b64_float16_dense,8,2048,64,float16,dense,False,ok,12.275185,40,81920,176,32.0,6673.626236,6673.626236,14.337869,11.975379,306.872114,244.288395,544.834125,592.358959,0.000323,2.9e-05,0.490129,9.894162,0.98456,0.00335,0.891054,0.884783,0.041445,0.926467,0.07259,0.80603,0.069884,0.930116,462110720,125718528,581287936,
screen,batch_sweep,w8_e2048_b128_float16_dense,8,2048,128,float16,dense,False,ok,12.191018,49,100352,212,16.0,8231.634227,8231.634227,17.389852,15.011052,248.788603,214.791333,354.317459,379.140583,0.000405,3.7e-05,0.439833,9.756597,0.89895,0.004323,1.080965,1.073044,0.046829,0.910518,0.088669,0.80031,0.085601,0.914399,464240640,125718528,602816512,
screen,batch_sweep,w8_e2048_b256_float16_dense,8,2048,256,float16,dense,False,ok,12.056651,68,139264,271,8.0,11550.802596,11550.802596,22.47722,20.071908,177.295664,177.219959,189.996583,196.486416,0.000568,5.2e-05,0.417279,9.190754,0.770132,0.006709,1.662981,1.650559,0.0889,0.861391,0.137931,0.762297,0.132396,0.867604,464322560,125718528,645332992,
screen,batch_sweep,w8_e2048_b512_float16_dense,8,2048,512,float16,dense,False,ok,12.152725,69,141312,275,4.0,11628.008918,11628.008918,22.628669,20.242373,176.118422,176.666958,184.749,189.322459,0.000577,5.3e-05,0.39686,9.328189,0.725905,0.00591,1.689546,1.677776,0.083073,0.860506,0.139026,0.76758,0.133787,0.866213,466731008,125718528,647315456,
screen,batch_sweep,w8_e2048_b1024_float16_dense,8,2048,1024,float16,dense,False,ok,12.086407,69,141312,275,2.0,11691.812415,11691.812415,22.752834,20.353444,175.157687,173.436584,185.319083,203.538917,0.000546,4.9e-05,0.357809,9.490608,0.663686,0.005321,1.564616,1.554294,0.191218,0.870235,0.129453,0.78523,0.118738,0.881262,467763200,125718528,647217152,
screen,batch_sweep,w8_e2048_b1536_float16_dense,8,2048,1536,float16,dense,False,ok,12.08857,68,139264,271,2.0,11520.303731,11520.303731,22.41787,20.01891,177.764774,176.689271,186.730334,199.934125,0.000597,5.3e-05,0.36132,9.347946,0.66474,0.006087,1.703671,1.691675,0.096302,0.858724,0.140932,0.773288,0.134649,0.865351,469024768,125718528,644595712,
screen,batch_sweep,w8_e2048_b2048_float16_dense,8,2048,2048,float16,dense,False,ok,12.014199,68,139264,271,1.0,11591.617632,11591.617632,22.556643,20.142833,176.670501,176.808041,182.462708,188.932708,0.000641,5.4e-05,0.351398,8.957341,0.645505,0.007114,2.047847,2.033553,0.089138,0.82919,0.170452,0.745563,0.163876,0.836124,470171648,125718528,645758976,
screen,worker_sweep,w4_e2048_b2048_float16_dense,4,2048,2048,float16,dense,False,ok,12.03053,63,129024,258,1.0,10724.714279,10724.714279,21.445439,19.034905,190.95293,191.602833,194.078833,194.484458,0.000549,4.7e-05,0.312705,8.086593,0.584328,0.005714,3.037683,3.029007,0.045796,0.74726,0.252498,0.672173,0.249225,0.750775,470237184,125718528,478052352,
screen,worker_sweep,w6_e2048_b2048_float16_dense,6,2048,2048,float16,dense,False,ok,12.075116,67,137216,269,1.0,11363.535041,11363.535041,22.277219,19.875586,180.216827,180.308208,184.114,184.413084,0.000614,5.3e-05,0.339997,8.634777,0.62682,0.006597,2.462899,2.451189,0.04679,0.795757,0.203965,0.715089,0.200188,0.799812,470335488,125718528,565575680,
screen,worker_sweep,w10_e2048_b2048_float16_dense,10,2048,2048,float16,dense,False,ok,12.124512,73,149504,289,1.0,12330.723508,12330.723508,23.836012,21.444163,166.08115,162.847042,173.704292,181.0165,0.000611,5.8e-05,0.369765,9.591687,0.673269,0.006303,1.479484,1.465663,0.122445,0.877701,0.122024,0.791099,0.113672,0.886328,470335488,125718528,733659136,
