elapsed_seconds,global_steps,positions,games,resets,window_seconds,window_positions_per_second,window_games_per_second,coordinator_rss_bytes,shared_memory_bytes,workers_alive,workers_expected,mps_current_allocated_bytes,mps_driver_allocated_bytes,swap_total_bytes,swap_used_bytes,swap_free_bytes
60.11655,379,582144,836,836,60.11655,9683.589641,13.90632,475152384,94288896,10,10,1748480,4352327680,0,0,0
120.148054,736,1130496,1791,1791,60.031505,9134.403753,15.908314,475152384,94288896,10,10,1748480,4352327680,0,0,0
180.204133,1090,1674240,2893,2893,60.056079,9053.937806,18.349516,475152384,94288896,10,10,1748480,4352327680,0,0,0
240.26492,1439,2210304,3930,3930,60.060787,8925.357584,17.265841,475152384,94288896,10,10,1748480,4352327680,0,0,0
300.280247,1782,2737152,4993,4993,60.015327,8778.557505,17.712142,475152384,94288896,10,10,1748480,4352327680,0,0,0
360.291837,2131,3273216,6035,6035,60.01159,8932.674505,17.363313,475152384,94288896,10,10,1748480,4352327680,0,0,0
420.321833,2481,3810816,7099,7099,60.029996,8955.522792,17.724472,475152384,94288896,10,10,1748480,4352327680,0,0,0
480.36813,2822,4334592,8129,8129,60.046297,8722.869307,17.153431,475152384,94288896,10,10,1748480,4352327680,0,0,0
540.391468,3169,4867584,9093,9093,60.023338,8879.746038,16.06042,475152384,94288896,10,10,1748480,4352327680,0,0,0
600.64527,3522,5409792,10124,10124,60.253801,8998.735125,17.110954,475152384,94288896,10,10,1748480,4352327680,0,0,0
660.792332,3869,5942784,11120,11120,60.147062,8861.48018,16.559412,475152384,94288896,10,10,1748480,4352327680,0,0,0
720.890377,4210,6466560,12195,12195,60.098045,8715.358366,17.887437,475152384,94288896,10,10,1748480,4352327680,0,0,0
780.995974,4561,7005696,13220,13220,60.105597,8969.813558,17.05332,475152384,94288896,10,10,1748480,4352327680,0,0,0
841.080912,4911,7543296,14222,14222,60.084938,8947.333924,16.676392,475152384,94288896,10,10,1748480,4352327680,0,0,0
901.150808,5257,8074752,15326,15326,60.069896,8847.293536,18.37859,475152384,94288896,10,10,1748480,4352327680,0,0,0
961.497685,5614,8623104,16374,16374,60.346878,9086.667288,17.366267,475152384,94288896,10,10,1748480,4352327680,0,0,0
1021.555201,5959,9153024,17360,17360,60.057515,8823.541875,16.417596,475152384,94288896,10,10,1748480,4352327680,0,0,0
1081.652976,6298,9673728,18348,18348,60.097776,8664.28073,16.439876,475152384,94288896,10,10,1748480,4352327680,0,0,0
1141.764915,6641,10200576,19363,19363,60.111939,8764.448625,16.885165,475152384,94288896,10,10,1748480,4352327680,0,0,0
1201.899997,6991,10738176,20477,20477,60.135082,8939.873031,18.52496,475152384,94288896,10,10,1748480,4352327680,0,0,0
1262.065623,7342,11277312,21511,21511,60.165626,8960.864188,17.185893,475152384,94288896,10,10,1748480,4352327680,0,0,0
1322.148417,7686,11805696,22572,22572,60.082794,8794.264751,17.658966,475152384,94288896,10,10,1748480,4352327680,0,0,0
1382.309213,8028,12331008,23614,23614,60.160796,8731.79939,17.32025,475152384,94288896,10,10,1748480,4352327680,0,0,0
1442.372016,8376,12865536,24610,24610,60.062802,8899.484835,16.582643,475152384,94288896,10,10,1748480,4352327680,0,0,0
1502.454061,8721,13395456,25661,25661,60.082045,8819.939413,17.492747,475152384,94288896,10,10,1748480,4352327680,0,0,0
1562.52933,9065,13923840,26689,26689,60.075269,8795.366341,17.111867,475152384,94288896,10,10,1748480,4352327680,0,0,0
1622.632358,9413,14458368,27714,27714,60.103028,8893.528675,17.054049,475152384,94288896,10,10,1748480,4352327680,0,0,0
1682.644388,9762,14994432,28789,28789,60.01203,8932.60895,17.913075,475152384,94288896,10,10,1748480,4352327680,0,0,0
1742.666357,10116,15538176,29787,29787,60.021969,9059.083092,16.627245,475152384,94288896,10,10,1748480,4352327680,0,0,0
1802.785229,10457,16061952,30807,30807,60.118872,8712.339041,16.966386,475152384,94288896,10,10,1748480,4352327680,0,0,0
1862.904883,10807,16599552,31836,31836,60.119654,8942.167238,17.115867,475152384,94288896,10,10,1748480,4352327680,0,0,0
1923.003235,11153,17131008,32854,32854,60.098352,8843.104396,16.9389,475152384,94288896,10,10,1748480,4352327680,0,0,0
1983.03667,11492,17651712,33891,33891,60.033435,8673.566631,17.273708,475152384,94288896,10,10,1748480,4352327680,0,0,0
2043.170444,11843,18190848,34937,34937,60.133774,8965.610555,17.394551,475152384,94288896,10,10,1748480,4352327680,0,0,0
2103.272788,12191,18725376,35951,35951,60.102343,8893.62995,16.871222,475152384,94288896,10,10,1748480,4352327680,0,0,0
2163.453032,12544,19267584,37029,37029,60.180245,9009.734046,17.912855,475152384,94288896,10,10,1748480,4352327680,0,0,0
2223.570775,12894,19805184,38067,38067,60.117742,8942.4516,17.266117,475152384,94288896,10,10,1748480,4352327680,0,0,0
2283.607779,13234,20327424,39108,39108,60.037005,8698.635153,17.339306,475152384,94288896,10,10,1748480,4352327680,0,0,0
2343.698829,13586,20868096,40186,40186,60.09105,8997.546211,17.939444,475152384,94288896,10,10,1748480,4352327680,0,0,0
2403.826583,13934,21402624,41253,41253,60.127753,8889.871488,17.745549,475152384,94288896,10,10,1748480,4352327680,0,0,0
2463.842076,14281,21935616,42288,42288,60.015494,8880.906722,17.245547,475152384,94288896,10,10,1748480,4352327680,0,0,0
2523.880591,14617,22451712,43344,43344,60.038515,8596.082067,17.58871,475152384,94288896,10,10,1748480,4352327680,0,0,0
2583.936828,14967,22989312,44348,44348,60.056237,8951.609737,16.717664,475152384,94288896,10,10,1748480,4352327680,0,0,0
2644.021158,15306,23510016,45334,45334,60.08433,8666.219634,16.410269,475152384,94288896,10,10,1748480,4352327680,0,0,0
2704.023008,15654,24044544,46395,46395,60.00185,8908.525358,17.682788,475152384,94288896,10,10,1748480,4352327680,0,0,0
2764.06595,16003,24580608,47425,47425,60.042942,8928.010174,17.154389,475152384,94288896,10,10,1748480,4352327680,0,0,0
2824.178353,16355,25121280,48463,48463,60.112402,8994.35024,17.267651,475152384,94288896,10,10,1748480,4352327680,0,0,0
2884.242153,16692,25638912,49478,49478,60.0638,8618.036137,16.898698,475152384,94288896,10,10,1748480,4352327680,0,0,0
2944.32846,17041,26174976,50512,50512,60.086307,8921.566766,17.20858,475152384,94288896,10,10,1748480,4352327680,0,0,0
3004.474021,17387,26706432,51547,51547,60.145561,8836.163345,17.208253,475152384,94288896,10,10,1748480,4352327680,0,0,0
3064.591544,17732,27236352,52598,52598,60.117523,8814.734463,17.482424,475152384,94288896,10,10,1748480,4352327680,0,0,0
3124.651331,18082,27773952,53624,53624,60.059787,8951.080634,17.082978,475152384,94288896,10,10,1748480,4352327680,0,0,0
3184.72261,18427,28303872,54686,54686,60.071279,8821.520212,17.678998,475152384,94288896,10,10,1748480,4352327680,0,0,0
3244.825646,18774,28836864,55750,55750,60.103036,8867.971322,17.702933,475152384,94288896,10,10,1748480,4352327680,0,0,0
3304.923461,19125,29376000,56833,56833,60.097815,8970.975074,18.020622,475152384,94288896,10,10,1748480,4352327680,0,0,0
3364.961334,19467,29901312,57831,57831,60.037873,8749.677058,16.622841,475152384,94288896,10,10,1748480,4352327680,0,0,0
3425.11804,19815,30435840,58895,58895,60.156706,8885.592886,17.687139,475152384,94288896,10,10,1748480,4352327680,0,0,0
3485.148983,20166,30974976,59956,59956,60.030943,8980.968409,17.674219,475152384,94288896,10,10,1748480,4352327680,0,0,0
3545.194918,20507,31498752,60902,60902,60.045936,8722.921786,15.754605,475152384,94288896,10,10,1748480,4352327680,0,0,0
3605.296278,20849,32024064,61890,61890,60.10136,8740.434487,16.438896,475152384,94288896,10,10,1748480,4352327680,0,0,0
3665.314821,21205,32570880,62951,62951,60.018543,9110.784293,17.67787,475152384,94288896,10,10,1748480,4352327680,0,0,0
3725.340186,21550,33100800,64003,64003,60.025365,8828.267893,17.525924,475152384,94288896,10,10,1748480,4352327680,0,0,0
3785.425438,21891,33624576,65014,65014,60.085252,8717.214001,16.826092,475152384,94288896,10,10,1748480,4352327680,0,0,0
3845.429897,22243,34165248,66022,66022,60.004459,9010.530405,16.798752,475152384,94288896,10,10,1748480,4352327680,0,0,0
3905.431737,22585,34690560,67083,67083,60.00184,8754.931503,17.682791,475152384,94288896,10,10,1748480,4352327680,0,0,0
3965.454403,22932,35223552,68122,68122,60.022666,8879.845546,17.310128,475152384,94288896,10,10,1748480,4352327680,0,0,0
4025.514111,23279,35756544,69180,69180,60.059708,8874.368814,17.615803,475152384,94288896,10,10,1748480,4352327680,0,0,0
4085.624714,23624,36286464,70196,70196,60.110604,8815.749109,16.902176,475152384,94288896,10,10,1748480,4352327680,0,0,0
4145.685732,23972,36820992,71269,71269,60.061018,8899.749239,17.865165,475152384,94288896,10,10,1748480,4352327680,0,0,0
4205.760355,24320,37355520,72313,72313,60.074622,8897.733839,17.378386,475152384,94288896,10,10,1748480,4352327680,0,0,0
4265.909482,24664,37883904,73335,73335,60.149128,8784.566296,16.991103,475152384,94288896,10,10,1748480,4352327680,0,0,0
4326.088732,25010,38415360,74370,74370,60.17925,8831.216807,17.198619,475152384,94288896,10,10,1748480,4352327680,0,0,0
4386.160429,25359,38951424,75435,75435,60.071697,8923.736538,17.728815,475152384,94288896,10,10,1748480,4352327680,0,0,0
4446.290297,25703,39479808,76463,76463,60.129868,8787.380033,17.096329,475152384,94288896,10,10,1748480,4352327680,0,0,0
4506.412081,26042,40000512,77516,77516,60.121784,8660.820885,17.51445,475152384,94288896,10,10,1748480,4352327680,0,0,0
4566.430932,26388,40531968,78577,78577,60.018852,8854.817866,17.677779,475152384,94288896,10,10,1748480,4352327680,0,0,0
4626.435694,26745,41080320,79633,79633,60.004761,9138.474818,17.598603,475152384,94288896,10,10,1748480,4352327680,0,0,0
4686.528953,27087,41605632,80636,80636,60.09326,8741.612681,16.690724,475152384,94288896,10,10,1748480,4352327680,0,0,0
4746.592523,27435,42140160,81676,81676,60.063569,8899.371209,17.314988,475152384,94288896,10,10,1748480,4352327680,0,0,0
4806.906051,27782,42673152,82723,82723,60.313529,8837.022354,17.359289,475152384,94288896,10,10,1748480,4352327680,0,0,0
4866.95817,28122,43195392,83758,83758,60.052119,8696.445784,17.235029,475152384,94288896,10,10,1748480,4352327680,0,0,0
4927.027142,28473,43734528,84798,84798,60.068972,8975.282657,17.313431,475152384,94288896,10,10,1748480,4352327680,0,0,0
4987.177891,28822,44270592,85874,85874,60.150748,8912.008801,17.888389,475152384,94288896,10,10,1748480,4352327680,0,0,0
5047.178319,29166,44798976,86938,86938,60.000428,8806.337133,17.733207,475152384,94288896,10,10,1748480,4352327680,0,0,0
5107.252568,29513,45331968,87922,87922,60.074249,8872.220713,16.37973,475152384,94288896,10,10,1748480,4352327680,0,0,0
5167.350891,29855,45857280,88975,88975,60.098323,8740.876181,17.521288,475152384,94288896,10,10,1748480,4352327680,0,0,0
5227.464699,30208,46399488,90014,90014,60.113807,9019.691531,17.283883,475152384,94288896,10,10,1748480,4352327680,0,0,0
5287.604399,30550,46924800,91023,91023,60.1397,8734.862281,16.777603,475152384,94288896,10,10,1748480,4352327680,0,0,0
5347.624703,30899,47460864,92037,92037,60.020303,8931.377702,16.894283,475152384,94288896,10,10,1748480,4352327680,0,0,0
5407.639945,31249,47998464,93050,93050,60.015243,8957.724359,16.879045,475152384,94288896,10,10,1748480,4352327680,0,0,0
5467.704064,31588,48519168,94069,94069,60.064118,8669.135824,16.965204,475152384,94288896,10,10,1748480,4352327680,0,0,0
5527.721795,31936,49053696,95103,95103,60.017731,8906.168048,17.228242,475152384,94288896,10,10,1748480,4352327680,0,0,0
5587.72801,32282,49585152,96109,96109,60.006215,8856.682595,16.76493,475152384,94288896,10,10,1748480,4352327680,0,0,0
5647.822074,32633,50124288,97112,97112,60.094064,8971.535025,16.6905,475152384,94288896,10,10,1748480,4352327680,0,0,0
5707.915301,32977,50652672,98167,98167,60.093228,8792.737899,17.556055,475152384,94288896,10,10,1748480,4352327680,0,0,0
5767.993263,33329,51193344,99211,99211,60.077962,8999.506385,17.37742,475152384,94288896,10,10,1748480,4352327680,0,0,0
5828.023664,33677,51727872,100235,100235,60.0304,8904.28842,17.058024,475152384,94288896,10,10,1748480,4352327680,0,0,0
5888.154631,34024,52260864,101260,101260,60.130967,8863.852125,17.046125,475152384,94288896,10,10,1748480,4352327680,0,0,0
5948.287,34359,52775424,102262,102262,60.132369,8557.121664,16.663238,475152384,94288896,10,10,1748480,4352327680,0,0,0
6008.368971,34702,53302272,103287,103287,60.081971,8768.820202,17.060026,475152384,94288896,10,10,1748480,4352327680,0,0,0
6068.527894,35059,53850624,104322,104322,60.158923,9115.056835,17.20443,475152384,94288896,10,10,1748480,4352327680,0,0,0
6128.664653,35404,54380544,105348,105348,60.136759,8811.914807,17.061112,475152384,94288896,10,10,1748480,4352327680,0,0,0
6188.706663,35748,54908928,106428,106428,60.04201,8800.238379,17.987406,475152384,94288896,10,10,1748480,4352327680,0,0,0
6248.7484,36095,55441920,107423,107423,60.041737,8877.025037,16.571806,475152384,94288896,10,10,1748480,4352327680,0,0,0
6308.907392,36440,55971840,108449,108449,60.158993,8808.658108,17.054807,475152384,94288896,10,10,1748480,4352327680,0,0,0
6368.96335,36786,56503296,109457,109457,60.055958,8849.346841,16.784346,475152384,94288896,10,10,1748480,4352327680,0,0,0
6429.092694,37131,57033216,110482,110482,60.129344,8813.001488,17.046585,475152384,94288896,10,10,1748480,4352327680,0,0,0
6489.202339,37478,57566208,111537,111537,60.109645,8866.996352,17.55126,475152384,94288896,10,10,1748480,4352327680,0,0,0
6549.266472,37826,58100736,112607,112607,60.064133,8899.287626,17.814292,475152384,94288896,10,10,1748480,4352327680,0,0,0
6609.268209,38177,58639872,113623,113623,60.001737,8985.339943,16.932843,475152384,94288896,10,10,1748480,4352327680,0,0,0
6669.399343,38517,59162112,114662,114662,60.131134,8685.01832,17.278902,475152384,94288896,10,10,1748480,4352327680,0,0,0
6729.430982,38864,59695104,115652,115652,60.031639,8878.518265,16.491304,475152384,94288896,10,10,1748480,4352327680,0,0,0
6789.500735,39213,60231168,116696,116696,60.069753,8924.025356,17.379795,475152384,94288896,10,10,1748480,4352327680,0,0,0
6849.573168,39551,60750336,117727,117727,60.072433,8642.366821,17.162614,475152384,94288896,10,10,1748480,4352327680,0,0,0
6909.687113,39907,61297152,118764,118764,60.113945,9096.325245,17.250573,475152384,94288896,10,10,1748480,4352327680,0,0,0
6969.689844,40251,61825536,119807,119807,60.002731,8805.999131,17.382542,475152384,94288896,10,10,1748480,4352327680,0,0,0
7029.74043,40602,62364672,120852,120852,60.050586,8978.030629,17.401995,475152384,94288896,10,10,1748480,4352327680,0,0,0
7089.839385,40949,62897664,121835,121835,60.098955,8868.573548,16.356358,475152384,94288896,10,10,1748480,4352327680,0,0,0
7149.95265,41286,63415296,122864,122864,60.113265,8610.944731,17.117686,475152384,94288896,10,10,1748480,4352327680,0,0,0
