policy_id,role,reference_opponent,games,moves,mean_game_plies,attack_rate,scout_move_rate,scout_run_rate,miner_move_rate,miner_attack_rate,mean_move_distance,piece_type_entropy_bits,own_reveal_rate,draw_rate,battleless_draw_rate,flag_capture_win_rate,effective_win_rate
random_legal,ladder,strategic_rule_based,128,22254,348.187500,0.047677,0.119664,0.045745,0.131437,0.004539,1.077245,3.218467,0.800195,0.023438,0.023438,0.015625,0.027344
random_legal,ladder,all,128,22254,348.187500,0.047677,0.119664,0.045745,0.131437,0.004539,1.077245,3.218467,0.800195,0.023438,0.023438,0.015625,0.027344
basic_heuristic,ladder,random_legal,128,21894,341.742188,0.213940,0.115511,0.065817,0.151731,0.027724,1.137709,3.199533,0.670312,0.054688,0.046875,0.750000,0.863281
basic_heuristic,ladder,strategic_rule_based,128,13829,216.367188,0.201316,0.099356,0.060887,0.139923,0.017789,1.124232,3.225733,0.824219,0.000000,0.000000,0.210938,0.210938
basic_heuristic,ladder,all,256,35723,279.054688,0.209053,0.109257,0.063908,0.147160,0.023878,1.132492,3.213177,0.747266,0.027344,0.023438,0.480469,0.537109
tactical_rule_based,ladder,random_legal,128,19124,298.320312,0.210573,0.135903,0.065311,0.185683,0.023008,1.128059,3.172031,0.536719,0.000000,0.000000,0.937500,0.992188
tactical_rule_based,ladder,strategic_rule_based,128,19341,302.156250,0.147769,0.127294,0.057029,0.166279,0.011685,1.112869,3.185506,0.728906,0.000000,0.000000,0.539062,0.546875
tactical_rule_based,ladder,all,256,38465,300.238281,0.178994,0.131574,0.061146,0.175926,0.017314,1.120421,3.181186,0.632812,0.000000,0.000000,0.738281,0.769531
strategic_rule_based,ladder,random_legal,128,21449,334.656250,0.191384,0.169752,0.126812,0.181221,0.022192,1.216094,3.139899,0.584375,0.015625,0.015625,0.875000,0.984375
strategic_rule_based,ladder,all,128,21449,334.656250,0.191384,0.169752,0.126812,0.181221,0.022192,1.216094,3.139899,0.584375,0.015625,0.015625,0.875000,0.984375
stress_scout_rush,stress,random_legal,128,55344,864.867188,0.048370,0.830930,0.068643,0.026146,0.004644,1.111701,1.170648,0.592773,0.515625,0.515625,0.296875,0.609375
stress_scout_rush,stress,strategic_rule_based,128,21161,330.992188,0.087661,0.692878,0.097916,0.047540,0.006427,1.196588,1.835862,0.764062,0.132812,0.132812,0.140625,0.207031
stress_scout_rush,stress,all,256,76505,597.929688,0.059238,0.792746,0.076740,0.032063,0.005137,1.135181,1.371550,0.678418,0.324219,0.324219,0.218750,0.408203
stress_miner_rush,stress,random_legal,128,39864,622.570312,0.063090,0.025261,0.016030,0.853000,0.014123,1.035922,1.046724,0.451953,0.289062,0.289062,0.578125,0.832031
stress_miner_rush,stress,strategic_rule_based,128,24008,375.437500,0.058772,0.023451,0.017661,0.821976,0.005790,1.039612,1.225071,0.679688,0.320312,0.320312,0.093750,0.261719
stress_miner_rush,stress,all,256,63872,499.003906,0.061467,0.024580,0.016643,0.841339,0.010991,1.037309,1.115917,0.565820,0.304688,0.304688,0.335938,0.546875
stress_draw_seeker,stress,random_legal,128,77878,1217.335938,0.000000,0.204358,0.052801,0.109004,0.000000,1.086558,3.007441,0.494141,0.914062,0.914062,0.000000,0.464844
stress_draw_seeker,stress,strategic_rule_based,128,22805,356.828125,0.000000,0.153212,0.036176,0.090375,0.000000,1.054900,3.106641,0.748242,0.062500,0.062500,0.000000,0.031250
stress_draw_seeker,stress,all,256,100683,787.082031,0.000000,0.192773,0.049035,0.104784,0.000000,1.079388,3.037980,0.621191,0.488281,0.488281,0.000000,0.248047
stress_berserker,stress,random_legal,128,17731,277.109375,0.315775,0.094524,0.063617,0.172015,0.040381,1.161525,3.190403,0.717578,0.000000,0.000000,0.421875,0.437500
stress_berserker,stress,strategic_rule_based,128,12443,194.742188,0.275978,0.104557,0.068553,0.151250,0.025798,1.148758,3.211639,0.796680,0.000000,0.000000,0.179688,0.179688
stress_berserker,stress,all,256,30174,235.925781,0.299364,0.098661,0.065653,0.163452,0.034367,1.156260,3.201376,0.757129,0.000000,0.000000,0.300781,0.308594
stress_information_miser,stress,random_legal,128,83761,1308.867188,0.000000,0.075632,0.000000,0.058583,0.000000,1.000000,3.126983,0.618750,0.507812,0.507812,0.000000,0.652344
stress_information_miser,stress,strategic_rule_based,128,27100,423.937500,0.000000,0.026421,0.000000,0.039225,0.000000,1.000000,2.918835,0.801758,0.054688,0.054688,0.000000,0.027344
stress_information_miser,stress,all,256,110861,866.402344,0.000000,0.063602,0.000000,0.053851,0.000000,1.000000,3.095229,0.710254,0.281250,0.281250,0.000000,0.339844
stress_chaos,stress,random_legal,128,68149,1064.710938,0.071505,0.069686,0.029436,0.128234,0.006574,1.057888,3.235960,0.739844,0.421875,0.421875,0.085938,0.523438
stress_chaos,stress,strategic_rule_based,128,23228,363.375000,0.094498,0.108447,0.051403,0.078612,0.006974,1.097942,3.219830,0.819141,0.039062,0.039062,0.039062,0.058594
stress_chaos,stress,all,256,91377,714.042969,0.077350,0.079539,0.035020,0.115620,0.006676,1.068070,3.246519,0.779492,0.230469,0.230469,0.062500,0.291016
