worker_count,match_id,paired_unit_id,candidate_policy_id,opponent_policy_id,candidate_color,setup_pair_id,replay_digest,winner,terminal_reason,plies,candidate_result
1,m-0039da27715ab057c0a9bb5e,u-7d3efa2529a8ad349be10cc6,basic_heuristic,tactical_rule_based,0,19,77d936700117663b62cca3bdacb63f54185ca8da8a9eb7abdb0cacacb7af21df,0,flag_capture,81,win
1,m-0063e4e628bd6bd6bab06d65,u-a07c36f7daa82cf0bf65a600,tactical_rule_based,strategic_rule_based,1,31,5fdaa9433a059485fa7cd99dce3f202833bce5a9c1d0c2551f10ad4e6933d5af,1,flag_capture,214,win
1,m-006a1071d4ca50ebc9a09318,u-31f1a18b985ece217f048e22,strategic_rule_based,stress_draw_seeker,1,3,ae2228448c67523ff251356501f22b6bd5e7eca553f5ba5bc1a09345b69ac0cb,1,flag_capture,314,win
1,m-00b642b415993ae29d044592,u-8ef79458cc4b25951fb2feb3,strategic_rule_based,stress_draw_seeker,0,30,39076679f4a9c194382551e4b0360b8ffa839dcc245d522016e02485526a6514,0,flag_capture,355,win
1,m-00dcaf5b1dd29f2b71d62157,u-0d58eef10cafebd824d953e2,strategic_rule_based,stress_draw_seeker,1,10,02157999005fc85bf100c5505f6d6671cfccc5c91dfd25c427682081597daab2,1,flag_capture,368,win
1,m-011c121398a0b940abebd055,u-58df7e5686d50256f20dfbd1,basic_heuristic,tactical_rule_based,0,52,df55bb92973c421266ac416cc47de507cead599ad65de6fec350466c59dcbb43,0,flag_capture,211,win
1,m-01dc395cd4e933c0622e78b8,u-df9bb12ad6cd1e85c4d79cbe,tactical_rule_based,strategic_rule_based,1,28,8c6f8283acffb7cda8e31cbcd7cbe2d08136595a2e3d62dc86a9177e54d134cc,1,flag_capture,206,win
1,m-020951a26c827aa973a01e50,u-5edad480d29e909e9d447763,random_legal,strategic_rule_based,1,1,7fd240370113d168ec3e0b121742102b6e489a36aa5d810bbe8a978b79389320,0,flag_capture,185,loss
1,m-0214907951d72d52247c120f,u-bb8e0ac09a5b14e6266d0cd1,strategic_rule_based,stress_draw_seeker,1,6,95fb78ba5b9a7c01d0e7c59afc360766d07c4c9f829f39f03593b7f8f58a5a77,1,flag_capture,406,win
1,m-022352327ed8afd0e275f16d,u-4735bddb7863a8d1230a89a5,strategic_rule_based,stress_draw_seeker,1,34,c75f57959a881a5fe7ea992cdf5b4eca15180478ef0a06ceb7362cd2e23692bf,,battleless_move_limit_draw,570,draw
1,m-022525675016147c43014735,u-74e81f7d3f7362502aaf2f59,basic_heuristic,tactical_rule_based,0,15,38bbf2b06f9dd0bfb82df26f879d52f3d4bdeb137d686b386be24b87a498b12f,1,opponent_no_legal_move,132,loss
1,m-03918ceadfaf4b7d4bb65871,u-3ecb6c4ef0e7b02731e659e1,random_legal,strategic_rule_based,1,43,0094d0202c83f7721e52b0fb2b6207d2523563bc443a58c12c4a5bdbcdf4b481,0,flag_capture,281,loss
1,m-03d791deadc8bc43752c455b,u-6eb1c01984c0a75b3f757008,strategic_rule_based,stress_draw_seeker,0,13,76c6aee3e7f7644dfea7ef5c4a03634596c1ddc34b4c8693b8b8fec3133e48f1,0,flag_capture,239,win
1,m-043f32d8e1c50e0467c609cd,u-e2f265f5d334d3cf6be17c2f,tactical_rule_based,strategic_rule_based,0,6,72358729cda03caafdbabf59c9a770c4bdeb1f7047fc1538d7f4391b3b5cfba3,0,flag_capture,317,win
1,m-04ce7587604b056d30f4f846,u-385c277f912d84c0a10ed977,tactical_rule_based,strategic_rule_based,1,54,5ce9f8f06919d29649d0ec6b1a5ecc5dc3b09dd3d9ff0b37901c9b89554163f4,0,flag_capture,169,loss
1,m-04e39bbbaf25d402cf3d630c,u-ab1c78566f57d30da4578cb0,basic_heuristic,tactical_rule_based,1,26,46c5711cfe5e017505d549d7a9d5e3ebef6681b875edce2d6c10a457e84dfae6,1,flag_capture,200,win
1,m-051b485441009c2664927f31,u-5c640903c0652d53d98a94a6,tactical_rule_based,strategic_rule_based,1,46,116a7b92130bef9ddb55a081f4a49e4e8a9fcadda6cd7c18e91f9e407d885ca4,0,flag_capture,285,loss
1,m-0591a323d7fd46adac4763f2,u-a8dedf88fc3b296fd83322ae,random_legal,strategic_rule_based,0,5,12467abcddb1e7c4e78f098af3750fc9d02f280a6516ab4ee21f839c730da9a8,1,flag_capture,362,loss
1,m-05b1970968ccda8e2b6c14ba,u-61062c33e8a06bc291b05b1a,strategic_rule_based,stress_draw_seeker,1,58,6d3a63a508fa238cf3c5ae93377139f51c7ef2649cef25b10c21576ffb549f39,1,flag_capture,178,win
1,m-05ba24a6ef00cd0f4ee2053b,u-f1ded0532d382428a9ef8194,random_legal,strategic_rule_based,1,40,6301e65927f2dfbc856617ccbea9e1a336d7a227e90a41475848ca06d18a8842,0,flag_capture,357,loss
1,m-061f90d34172aa6818552818,u-088e8ddf324cbba747ea6b15,basic_heuristic,tactical_rule_based,0,31,3493142d98c2c85315b10b2e315bd9caca83d45f3dbb3948bab5a8d9b6168a46,1,flag_capture,152,loss
1,m-066589e80d0bc32e3cbce05e,u-a268836609d6b9ac1863d18b,strategic_rule_based,stress_draw_seeker,0,20,f6432eac24a616e3a6e98264d7906a55a4a8fc22dcecc9a7b32c7349badb4ea7,0,flag_capture,137,win
1,m-06978a6f3a116da7d4512acd,u-6fc72f4f9fd31dbb10dc5f25,basic_heuristic,tactical_rule_based,1,30,5c0db1f76c2b3b62cdac7591e73a5ff837d96aaf94b4790cc669712fd786b4da,1,flag_capture,276,win
1,m-074126cb0f6505a99179bb84,u-881e2b5c520c89def5cf62c6,tactical_rule_based,strategic_rule_based,0,49,8db2cdaee652c1357a2b4ed85b13bffa81b4c688808e98f5e33338b0902a0b7f,0,flag_capture,299,win
1,m-07b31c12e9192a569b56b5c9,u-e44b3743cfda67a91f9ae695,basic_heuristic,tactical_rule_based,1,32,855dfa57cfdd101a3713a03997d25476e22fae959a91166769aebd7b143db168,0,flag_capture,191,loss
1,m-0856609e532ad53847966be4,u-babdddf4523098f007b1eabf,random_legal,strategic_rule_based,0,22,3f6576d564ee21fa1fb21981789e1d2fe55e906d2ec852fc8cc24c8856f3f787,0,flag_capture,133,win
1,m-086400fb463d1cab5d895f25,u-a99c4e9d0c82d4d4fd599aeb,random_legal,strategic_rule_based,0,58,3f4f7c6d5e151173796c8debe3bb8d573b33ecb7d831ce88d9c952c787d4053f,1,flag_capture,126,loss
1,m-088e2d97fe1870f64686b0c0,u-f8e09a87e4f55cb416d69a64,strategic_rule_based,stress_draw_seeker,1,32,3dead0850af1a93a7d4dd101b3f325d89f23bf9539d239ac24b77091e57401a3,1,flag_capture,266,win
1,m-096e9dce93e26561c87599fc,u-4de3a5da29a3999e91e0196b,basic_heuristic,tactical_rule_based,1,13,be54746c86687a06df04e2cec31c719fd561176eb616d2991b1313be32d28155,0,flag_capture,187,loss
1,m-09af9f3c7dc6f42918b6767a,u-3c6aefed1b96c7e7ee9cd91a,basic_heuristic,tactical_rule_based,0,43,0391ec106b4ca750459839de5a0dfd269957e720d29eb03235e73b7f972f56a2,1,opponent_no_legal_move,216,loss
1,m-09f02d7268b417f988c51763,u-c82d5630677f5feca98f2124,strategic_rule_based,stress_draw_seeker,1,25,6341f4a3ad1f1fecbbece164d6db3bc59482c728e8fc43b966bb9732e936fbda,1,flag_capture,322,win
1,m-0a6036065694322cbf53fa54,u-8b7967d6d14e1085e2023a87,tactical_rule_based,strategic_rule_based,1,5,6bf67ed467d8f923440cc0e5aa12f2ebcff1a9812ca75e607b7abda4903b0a74,1,flag_capture,100,win
1,m-0bce8ebc471fbdcd7a8308cb,u-fdb8305f2be759a9753e081b,strategic_rule_based,stress_draw_seeker,0,31,bc0afb39aa9937c4258fd74b579fd4e97755ad3da16e1f98c2e8988859ddfe14,0,flag_capture,483,win
1,m-0bdc2f385a5c5c9485c27ced,u-d70e86a91cf71ba346c2e82c,random_legal,strategic_rule_based,0,27,472d4d113784cbe1462d96e9a1157bdbb10ab1448b7a557287cb5af66cac2f8a,1,flag_capture,322,loss
1,m-0c869f4d24712364b288024a,u-775cafb5ec71ba538aad39f7,tactical_rule_based,strategic_rule_based,0,45,d49677bc1984dc2339467d396e8ed9770da8d5e7c0325b2e7be3fb09057670a4,0,flag_capture,429,win
1,m-0cb9d1d519d2a8829dd958fe,u-0b97d62946aea9a706d6ff16,random_legal,strategic_rule_based,0,46,86aeb2dc29e30b19984eb748103940db12f28a1dc106fb33a2e45064cd96496f,1,opponent_no_legal_move,326,loss
1,m-0dd2d4309e1b1bba99fc9798,u-e346e52948096c9f9f786631,basic_heuristic,tactical_rule_based,0,3,0fd7cd7217350ed791bdac422f18c6232dc451a17377dbdfa2c0d1d8d452d5fb,1,opponent_no_legal_move,210,loss
1,m-0ebaeae62f96f553504fd8ae,u-61062c33e8a06bc291b05b1a,strategic_rule_based,stress_draw_seeker,0,58,d12e53e4b19513b16a08047126085da623b2c62865b4dfea7eedf35688f20106,0,flag_capture,309,win
1,m-0ebf429f6d56174757967292,u-28250fe3115b6e963ab8a7f0,strategic_rule_based,stress_draw_seeker,1,54,3eb9ebc80cc7b47d5eb7712748efdf6621774bb47f0058b4d27d47384e8339aa,1,flag_capture,632,win
1,m-0eece13e6052f79b0712c338,u-4ff90ec0b1aec138771a79f9,strategic_rule_based,stress_draw_seeker,1,53,026e64b95432989fb6cc4651934e0cd269e0203494d35d87144dffb8081ccc2e,1,flag_capture,164,win
1,m-0fbab62422b753b9e3b385e7,u-ed8720c245e4f925f4308faa,basic_heuristic,tactical_rule_based,1,62,8eae9d18f408a8d3f7ec714c749345e927cb3221f7590b5a28be83c6ddef8d44,0,opponent_no_legal_move,189,loss
1,m-0fc4497324104888a97cb1ae,u-89d90e25b053ce99f7a51537,basic_heuristic,tactical_rule_based,0,58,5886676f58ae5e861d65ae0abb2fefeb97510d493d2893c1ec6931345921f417,1,flag_capture,208,loss
1,m-1063e4c734cb3449ed42bc69,u-0f1762df24fe28b3c5f8fdaa,strategic_rule_based,stress_draw_seeker,0,26,3f698a23159a81696c1cb5cd6e299804ffd3353544f6f06670f4726e3198d4f0,0,flag_capture,305,win
1,m-11c5520ebfa6df02e411ed2a,u-bd15ddd269b23956651e2e36,tactical_rule_based,strategic_rule_based,0,21,3189e8da209bea4ba91e8cacf7a9ceadab4f70852f16a6fe4f4f1ff751c0bbd6,0,flag_capture,223,win
1,m-12195ddcae264c447605f0d5,u-89d90e25b053ce99f7a51537,basic_heuristic,tactical_rule_based,1,58,a935203d6255ea10fbe74074fe6b119d475241308e3a6e93abd223f4205e902b,1,flag_capture,96,win
1,m-134692a4f6135a829f25400b,u-d54e3f92bc28b0d44f99e084,strategic_rule_based,stress_draw_seeker,1,50,a365ee79f802a6fe3864623b0dbc5758487a4bee2e36eb031e867e3a8137f736,1,flag_capture,400,win
1,m-14a7f37bdde409b16f98536c,u-4a7458bb03e09cbf5f9b9188,random_legal,strategic_rule_based,0,10,88734442092978671d90508f66d499db7ecab666476b5fc9375f36e5da844dae,1,flag_capture,292,loss
1,m-157d3e72b59efbeadf0166b4,u-d9ab8d8c85fc76009c782894,tactical_rule_based,strategic_rule_based,0,17,e43e872fa67a3a10516d43bf94f3f517656b74b90a3ed6354a20bde0ab7dc393,1,flag_capture,330,loss
1,m-15d558c1c81848478a06231e,u-2400c24187b544ff94fdc0e9,random_legal,strategic_rule_based,0,62,2f137c439ec2ea6f3ee6c1b3de2591b5b53b253bd8447d3b8ee1b5ee4008d624,1,flag_capture,574,loss
1,m-167278f0155981ba216b2d66,u-b9a299ec953e4bf8a0a46306,random_legal,strategic_rule_based,0,14,f482762a4c7fb5b50a40fc59bc71bc04ff97d85428cf87802e1d1ce648186957,1,flag_capture,96,loss
1,m-167b6d5fb366dfbd4abb07e8,u-a99c4e9d0c82d4d4fd599aeb,random_legal,strategic_rule_based,1,58,f759671b836d9125935d77f95e5fd63372f8b8299b033fc481686f625f1bb38f,0,flag_capture,487,loss
1,m-169ad2ac14eecda293432cdd,u-b98cb0b1bbb0480d1d8aa6f4,tactical_rule_based,strategic_rule_based,1,52,151dba309653a6f242d2247f503b2d8c53050bf7571de69dcc66c5fc86152a89,0,flag_capture,485,loss
1,m-172d0b081b6579d25a7ce6fb,u-a8dedf88fc3b296fd83322ae,random_legal,strategic_rule_based,1,5,12dbd71db0776b212e610dd16aea4c2b960694ccde18297d352635053a2e9157,0,flag_capture,239,loss
1,m-1806aea41ebc3fbb54ccc638,u-bee555b0ebada77f4ad40ba5,basic_heuristic,tactical_rule_based,0,1,92247ae68b9be2daade97867f348d8b3fb7db0913d08fccf3ff46b332ffda7a9,0,flag_capture,145,win
1,m-18ca605c9208fb1b78b086a6,u-951bc90250a893343df05633,tactical_rule_based,strategic_rule_based,1,3,b004b33b92e30c43b1b13a909f1e3457101c25618dd0f6a75e56a4675097e1b2,0,flag_capture,503,loss
1,m-18fa17f1af2f8b077fe58ddb,u-f6561b1e1670aac98bedccec,basic_heuristic,tactical_rule_based,1,10,832311b9956612bc35a04304cae9825a5358040eb745ae478c9117bec75906b1,0,flag_capture,153,loss
1,m-191f8303e4bbc05b0797c7cd,u-5a976f3ccb0a35eda59014c5,random_legal,strategic_rule_based,1,15,526af070c1ecda39b05baf539214e51be20b3446ce032f334ebae01a0b9e8869,0,opponent_no_legal_move,457,loss
1,m-19292b37ba8300aa8750e079,u-fcefdb2d79f28547fd082fd2,strategic_rule_based,stress_draw_seeker,0,41,9a5694ba7faa5c2b6daf58ed11a0e35387d417c49c023a351d4913985fc47f8b,0,flag_capture,71,win
1,m-1939d727f0982ea6ab38b510,u-e32ae234ef0832955fca11aa,random_legal,strategic_rule_based,1,3,96479258ed6f4202a430ef2b42efd50e5d28b36c67741ea03e405291c06cead1,0,flag_capture,113,loss
1,m-19767fd3600181cf6e3311de,u-254c4c4c3b54be7d6d64467a,basic_heuristic,tactical_rule_based,0,23,0c5949cfc4e2a9e03fd26116dbd8a711cd67a6c803b7286762899f4646898bbc,1,opponent_no_legal_move,216,loss
