candidate,opponent,paired_units,games,wins,draws,losses,effective_win_rate,ci_lower,ci_upper,ci_width,separated_from_even,normal_lower,normal_upper,mean_plies,ewr_as_red,ewr_as_blue
basic_heuristic@1.0.0,strategic_rule_based@1.1.0,1024,2048,469,37,1542,0.238037109375,0.221923828125,0.254638671875,0.03271484375,True,0.22142090988572188,0.2546533088642781,206.70654296875,0.24560546875,0.23046875
basic_heuristic@1.0.0,stress_berserker@1.0.0,512,1024,645,1,378,0.63037109375,0.60498046875,0.65576171875,0.05078125,True,0.6047781708008375,0.6559640166991625,195.5302734375,0.62109375,0.6396484375
basic_heuristic@1.0.0,stress_chaos@1.0.0,512,1024,693,34,297,0.693359375,0.666015625,0.72021484375,0.05419921875,True,0.6660667405707021,0.7206520094292979,305.3251953125,0.7119140625,0.6748046875
basic_heuristic@1.0.0,stress_draw_seeker@1.0.0,512,1024,950,73,1,0.96337890625,0.955078125,0.97119140625,0.01611328125,True,0.9552496624788809,0.9715081500211191,348.3544921875,0.970703125,0.9560546875
basic_heuristic@1.0.0,stress_information_miser@1.0.0,512,1024,956,68,0,0.966796875,0.95849609375,0.97412109375,0.015625,True,0.9590754950303421,0.9745182549696579,314.71484375,0.9677734375,0.9658203125
basic_heuristic@1.0.0,stress_miner_rush@1.0.0,512,1024,499,57,468,0.51513671875,0.48828125,0.5419921875,0.0537109375,False,0.4885698370578568,0.5417036004421433,258.3125,0.533203125,0.4970703125
basic_heuristic@1.0.0,stress_scout_rush@1.0.0,512,1024,638,38,348,0.6416015625,0.615234375,0.66748046875,0.05224609375,True,0.6152667941616371,0.6679363308383629,259.03515625,0.630859375,0.65234375
basic_heuristic@1.0.0,tactical_rule_based@1.0.0,1024,2048,485,35,1528,0.245361328125,0.228515625,0.261962890625,0.033447265625,True,0.22870385380995958,0.26201880244004044,205.40576171875,0.2529296875,0.23779296875
random_legal@1.0.0,basic_heuristic@1.0.0,1024,2048,206,55,1787,0.114013671875,0.101318359375,0.126953125,0.025634765625,True,0.10107861282237388,0.12694873092762612,324.912109375,0.1240234375,0.10400390625
random_legal@1.0.0,strategic_rule_based@1.1.0,1024,2048,24,9,2015,0.013916015625,0.00927734375,0.01904296875,0.009765625,True,0.00908507059825177,0.018746960651748232,312.16259765625,0.01904296875,0.0087890625
random_legal@1.0.0,stress_berserker@1.0.0,512,1024,580,1,443,0.56689453125,0.5361328125,0.5966796875,0.060546875,True,0.5368396073722566,0.5969494551277434,282.8896484375,0.556640625,0.5771484375
random_legal@1.0.0,stress_chaos@1.0.0,512,1024,285,475,264,0.51025390625,0.48828125,0.53173828125,0.04345703125,False,0.4887877392397905,0.5317200732602095,1094.740234375,0.513671875,0.5068359375
random_legal@1.0.0,stress_draw_seeker@1.0.0,512,1024,69,955,0,0.53369140625,0.5263671875,0.54150390625,0.01513671875,True,0.5261667030349179,0.5412161094650821,1188.451171875,0.5283203125,0.5390625
random_legal@1.0.0,stress_information_miser@1.0.0,512,1024,126,488,410,0.361328125,0.34130859375,0.38134765625,0.0400390625,True,0.34140671679275353,0.38124953320724647,1329.39453125,0.3447265625,0.3779296875
random_legal@1.0.0,stress_miner_rush@1.0.0,512,1024,48,300,676,0.193359375,0.17578125,0.21044921875,0.03466796875,True,0.17596477319053047,0.21075397680946953,660.341796875,0.177734375,0.208984375
random_legal@1.0.0,stress_scout_rush@1.0.0,512,1024,117,498,409,0.357421875,0.337890625,0.376953125,0.0390625,True,0.33752351231643335,0.37732023768356665,861.08984375,0.36328125,0.3515625
random_legal@1.0.0,tactical_rule_based@1.0.0,1024,2048,36,15,1997,0.021240234375,0.015625,0.02734375,0.01171875,True,0.015345531292156264,0.027134937457843736,314.47705078125,0.02294921875,0.01953125
strategic_rule_based@1.1.0,stress_berserker@1.0.0,512,1024,854,1,169,0.83447265625,0.81298828125,0.85546875,0.04248046875,True,0.8127007368779517,0.8562445756220483,194.939453125,0.8251953125,0.84375
strategic_rule_based@1.1.0,stress_chaos@1.0.0,512,1024,999,13,12,0.98193359375,0.97412109375,0.98876953125,0.0146484375,True,0.9746175818067535,0.9892496056932465,305.6748046875,0.9794921875,0.984375
strategic_rule_based@1.1.0,stress_draw_seeker@1.0.0,512,1024,968,56,0,0.97265625,0.9658203125,0.97900390625,0.01318359375,True,0.9658909957390437,0.9794215042609563,353.162109375,0.9736328125,0.9716796875
strategic_rule_based@1.1.0,stress_information_miser@1.0.0,512,1024,981,43,0,0.97900390625,0.97265625,0.98486328125,0.01220703125,True,0.9728410304659237,0.9851667820340763,343.56640625,0.978515625,0.9794921875
strategic_rule_based@1.1.0,stress_miner_rush@1.0.0,512,1024,668,228,128,0.763671875,0.74365234375,0.78369140625,0.0400390625,True,0.7432500438047929,0.7840937061952071,309.10546875,0.77734375,0.75
strategic_rule_based@1.1.0,stress_scout_rush@1.0.0,512,1024,737,150,137,0.79296875,0.7724609375,0.8134765625,0.041015625,True,0.7720495560341174,0.8138879439658826,290.1337890625,0.798828125,0.787109375
stress_berserker@1.0.0,stress_chaos@1.0.0,256,512,192,0,320,0.375,0.333984375,0.4140625,0.080078125,True,0.33513976083052954,0.41486023916947046,281.390625,0.37109375,0.37890625
stress_berserker@1.0.0,stress_information_miser@1.0.0,256,512,188,0,324,0.3671875,0.326171875,0.408203125,0.08203125,True,0.3255337619782732,0.4088412380217268,248.55078125,0.37109375,0.36328125
stress_draw_seeker@1.0.0,stress_berserker@1.0.0,256,512,248,0,264,0.484375,0.439453125,0.529296875,0.08984375,False,0.43903265983428463,0.5297173401657154,307.5625,0.48828125,0.48046875
