policy,role,games,moves,mean_game_plies,attack_rate,scout_move_rate,scout_run_rate,miner_move_rate,miner_attack_rate,mean_move_distance,piece_type_entropy_bits,movement_entropy_bits,own_reveal_rate,draw_rate,battleless_draw_rate,flag_capture_win_rate,effective_win_rate,metrics_beyond_threshold,largest_relative_difference
basic_heuristic@1.0.0,ladder,1728,231827,268.1701388888889,0.2120719329500015,0.11274786802227522,0.06739939696411548,0.15043114046250006,0.023573613082169032,1.139625669141213,3.2075612947152727,1.2362900413912201,0.7003761574074074,0.041666666666666664,0.041087962962962965,0.5179398148148148,0.6429398148148148,,0.2930234402654665
random_legal@1.0.0,ladder,1728,612855,709.4293981481482,0.04616752739228692,0.10498731347545505,0.04011389317212065,0.15119563355116628,0.004312602491617103,1.0686540862030987,3.215295066450883,1.7407842161744695,0.7301504629629629,0.29282407407407407,0.29224537037037035,0.045717592592592594,0.296875,attack_rate|battleless_draw_rate|flag_capture_win_rate|mean_game_plies,0.9316017316017317
strategic_rule_based@1.1.0,ladder,1728,243424,281.37789351851853,0.1971621532798738,0.1594789338766925,0.12272413566451952,0.1658382082292625,0.019020310240567898,1.2175463388983832,3.16990062082411,1.5916819808578266,0.6109519675925926,0.057291666666666664,0.056712962962962965,0.6684027777777778,0.8504050925925926,,0.0
stress_berserker@1.0.0,stress,1728,208792,241.81828703703704,0.3109314533123875,0.09771926127437833,0.064767807195678,0.1629708034790605,0.03558565462278248,1.154895781447565,3.2033152096917155,1.0878123165159843,0.7674623842592593,0.0011574074074074073,0.0,0.29282407407407407,0.33912037037037035,attack_rate|battleless_draw_rate|flag_capture_win_rate|scout_move_rate,1.0
stress_chaos@1.0.0,stress,1728,519051,600.7673611111111,0.08014048715829465,0.10072998607073293,0.04114624574463781,0.10299373279311667,0.005964731789361739,1.0812733238159642,3.236931961158709,1.73837076266912,0.6902199074074075,0.3449074074074074,0.3443287037037037,0.037037037037037035,0.3582175925925926,attack_rate|battleless_draw_rate|flag_capture_win_rate|mean_game_plies|miner_move_rate|scout_move_rate,0.9445887445887445
stress_draw_seeker@1.0.0,stress,1728,387920,449.3605324074074,0.00018044957723241904,0.2149644256547742,0.04923953392452052,0.09186430191792122,5.155702206640544e-06,1.0829526706537431,3.041995168016497,0.6513887351158423,0.47997685185185185,0.5590277777777778,0.5590277777777778,0.0,0.33449074074074076,attack_rate|battleless_draw_rate|flag_capture_win_rate|mean_game_plies|miner_move_rate|movement_entropy_bits,1.0
stress_information_miser@1.0.0,stress,1728,422972,489.83622685185185,0.0,0.12725428633573854,0.0,0.053909005797074035,0.0,1.0,3.1338123793324635,1.5335800894417009,0.5202980324074075,0.46122685185185186,0.46122685185185186,0.0,0.39033564814814814,attack_rate|battleless_draw_rate|flag_capture_win_rate|mean_game_plies|miner_move_rate,1.0
stress_miner_rush@1.0.0,stress,1728,308170,356.57002314814815,0.07338806502904241,0.031047798293149884,0.021715287016906254,0.784031541032547,0.011003666807281695,1.0488821105234123,1.4139677512892534,1.5749296844467884,0.4976128472222222,0.45891203703703703,0.45891203703703703,0.17592592592592593,0.5153356481481481,attack_rate|battleless_draw_rate|flag_capture_win_rate|miner_move_rate|piece_type_entropy_bits|scout_move_rate,0.8764186633039092
stress_scout_rush@1.0.0,stress,1728,311068,360.0457175925926,0.0727525814291409,0.7656653850605012,0.07102305605205293,0.03546812915504006,0.004764231614952358,1.1278852212378,1.5061816321470534,1.7789847900934106,0.5216145833333333,0.4618055555555556,0.46122685185185186,0.13483796296296297,0.4496527777777778,attack_rate|battleless_draw_rate|flag_capture_win_rate|miner_move_rate|piece_type_entropy_bits|scout_move_rate,0.877038895859473
tactical_rule_based@1.0.0,ladder,1728,247040,285.58622685185185,0.186892810880829,0.12838406735751295,0.06209115932642487,0.17492308937823833,0.017774449481865285,1.1279104598445595,3.176886038523058,1.3639980592253402,0.5951388888888889,0.07349537037037036,0.07291666666666667,0.6203703703703703,0.8226273148148148,,0.22222222222222224
