candidate_id,sample_index,elapsed_seconds,global_step,in_measured_window,positions,window_positions,positions_per_second,cumulative_positions_per_second,games,window_games,games_per_second,mean_game_length,terminal_reason_counts,worker_failures,model_failures,nonfinite_outputs,illegal_actions,action_frame_errors,workers_alive,sampled_legality_checks,verified_games,verified_decisions,reconstruction_mismatches,decisions_recorded,trajectory_bytes,window_trajectory_bytes,gib_per_hour,bytes_per_decision,snapshot_count,coordinator_rss_bytes,worker_rss_bytes,total_rss_bytes,worker_processes,shared_memory_bytes,metal_current_allocated_bytes,metal_driver_allocated_bytes,swap_used_bytes,probe_rows_checked,probe_logits_checked,cumulative_probe_seconds
C1,0,60.007997,325,False,499200,499200,8318.891271,8318.891271,711,711,11.848421,702.109705,"{""battleless_move_limit_draw"": 28, ""flag_capture"": 683}",0,0,0,0,0,10,499200,4,866,0,499200,14021104,14021104,0.783386,28.087147,3100,1611694080,3724345344,5336039424,11,94288896,2051072,2180071424,0,512,5735936,0.047459
C1,1,120.057057,637,False,978432,479232,7980.674457,8149.725024,1509,798,13.289134,600.541353,"{""battleless_move_limit_draw"": 309, ""flag_capture"": 1197, ""opponent_no_legal_move"": 3}",0,0,0,0,0,10,978432,9,2781,0,978432,67965145,53944041,3.011895,112.56352,12594,2635874304,4534616064,7170490368,11,94288896,2051072,2180333568,0,512,5735936,0.08801
C1,2,180.188266,945,False,1451520,473088,7867.594936,8055.574479,2433,924,15.366396,512.0,"{""battleless_move_limit_draw"": 734, ""flag_capture"": 1685, ""opponent_no_legal_move"": 14}",0,0,0,0,0,10,1451520,12,4448,0,1451520,154665144,86699999,4.834168,183.264,27323,3502489600,4674224128,8176713728,11,94288896,2051072,2180726784,0,512,5735936,0.128811
C1,3,240.159153,1247,False,1915392,463872,7734.953198,7975.511145,3353,920,15.340777,504.208696,"{""battleless_move_limit_draw"": 1152, ""flag_capture"": 2171, ""opponent_no_legal_move"": 30}",0,0,0,0,0,10,1915392,18,7613,0,1915392,247796108,93130964,5.206625,200.768669,43194,4075765760,4704600064,8780365824,11,94288896,2051072,2180857856,0,512,5735936,0.169425
C1,4,300.056664,1559,False,2394624,479232,8000.866647,7980.572627,4287,934,15.593302,513.09636,"{""battleless_move_limit_draw"": 1553, ""flag_capture"": 2684, ""opponent_no_legal_move"": 50}",0,0,0,0,0,10,2394624,31,13214,0,2394624,340023114,92227006,5.162404,192.447512,58928,4269375488,4742905856,9012281344,11,94288896,2051072,2180857856,0,512,5735936,0.209573
C1,5,360.113432,1898,False,2915328,520704,8670.196862,8095.582507,5229,942,15.68516,552.764331,"{""battleless_move_limit_draw"": 1988, ""flag_capture"": 3168, ""opponent_no_legal_move"": 73}",0,0,0,0,0,10,2915328,35,14855,0,2915328,433291286,93268172,5.206839,179.119369,74857,4274028544,4771594240,9045622784,11,94288896,2051072,2180857856,0,512,5735936,0.250075
C1,6,420.109224,2229,False,3423744,508416,8474.194306,8149.652053,6198,969,16.151133,524.681115,"{""battleless_move_limit_draw"": 2417, ""flag_capture"": 3688, ""opponent_no_legal_move"": 93}",0,0,0,0,0,10,3423744,41,18511,0,3423744,529393533,96102247,5.370508,189.022861,91202,4274044928,4786913280,9060958208,11,94288896,2051072,2180857856,0,512,5735936,0.290699
C1,7,480.024448,2564,False,3938304,514560,8588.134497,8204.382127,7190,992,16.556727,518.709677,"{""battleless_move_limit_draw"": 2872, ""flag_capture"": 4199, ""opponent_no_legal_move"": 119}",0,0,0,0,0,10,3938304,47,21905,0,3938304,628882403,99488870,5.56724,193.347462,108066,4274061312,4809719808,9083781120,11,94288896,2051072,2180857856,0,512,5735936,0.331633
C1,8,540.073755,2891,False,4440576,502272,8364.326249,8222.165872,8173,983,16.369881,510.958291,"{""battleless_move_limit_draw"": 3297, ""flag_capture"": 4740, ""opponent_no_legal_move"": 136}",0,0,0,0,0,10,4440576,53,25622,0,4440576,724026209,95143806,5.312209,189.426856,124308,4274044928,4810702848,9084747776,11,94288896,2051072,2180857856,0,512,5735936,0.373209
C1,9,600.156914,3220,True,4945920,505344,8410.742856,8241.044769,9155,982,16.344014,514.606925,"{""battleless_move_limit_draw"": 3732, ""flag_capture"": 5277, ""opponent_no_legal_move"": 146}",0,0,0,0,0,10,4945920,61,29410,0,4945920,819221240,95195031,5.312074,188.376692,140579,4274061312,4811522048,9085583360,11,94288896,2051072,2180857856,0,512,5735936,0.415014
C1,10,660.098591,3552,True,5455872,509952,8507.469781,8265.238067,10174,1019,16.999858,500.443572,"{""battleless_move_limit_draw"": 4186, ""flag_capture"": 5824, ""opponent_no_legal_move"": 164}",0,0,0,0,0,10,5455872,66,32327,0,5455872,917371778,98150538,5.489925,192.47015,157306,4274077696,4812308480,9086386176,11,94288896,2051072,2180857856,0,512,5735936,0.456314
C1,11,720.003093,3880,True,5959680,503808,8410.185903,8277.297776,11213,1039,17.344272,484.897016,"{""battleless_move_limit_draw"": 4614, ""flag_capture"": 6418, ""opponent_no_legal_move"": 181}",0,0,0,0,0,10,5959680,71,35162,0,5959680,1016972786,99601008,5.574513,197.696361,174268,4274061312,4812881920,9086943232,11,94288896,2051072,2180857856,0,512,5735936,0.497652
C1,12,780.017438,4213,True,6471168,511488,8522.762296,8296.183755,12192,979,16.312766,522.459653,"{""battleless_move_limit_draw"": 5061, ""flag_capture"": 6931, ""opponent_no_legal_move"": 200}",0,0,0,0,0,10,6471168,77,38191,0,6471168,1111369901,94397115,5.273589,184.553919,190338,4301291520,4812980224,9114271744,11,94288896,2051072,2180988928,0,512,5735936,0.53861
C1,13,840.062342,4547,True,6984192,513024,8544.005714,8313.897256,13133,941,15.671605,545.190223,"{""battleless_move_limit_draw"": 5471, ""both_no_legal_move_draw"": 1, ""flag_capture"": 7446, ""opponent_no_legal_move"": 215}",0,0,0,0,0,10,6984192,84,41469,0,6984192,1201674891,90304990,5.042411,176.024884,205750,4301324288,4813373440,9114697728,11,94288896,2051072,2180988928,0,512,5735936,0.579516
C1,14,900.058568,4879,True,7494144,509952,8499.734692,8326.284833,14123,990,16.501038,515.10303,"{""battleless_move_limit_draw"": 5917, ""both_no_legal_move_draw"": 1, ""flag_capture"": 7975, ""opponent_no_legal_move"": 230}",0,0,0,0,0,10,7494144,90,44714,0,7494144,1298658933,96984042,5.419747,190.182688,222328,4301324288,4823236608,9124560896,11,94288896,2051072,2180988928,0,512,5735936,0.620497
C1,15,960.056469,5204,True,7993344,499200,8320.291037,8325.910256,15112,989,16.48391,504.752275,"{""battleless_move_limit_draw"": 6370, ""both_no_legal_move_draw"": 1, ""flag_capture"": 8492, ""opponent_no_legal_move"": 249}",0,0,0,0,0,10,7993344,100,49332,0,7993344,1398979567,100320634,5.606048,200.962808,239476,4301340672,4823777280,9125117952,11,94288896,2051072,2180988928,0,512,5735936,0.661028
C1,16,1020.083611,5542,True,8512512,519168,8648.88746,8344.915952,16133,1021,17.008972,508.489716,"{""battleless_move_limit_draw"": 6825, ""both_no_legal_move_draw"": 1, ""flag_capture"": 9039, ""opponent_no_legal_move"": 268}",0,0,0,0,0,10,8512512,102,50633,0,8512512,1495880301,96900734,5.412302,186.646199,256056,4301373440,4824039424,9125412864,11,94288896,2051072,2180988928,0,512,5735936,0.701955
C1,17,1080.146388,5871,True,9017856,505344,8413.596988,8348.735039,17098,965,16.066523,523.672539,"{""battleless_move_limit_draw"": 7221, ""both_no_legal_move_draw"": 1, ""flag_capture"": 9591, ""opponent_no_legal_move"": 285}",0,0,0,0,0,10,9017856,109,55486,0,9017856,1587958196,92077895,5.139876,182.208347,271816,4301389824,4824104960,9125494784,11,94288896,2051072,2180988928,0,512,5735936,0.743464
C1,18,1140.151991,6206,True,9532416,514560,8575.199267,8360.653733,18083,985,16.415134,522.395939,"{""battleless_move_limit_draw"": 7652, ""both_no_legal_move_draw"": 1, ""flag_capture"": 10131, ""opponent_no_legal_move"": 299}",0,0,0,0,0,10,9532416,115,58372,0,9532416,1685072831,97114635,5.426196,188.733355,288395,4301389824,4825333760,9126723584,11,94288896,2051072,2180988928,0,512,5735936,0.783323
