segment,segment_root_seed,run_elapsed_seconds,candidate_id,sample_index,elapsed_seconds,global_step,in_measured_window,positions,positions_per_second,games,games_per_second,decisions_recorded,trajectory_bytes_produced,trajectory_bytes_written,compressed_bytes,window_bytes_produced,window_bytes_written,produced_gib_per_hour,written_gib_per_hour,compression_ratio,write_throughput_bytes_per_second,records_persisted,shards_opened,shards_closed,encode_seconds,compress_seconds,write_seconds,flush_seconds,write_errors,pending_records,pending_bytes,disk_free_bytes,disk_free_change_bytes,coordinator_rss_bytes,worker_rss_bytes,per_worker_rss_bytes,workers_measured,total_rss_bytes,shared_memory_bytes,metal_current_allocated_bytes,metal_driver_allocated_bytes,swap_used_bytes,system_memory_available_bytes,system_memory_percent_used,illegal_actions,action_frame_errors,worker_failures,model_failures,nonfinite_outputs,verified_decisions,verified_games,reconstruction_mismatches,workers_alive
0,70007,60.061889,C1,0,60.061889,340,False,522240,8695.031275,713,11.871089,522240,15474108,11323718,11318056,15474108,11323718,0.863792,0.63211,0.731419,188534.164663,713,10,0,0.569565,0.262656,0.820546,0.0,0,0,0,762213523456,-17514496,1678737408,2060468224,"{""0"": 213729280, ""1"": 196542464, ""2"": 212844544, ""3"": 207323136, ""4"": 196755456, ""5"": 207486976, ""6"": 202031104, ""7"": 205291520, ""8"": 216711168, ""9"": 201752576}",10,3739205632,94288896,2051072,2188460032,910163968,28365635584,45.0,0,0,0,0,0,116,1,0,10
0,70007,120.137922,C1,1,120.137922,658,False,1010688,8130.496837,1548,13.899053,1010688,71186904,50109300,50100298,55712796,38785582,3.109255,2.16457,0.703785,645608.236221,1548,10,0,2.568601,1.373639,1.526262,0.0,0,0,0,762174320640,-56717312,2656878592,2852405248,"{""0"": 274251776, ""1"": 271695872, ""2"": 291962880, ""3"": 298385408, ""4"": 271122432, ""5"": 283803648, ""6"": 294305792, ""7"": 282722304, ""8"": 292208640, ""9"": 291946496}",10,5509283840,94288896,2051072,2188722176,910163968,26475626496,48.6,0,0,0,0,0,3054,6,0,10
0,70007,180.016845,C1,2,180.016845,959,False,1473024,7721.180919,2509,16.049053,1473024,163708214,113068027,113055181,92521310,62958727,5.180485,3.525207,0.69059,1051433.852492,2509,10,0,5.849746,3.23445,2.678574,0.0,0,0,0,762113495040,-117542912,3708567552,2983804928,"{""0"": 285835264, ""1"": 303579136, ""2"": 295714816, ""3"": 314736640, ""4"": 288555008, ""5"": 299663360, ""6"": 309379072, ""7"": 288047104, ""8"": 297598976, ""9"": 300695552}",10,6692372480,94288896,2051072,2189115392,910163968,25372950528,50.8,0,0,0,0,0,6631,12,0,10
0,70007,240.071246,C1,3,240.071246,1274,False,1956864,8056.695179,3464,15.902248,1956864,259185648,177563857,177547191,95477434,64495830,5.330384,3.600721,0.685019,1073956.76801,3464,10,0,9.302276,5.136935,3.075634,0.0,0,0,0,762049519616,-181518336,4180819968,2992128000,"{""0"": 286310400, ""1"": 304054272, ""2"": 296583168, ""3"": 315768832, ""4"": 289144832, ""5"": 302006272, ""6"": 310001664, ""7"": 288538624, ""8"": 298401792, ""9"": 301318144}",10,7172947968,94288896,2051072,2189246464,910163968,25009815552,51.5,0,0,0,0,0,8910,17,0,10
0,70007,300.095381,C1,4,300.095381,1608,False,2469888,8546.961937,4474,16.826565,2469888,353785613,241728720,241708014,94599965,64164863,5.284059,3.584049,0.683205,1068984.378434,4474,10,0,12.832096,7.028689,4.079256,0.0,0,0,0,761984507904,-246530048,4189962240,2996764672,"{""0"": 288489472, ""1"": 304218112, ""2"": 297172992, ""3"": 316112896, ""4"": 289374208, ""5"": 302383104, ""6"": 310198272, ""7"": 288571392, ""8"": 298598400, ""9"": 301645824}",10,7186726912,94288896,2051072,2189246464,910163968,24953454592,51.6,0,0,0,0,0,11611,23,0,10
0,70007,360.071923,C1,5,360.071923,1928,False,2961408,8195.204126,5477,16.723205,2961408,447990009,305723814,305699096,94204396,63995094,5.26614,3.577403,0.682379,1067002.071882,5477,10,0,16.436717,8.916251,6.152162,0.0,0,0,0,761919488000,-311549952,4231380992,3018981376,"{""0"": 288669696, ""1"": 304676864, ""2"": 297385984, ""3"": 316243968, ""4"": 304218112, ""5"": 302383104, ""6"": 310198272, ""7"": 294780928, ""8"": 298647552, ""9"": 301776896}",10,7250362368,94288896,2051072,2189246464,910163968,24864669696,51.8,0,0,0,0,0,16564,34,0,10
0,70007,420.109324,C1,6,420.109324,2257,False,3466752,8417.153074,6472,16.573002,3466752,543872233,370597898,370569200,95882224,64874084,5.354499,3.622864,0.681353,1080561.153526,6472,10,0,20.158097,10.839455,8.485051,0.0,0,0,0,761854472192,-376565760,4231397376,3033825280,"{""0"": 288735232, ""1"": 304988160, ""2"": 297451520, ""3"": 316276736, ""4"": 304562176, ""5"": 302399488, ""6"": 310394880, ""7"": 308592640, ""8"": 298647552, ""9"": 301776896}",10,7265222656,94288896,2051072,2189246464,910163968,24728633344,52.0,0,0,0,0,0,19501,40,0,10
0,70007,480.05226,C1,7,480.05226,2587,False,3973632,8456.04226,7466,16.582438,3973632,638288869,434612833,434580159,94416636,64014935,5.280963,3.580519,0.680852,1067931.257154,7466,10,0,23.881265,12.726468,9.30366,0.0,0,0,0,761793654784,-437383168,4231430144,3034234880,"{""0"": 288768000, ""1"": 305004544, ""2"": 297517056, ""3"": 316375040, ""4"": 304578560, ""5"": 302432256, ""6"": 310427648, ""7"": 308658176, ""8"": 298680320, ""9"": 301793280}",10,7265665024,94288896,2051072,2189246464,910163968,24913149952,51.7,0,0,0,0,0,22690,48,0,10
0,70007,540.160688,C1,8,540.160688,2918,False,4482048,8458.314786,8425,15.954502,4482048,732207831,498247586,498211076,93918962,63634753,5.238664,3.549455,0.680423,1058666.076938,8425,10,0,27.614426,14.598191,9.895656,0.0,0,0,0,761727594496,-503443456,4231446528,3049603072,"{""0"": 303906816, ""1"": 305037312, ""2"": 297549824, ""3"": 316424192, ""4"": 304660480, ""5"": 302465024, ""6"": 310427648, ""7"": 308658176, ""8"": 298680320, ""9"": 301793280}",10,7281049600,94288896,2051072,2189246464,910163968,24932024320,51.6,0,0,0,0,0,25853,55,0,10
0,70007,600.110546,C1,9,600.110546,3245,True,4984320,8378.201681,9405,16.346995,4984320,826207954,561842785,561802355,94000123,63595199,5.25706,3.556631,0.679977,1060806.501537,9405,10,0,31.408071,16.476702,10.804541,0.0,0,0,0,761662578688,-568459264,4231446528,3050438656,"{""0"": 304381952, ""1"": 305053696, ""2"": 297566208, ""3"": 316473344, ""4"": 304709632, ""5"": 302497792, ""6"": 310460416, ""7"": 308690944, ""8"": 298680320, ""9"": 301924352}",10,7281885184,94288896,2051072,2189246464,910163968,24878055424,51.7,0,0,0,0,0,29075,61,0,10
