elapsed_seconds,global_step,positions_per_second,written_gib_per_hour,compression_ratio,shards_closed,total_rss_gib,swap_used_bytes,disk_free_gib
60.1,312,7977.5,0.52,0.7369,0,4.87,27724349,719.4
120.2,604,7460.5,1.77,0.7067,0,6.55,27724349,719.3
180.1,890,7331.1,3.15,0.693,0,7.45,27724349,719.1
240.1,1188,7636.6,3.34,0.686,0,8.04,27724349,719.1
300.1,1476,7369.0,3.17,0.6835,0,8.35,27724349,719.1
360.0,1800,8304.7,3.45,0.682,0,8.38,27724349,719.0
420.0,2123,8269.3,3.55,0.6809,0,8.4,27724349,718.9
480.2,2433,7914.3,3.51,0.6801,0,8.43,27724349,718.8
540.1,2760,8386.8,3.67,0.6795,0,8.43,27724349,718.7
600.0,3078,8144.4,3.41,0.6792,0,8.43,27724349,718.7
660.3,3412,8508.8,3.81,0.679,0,8.43,27724349,718.6
720.0,3735,8313.4,3.59,0.6788,0,8.43,27724349,718.5
780.2,4053,8120.1,3.43,0.6788,0,8.46,27724349,718.4
840.0,4382,8439.3,3.57,0.6787,0,8.46,27724349,718.3
900.0,4705,8272.3,3.36,0.6786,0,8.46,27724349,718.2
960.1,5028,8258.6,3.71,0.6784,0,8.47,27724349,718.1
1020.0,5353,8326.6,3.56,0.6783,0,8.47,27724349,718.1
1080.1,5670,8102.0,3.57,0.6783,0,8.47,27724349,718.0
1140.2,5987,8111.8,3.26,0.6782,0,8.47,27724349,718.0
1200.0,6299,8004.4,3.59,0.6781,0,8.47,27724349,718.0
1260.1,6624,8312.1,3.55,0.6781,0,8.47,27724349,717.8
1320.2,6940,8079.7,3.44,0.6781,0,8.47,27724349,717.8
1380.1,7259,8175.4,3.44,0.678,7,8.48,27724349,717.7
1440.1,7571,7984.9,3.55,0.678,10,8.48,27724349,717.6
1500.1,7888,8122.5,3.27,0.678,10,8.48,27724349,717.5
1560.2,8209,8204.4,3.61,0.6779,10,8.48,27724349,717.4
1620.0,8522,8027.7,3.52,0.6779,10,8.48,27724349,717.3
1680.0,8841,8172.2,3.39,0.6779,10,8.48,27724349,717.2
1740.2,9163,8219.3,3.73,0.6778,10,8.48,27724349,717.2
1800.6,9489,8280.2,3.3,0.6778,10,8.48,27724349,717.1
1860.1,9806,8194.1,3.58,0.6778,10,8.52,27724349,717.1
1920.1,10127,8219.2,3.55,0.6778,10,8.52,27724349,716.9
1980.1,10459,8499.0,3.6,0.6778,10,8.52,27724349,716.9
2040.1,10782,8267.0,3.55,0.6778,10,8.52,27724349,716.7
2100.2,11106,8280.7,3.69,0.6777,10,8.52,27724349,716.7
2160.1,11436,8460.8,3.45,0.6777,10,8.53,27724349,716.7
2220.0,11758,8250.2,3.56,0.6777,10,8.54,27724349,716.5
2280.1,12086,8383.3,3.62,0.6777,10,8.54,27724349,716.5
2340.1,12411,8322.7,3.72,0.6777,10,8.54,27724349,716.4
2400.1,12732,8224.0,3.38,0.6777,10,8.54,27724349,716.4
2460.0,13060,8402.5,3.45,0.6777,10,8.54,27724349,716.3
2520.0,13385,8318.0,3.7,0.6777,10,8.54,27724349,716.1
2580.0,13711,8348.3,3.66,0.6776,10,8.54,27724349,716.1
2640.2,14038,8352.3,3.42,0.6776,14,8.54,27724349,716.1
2700.1,14363,8323.0,3.72,0.6776,20,8.55,27724349,716.0
2760.0,14689,8360.3,3.44,0.6776,20,8.55,27724349,716.0
2820.1,15011,8236.6,3.7,0.6776,20,8.55,27724349,715.9
2880.1,15339,8396.1,3.5,0.6776,20,8.55,27724349,715.8
2940.1,15663,8286.8,3.41,0.6776,20,8.55,27724349,715.8
3000.0,15988,8334.0,3.59,0.6775,20,8.55,27724349,715.7
3060.2,16311,8249.8,3.66,0.6775,20,8.55,27724349,715.7
3120.0,16641,8467.1,3.39,0.6775,20,8.56,27724349,715.6
3180.2,16970,8405.4,3.88,0.6775,20,8.56,27724349,715.5
3240.0,17298,8414.8,3.59,0.6775,20,8.57,27724349,715.5
3300.1,17618,8181.5,3.42,0.6775,20,8.58,27724349,715.3
3360.1,17936,8147.6,3.57,0.6775,20,8.58,27724349,715.3
3420.1,18271,8564.2,3.55,0.6775,20,8.58,27724349,715.3
3480.0,18590,8180.7,3.67,0.6775,20,8.58,27724349,715.0
3540.1,18917,8363.2,3.42,0.6775,20,8.58,27724349,715.0
3600.1,19238,8217.2,3.46,0.6775,20,8.58,27724349,714.9
3660.2,19561,8260.5,3.69,0.6775,20,8.58,27724349,714.9
3720.1,19884,8269.5,3.51,0.6775,20,8.58,27724349,714.9
3780.0,20215,8494.1,3.67,0.6775,20,8.58,27724349,714.7
3840.1,20535,8183.7,3.53,0.6775,20,8.58,27724349,714.7
3900.0,20857,8250.4,3.4,0.6775,24,8.58,27724349,714.6
3960.1,21185,8387.0,3.54,0.6775,30,8.58,27724349,714.5
