family_id,metric,measured,required,threshold_kind,pass
F00,min_within_family_nn_distance,22,>= 6,floor,true
F00,near_duplicate_pair_fraction,0.0,<= 0.001,ceiling,true
F00,near_duplicate_pairs_below_10,0,report-only,descriptive,
F00,mean_per_square_entropy_bits,2.93722,>= 1.0,floor,true
F00,flag_folded_support,1,>= 1,floor,true
F00,bomb_folded_support,20,>= 10,floor,true
F00,scout_folded_support,20,>= 8,floor,true
F00,miner_folded_support,20,>= 6,floor,true
F00,high_rank_folded_support,20,>= 6,floor,true
F00,distinct_trait_vectors,500,>= 250,floor,true
F00,distinct_bomb_rank_histograms,33,>= 8,floor,true
F00,distinct_scout_rank_histograms,66,>= 8,floor,true
F00,family_self_satisfaction,1.0,== 1.0,exact,true
F00,within_family_nn_median,25,report-only,descriptive,
F00,within_family_nn_max,27,report-only,descriptive,
F00,within_family_pairwise_median,32,report-only,descriptive,
F00,largest_secondary_overlap,F14:0.626,report-only,descriptive,
F01,min_within_family_nn_distance,22,>= 6,floor,true
F01,near_duplicate_pair_fraction,0.0,<= 0.001,ceiling,true
F01,near_duplicate_pairs_below_10,0,report-only,descriptive,
F01,mean_per_square_entropy_bits,3.013954,>= 1.0,floor,true
F01,flag_folded_support,2,>= 2,floor,true
F01,bomb_folded_support,20,>= 10,floor,true
F01,scout_folded_support,20,>= 8,floor,true
F01,miner_folded_support,20,>= 6,floor,true
F01,high_rank_folded_support,20,>= 6,floor,true
F01,distinct_trait_vectors,500,>= 250,floor,true
F01,distinct_bomb_rank_histograms,33,>= 8,floor,true
F01,distinct_scout_rank_histograms,72,>= 8,floor,true
F01,family_self_satisfaction,1.0,== 1.0,exact,true
F01,within_family_nn_median,26,report-only,descriptive,
F01,within_family_nn_max,28,report-only,descriptive,
F01,within_family_pairwise_median,33,report-only,descriptive,
F01,largest_secondary_overlap,F14:0.612,report-only,descriptive,
F02,min_within_family_nn_distance,22,>= 6,floor,true
F02,near_duplicate_pair_fraction,0.0,<= 0.001,ceiling,true
F02,near_duplicate_pairs_below_10,0,report-only,descriptive,
F02,mean_per_square_entropy_bits,3.015193,>= 1.0,floor,true
F02,flag_folded_support,2,>= 2,floor,true
F02,bomb_folded_support,20,>= 10,floor,true
F02,scout_folded_support,20,>= 8,floor,true
F02,miner_folded_support,20,>= 6,floor,true
F02,high_rank_folded_support,20,>= 6,floor,true
F02,distinct_trait_vectors,500,>= 250,floor,true
F02,distinct_bomb_rank_histograms,38,>= 8,floor,true
F02,distinct_scout_rank_histograms,71,>= 8,floor,true
F02,family_self_satisfaction,1.0,== 1.0,exact,true
F02,within_family_nn_median,25,report-only,descriptive,
F02,within_family_nn_max,28,report-only,descriptive,
F02,within_family_pairwise_median,32,report-only,descriptive,
F02,largest_secondary_overlap,F14:0.628,report-only,descriptive,
F03,min_within_family_nn_distance,24,>= 6,floor,true
F03,near_duplicate_pair_fraction,0.0,<= 0.001,ceiling,true
F03,near_duplicate_pairs_below_10,0,report-only,descriptive,
F03,mean_per_square_entropy_bits,3.1362,>= 1.0,floor,true
F03,flag_folded_support,10,>= 4,floor,true
F03,bomb_folded_support,20,>= 10,floor,true
F03,scout_folded_support,20,>= 8,floor,true
F03,miner_folded_support,20,>= 6,floor,true
F03,high_rank_folded_support,20,>= 6,floor,true
F03,distinct_trait_vectors,500,>= 250,floor,true
F03,distinct_bomb_rank_histograms,57,>= 8,floor,true
F03,distinct_scout_rank_histograms,74,>= 8,floor,true
F03,family_self_satisfaction,1.0,== 1.0,exact,true
F03,within_family_nn_median,27,report-only,descriptive,
F03,within_family_nn_max,29,report-only,descriptive,
