scope,family_id,split_a,split_b,pair_count,min,p1,p5,p25,median,mean,max,nn_min,nn_median,nn_max,pairs_below_8,pairs_below_10,offending_ids
global_pairwise,ALL,all,all,31996000,20,29,30,32,34,33.661809,40,20,25,28,,,
within_family,F00,all,all,124750,22,27,28,30,32,31.660497,37,22,25,27,,0,
within_family,F01,all,all,124750,22,27,29,31,33,32.550485,39,22,26,28,,0,
within_family,F02,all,all,124750,22,27,29,31,32,32.370261,39,22,25,28,,0,
within_family,F03,all,all,124750,24,29,30,32,34,33.395495,40,24,27,29,,0,
within_family,F04,all,all,124750,22,29,30,32,34,33.527142,39,22,27,30,,0,
within_family,F05,all,all,124750,21,28,30,32,33,33.301699,40,21,27,29,,0,
within_family,F06,all,all,124750,22,29,30,32,34,33.653419,40,22,27,30,,0,
within_family,F07,all,all,124750,22,28,30,32,33,33.312297,40,22,27,29,,0,
within_family,F08,all,all,124750,22,28,30,32,33,33.09616,40,22,27,29,,0,
within_family,F09,all,all,124750,22,28,30,32,33,33.039992,39,22,27,29,,0,
within_family,F10,all,all,124750,24,28,30,32,33,32.843952,39,24,26,29,,0,
within_family,F11,all,all,124750,22,28,29,31,33,32.594156,39,22,26,28,,0,
within_family,F12,all,all,124750,24,28,30,32,33,33.19685,39,24,27,30,,0,
within_family,F13,all,all,124750,22,28,30,32,33,32.966629,39,22,26,29,,0,
within_family,F14,all,all,124750,20,28,29,32,33,32.955567,40,20,26,28,,0,
within_family,F15,all,all,124750,25,30,31,33,34,34.112826,40,25,28,30,,0,
cross_split_global,ALL,train,validation,5120000,21,29,30,32,34,33.659376,40,21,27,30,0,0,
cross_split_family,F00,train,validation,20000,23,27,28,30,32,31.6007,37,23,27,29,0,0,
cross_split_family,F01,train,validation,20000,23,27,29,31,33,32.53535,39,23,28,30,0,0,
cross_split_family,F02,train,validation,20000,22,27,29,31,32,32.32445,38,22,27,30,0,0,
cross_split_family,F03,train,validation,20000,24,29,30,32,34,33.414,39,24,29,32,0,0,
cross_split_family,F04,train,validation,20000,23,29,30,32,34,33.52495,39,23,29,31,0,0,
cross_split_family,F05,train,validation,20000,25,29,30,32,33,33.34065,40,25,29,32,0,0,
cross_split_family,F06,train,validation,20000,25,29,30,32,34,33.6594,40,25,29,32,0,0,
cross_split_family,F07,train,validation,20000,25,28,30,32,33,33.2874,39,25,29,32,0,0,
cross_split_family,F08,train,validation,20000,25,28,30,32,33,33.1094,39,25,29,31,0,0,
cross_split_family,F09,train,validation,20000,22,28,30,32,33,33.0875,39,22,29,31,0,0,
cross_split_family,F10,train,validation,20000,24,28,30,32,33,32.9044,38,24,28,31,0,0,
cross_split_family,F11,train,validation,20000,23,27,29,31,33,32.48355,39,23,28,31,0,0,
cross_split_family,F12,train,validation,20000,24,28,30,32,33,33.1732,39,24,29,31,0,0,
cross_split_family,F13,train,validation,20000,25,28,30,32,33,32.97085,39,25,28,31,0,0,
cross_split_family,F14,train,validation,20000,22,28,29,32,33,32.98255,39,22,28,31,0,0,
cross_split_family,F15,train,validation,20000,26,30,31,33,34,34.10415,39,26,30,32,0,0,
cross_split_global,ALL,train,test,5120000,22,29,30,32,34,33.658546,40,22,27,30,0,0,
cross_split_family,F00,train,test,20000,23,27,28,31,32,31.70415,37,23,27,30,0,0,
cross_split_family,F01,train,test,20000,22,27,29,31,33,32.5295,39,22,28,30,0,0,
cross_split_family,F02,train,test,20000,22,27,29,31,32,32.3701,39,22,28,30,0,0,
cross_split_family,F03,train,test,20000,24,28,30,32,33,33.35005,39,24,29,32,0,0,
cross_split_family,F04,train,test,20000,25,29,30,32,34,33.54175,39,25,29,32,0,0,
cross_split_family,F05,train,test,20000,24,28,30,32,33,33.2858,39,24,29,32,0,0,
cross_split_family,F06,train,test,20000,23,29,30,32,34,33.6434,39,23,29,31,0,0,
cross_split_family,F07,train,test,20000,22,28,30,32,33,33.33365,39,22,29,32,0,0,
cross_split_family,F08,train,test,20000,23,28,30,32,33,33.01825,39,23,29,31,0,0,
cross_split_family,F09,train,test,20000,24,28,30,32,33,32.99495,39,24,28,31,0,0,
cross_split_family,F10,train,test,20000,24,28,30,32,33,32.83785,39,24,28,31,0,0,
cross_split_family,F11,train,test,20000,24,28,29,31,33,32.6763,38,24,28,31,0,0,
cross_split_family,F12,train,test,20000,25,28,30,32,33,33.2499,39,25,29,31,0,0,
cross_split_family,F13,train,test,20000,22,28,30,32,33,32.92775,38,22,28,31,0,0,
cross_split_family,F14,train,test,20000,24,27,29,32,33,32.939,39,24,28,31,0,0,
cross_split_family,F15,train,test,20000,25,30,31,33,34,34.1186,40,25,30,32,0,0,
cross_split_global,ALL,validation,test,640000,22,29,30,32,34,33.657562,40,22,27,29,0,0,
cross_split_family,F00,validation,test,2500,23,27,28,31,32,31.698,37,23,27,29,0,0,
cross_split_family,F01,validation,test,2500,24,27,29,31,33,32.4064,38,24,27,30,0,0,
cross_split_family,F02,validation,test,2500,24,27,29,31,33,32.3352,38,24,27,30,0,0,
cross_split_family,F03,validation,test,2500,25,29,30,32,33,33.336,38,25,29,31,0,0,
cross_split_family,F04,validation,test,2500,25,28,30,32,34,33.5412,39,25,29,31,0,0,
cross_split_family,F05,validation,test,2500,26,28,30,32,33,33.2924,38,26,28,31,0,0,
cross_split_family,F06,validation,test,2500,26,28,30,32,34,33.6404,39,26,29,31,0,0,
cross_split_family,F07,validation,test,2500,25,28,30,32,33,33.274,39,25,28,31,0,0,
cross_split_family,F08,validation,test,2500,25,28,30,32,33,33.0428,39,25,28,30,0,0,
cross_split_family,F09,validation,test,2500,26,28,30,32,33,33.002,38,26,28,30,0,0,
cross_split_family,F10,validation,test,2500,25,28,30,32,33,32.852,39,25,29,30,0,0,
cross_split_family,F11,validation,test,2500,25,28,29,31,33,32.6088,39,25,28,31,0,0,
cross_split_family,F12,validation,test,2500,24,28,30,32,33,33.2,39,24,29,30,0,0,
cross_split_family,F13,validation,test,2500,25,28,30,32,33,33.0304,38,25,28,30,0,0,
cross_split_family,F14,validation,test,2500,24,28,29,32,33,32.9216,39,24,28,31,0,0,
cross_split_family,F15,validation,test,2500,27,30,31,33,34,34.1096,39,27,30,31,0,0,
