family_id,outputs,bases_used,distinct_class_fingerprints,distinct_content_fingerprints,class_repeat_rate,unique_classes_per_base,reflection_fraction,perturbation_requested_fraction,perturbation_applied_fraction,perturbation_acceptance_rate,mean_perturbation_attempts,procedural_mean_per_square_entropy_bits,base_mean_per_square_entropy_bits,procedural_flag_folded_support,procedural_bomb_folded_support,procedural_scout_folded_support,procedural_miner_folded_support,procedural_high_rank_folded_support,base_flag_folded_support,base_bomb_folded_support,base_scout_folded_support,base_miner_folded_support,base_high_rank_folded_support,procedural_distinct_trait_vectors,base_distinct_trait_vectors,procedural_distinct_bomb_rank_histograms,base_distinct_bomb_rank_histograms,procedural_distinct_scout_rank_histograms,base_distinct_scout_rank_histograms,self_satisfaction,within_family_min_class_distance
F00,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.945903,3.018874,2.93722,1,20,20,20,20,1,20,20,20,20,3864,500,34,33,106,66,1.0,2
F01,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.452305,3.077751,3.013954,2,20,20,20,20,2,20,20,20,20,3881,500,49,33,108,72,1.0,2
F02,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.431498,3.061002,3.015193,2,20,20,20,20,2,20,20,20,20,3918,500,47,38,107,71,1.0,2
F03,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.554417,3.174267,3.1362,10,20,20,20,20,10,20,20,20,20,3889,500,69,57,110,74,1.0,2
F04,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.49904,3.18941,3.154928,10,20,20,20,20,10,20,20,20,20,3918,500,74,58,117,76,1.0,2
F05,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.262164,3.166734,3.125984,10,20,20,20,20,10,20,20,20,20,3922,500,63,45,111,74,1.0,2
F06,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,2.100192,3.197977,3.166294,10,20,20,20,20,10,20,20,20,20,3871,500,68,57,112,76,1.0,2
F07,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.196863,3.151235,3.111706,10,20,20,20,20,10,20,20,20,20,3882,500,34,30,115,85,1.0,2
F08,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.27977,3.073778,3.031125,10,20,20,20,20,10,20,20,20,20,3920,500,76,57,100,65,1.0,2
F09,6250,500,3623,4123,0.42032,7.246,0.49984,0.49984,0.49984,1.0,1.276569,3.071432,3.02937,10,20,20,20,20,10,20,20,20,20,3876,500,73,55,108,75,1.0,2
F10,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.37356,3.117646,3.080749,10,20,20,20,20,10,20,20,20,20,3927,500,74,57,24,18,1.0,2
F11,6250,500,3623,4123,0.42032,7.246,0.49984,0.49984,0.49984,1.0,1.466389,3.053035,3.013669,10,20,15,20,20,10,20,15,20,20,3899,500,74,57,27,24,1.0,2
F12,6250,500,3623,4123,0.42032,7.246,0.49984,0.49984,0.49984,1.0,1.077465,3.142616,3.101205,10,20,20,20,20,10,20,20,20,20,3930,500,74,55,111,70,1.0,2
F13,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.387324,3.098834,3.060117,10,20,20,15,20,10,20,20,15,20,3916,500,76,55,113,77,1.0,2
F14,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.764725,3.08599,3.038288,5,20,20,20,20,5,20,20,20,20,3882,500,42,36,88,65,1.0,2
F15,6250,500,3624,4124,0.42016,7.248,0.49984,0.49984,0.49984,1.0,1.136044,3.266685,3.243872,20,20,20,20,20,20,20,20,20,20,3904,500,79,65,119,83,1.0,2
