corpus_split,cell_index,red_policy,blue_policy,ordered_matchup_id,red_policy_weight,blue_policy_weight,games,expected_games,red_wins,blue_wins,draws,total_plies,mean_plies,min_plies,max_plies,total_decisions,selected_decisions
train,0,random_legal@1.0.0,random_legal@1.0.0,random_legal@1.0.0>random_legal@1.0.0,0.0,0.0,200,200,30,27,143,145223,726.115,25,1476,145223,12691
train,1,random_legal@1.0.0,basic_heuristic@1.0.0,random_legal@1.0.0>basic_heuristic@1.0.0,0.0,0.5,200,200,18,173,9,56287,281.435,2,801,56287,12530
train,2,random_legal@1.0.0,tactical_rule_based@1.0.0,random_legal@1.0.0>tactical_rule_based@1.0.0,0.0,1.0,200,200,7,190,3,49857,249.285,12,668,49857,12424
train,3,random_legal@1.0.0,strategic_rule_based@1.1.0,random_legal@1.0.0>strategic_rule_based@1.1.0,0.0,1.0,200,200,7,189,4,48819,244.095,10,618,48819,12244
train,4,random_legal@1.0.0,stress_scout_rush@1.0.0,random_legal@1.0.0>stress_scout_rush@1.0.0,0.0,0.0,200,200,13,32,155,81597,407.985,3,1028,81597,12702
train,5,random_legal@1.0.0,stress_miner_rush@1.0.0,random_legal@1.0.0>stress_miner_rush@1.0.0,0.0,0.0,200,200,10,83,107,82045,410.225,6,1009,82045,12527
train,6,random_legal@1.0.0,stress_draw_seeker@1.0.0,random_legal@1.0.0>stress_draw_seeker@1.0.0,0.0,0.0,200,200,4,0,196,93390,466.95,63,1215,93390,12799
train,7,random_legal@1.0.0,stress_berserker@1.0.0,random_legal@1.0.0>stress_berserker@1.0.0,0.0,0.0,200,200,92,108,0,51340,256.7,12,462,51340,12436
train,8,random_legal@1.0.0,stress_information_miser@1.0.0,random_legal@1.0.0>stress_information_miser@1.0.0,0.0,0.0,200,200,16,16,168,133686,668.43,31,1497,133686,12767
train,9,random_legal@1.0.0,stress_chaos@1.0.0,random_legal@1.0.0>stress_chaos@1.0.0,0.0,0.0,200,200,18,33,149,118153,590.765,20,1254,118153,12688
train,10,basic_heuristic@1.0.0,random_legal@1.0.0,basic_heuristic@1.0.0>random_legal@1.0.0,0.5,0.0,200,200,182,13,5,50989,254.945,21,678,50989,12413
train,11,basic_heuristic@1.0.0,basic_heuristic@1.0.0,basic_heuristic@1.0.0>basic_heuristic@1.0.0,0.5,0.5,200,200,103,93,4,32572,162.86,2,601,32572,12466
train,12,basic_heuristic@1.0.0,tactical_rule_based@1.0.0,basic_heuristic@1.0.0>tactical_rule_based@1.0.0,0.5,1.0,200,200,70,130,0,32880,164.4,1,377,32880,12269
train,13,basic_heuristic@1.0.0,strategic_rule_based@1.1.0,basic_heuristic@1.0.0>strategic_rule_based@1.1.0,0.5,1.0,200,200,75,124,1,32669,163.345,2,442,32669,12173
train,14,basic_heuristic@1.0.0,stress_scout_rush@1.0.0,basic_heuristic@1.0.0>stress_scout_rush@1.0.0,0.5,0.0,200,200,148,47,5,43465,217.325,2,469,43465,12599
train,15,basic_heuristic@1.0.0,stress_miner_rush@1.0.0,basic_heuristic@1.0.0>stress_miner_rush@1.0.0,0.5,0.0,200,200,114,86,0,41700,208.5,2,432,41700,12499
train,16,basic_heuristic@1.0.0,stress_draw_seeker@1.0.0,basic_heuristic@1.0.0>stress_draw_seeker@1.0.0,0.5,0.0,200,200,191,0,9,52192,260.96,11,631,52192,12527
train,17,basic_heuristic@1.0.0,stress_berserker@1.0.0,basic_heuristic@1.0.0>stress_berserker@1.0.0,0.5,0.0,200,200,115,85,0,33559,167.795,8,310,33559,12488
train,18,basic_heuristic@1.0.0,stress_information_miser@1.0.0,basic_heuristic@1.0.0>stress_information_miser@1.0.0,0.5,0.0,200,200,187,0,13,47926,239.63,1,643,47926,12448
train,19,basic_heuristic@1.0.0,stress_chaos@1.0.0,basic_heuristic@1.0.0>stress_chaos@1.0.0,0.5,0.0,200,200,152,43,5,49514,247.57,13,499,49514,12377
train,20,tactical_rule_based@1.0.0,random_legal@1.0.0,tactical_rule_based@1.0.0>random_legal@1.0.0,1.0,0.0,200,200,190,4,6,49167,245.835,21,775,49167,12314
train,21,tactical_rule_based@1.0.0,basic_heuristic@1.0.0,tactical_rule_based@1.0.0>basic_heuristic@1.0.0,1.0,0.5,200,200,142,57,1,34125,170.625,5,409,34125,12299
train,22,tactical_rule_based@1.0.0,tactical_rule_based@1.0.0,tactical_rule_based@1.0.0>tactical_rule_based@1.0.0,1.0,1.0,200,200,98,101,1,37532,187.66,6,422,37532,12174
train,23,tactical_rule_based@1.0.0,strategic_rule_based@1.1.0,tactical_rule_based@1.0.0>strategic_rule_based@1.1.0,1.0,1.0,200,200,94,104,2,36795,183.975,1,484,36795,12223
train,24,tactical_rule_based@1.0.0,stress_scout_rush@1.0.0,tactical_rule_based@1.0.0>stress_scout_rush@1.0.0,1.0,0.0,200,200,119,35,46,42923,214.615,2,739,42923,12305
train,25,tactical_rule_based@1.0.0,stress_miner_rush@1.0.0,tactical_rule_based@1.0.0>stress_miner_rush@1.0.0,1.0,0.0,200,200,128,33,39,45499,227.495,2,762,45499,12391
train,26,tactical_rule_based@1.0.0,stress_draw_seeker@1.0.0,tactical_rule_based@1.0.0>stress_draw_seeker@1.0.0,1.0,0.0,200,200,169,0,31,49670,248.35,1,699,49670,12341
train,27,tactical_rule_based@1.0.0,stress_berserker@1.0.0,tactical_rule_based@1.0.0>stress_berserker@1.0.0,1.0,0.0,200,200,154,46,0,34122,170.61,15,336,34122,12539
train,28,tactical_rule_based@1.0.0,stress_information_miser@1.0.0,tactical_rule_based@1.0.0>stress_information_miser@1.0.0,1.0,0.0,200,200,189,0,11,47792,238.96,3,713,47792,12248
