global_step,segment,wall_seconds,examples_consumed,train_loss_total,train_loss_policy,train_loss_value,train_loss_belief,train_legal_policy_entropy,train_legal_policy_entropy_normalized,learning_rate,grad_norm_pre_clip,grad_norm_post_clip,parameter_norm,examples_per_second,data_wait_fraction,validation_selection_score,validation_policy_ce,validation_policy_ce_ratio,validation_policy_top1,validation_policy_baseline_expected_top1,validation_value_ce,validation_value_ce_ratio,validation_value_accuracy,validation_value_brier,validation_value_baseline_brier,validation_belief_ce,validation_belief_ce_ratio,validation_belief_top1,validation_belief_baseline_top1,validation_examples,validation_games,validation_batches,validation_seconds,is_best,peak_rss_bytes,mps_current_allocated_bytes,mps_driver_allocated_bytes
500,1,73.63391684515227,128000,5.398922369003296,2.4028459491729737,0.8010071324110031,2.1950692892074586,2.3300877430438995,0.7898382637500763,0.001,8.479565169334412,0.9999681067466736,53.918663024902344,1738.329366196509,0.09570176726960539,0.7494921393107821,2.1575439591271457,0.6790686341088025,0.3389572497780033,0.0456353756232397,0.6504071776546674,0.5916205277144834,0.706298828125,0.3845845694553986,0.6671754265886064,2.158917999292813,0.9777872561090604,0.23437298226774414,0.20342139424874092,16384,323,64,8.986244166997494,True,1736572928,15353856,2191441920
1000,1,70.36293524214125,256000,4.88433194065094,2.10650310254097,0.6471648358106613,2.130664002418518,2.094529318809509,0.7108515627384185,0.001,4.535446648597717,0.9999997482299805,54.757789611816406,1819.139573406244,0.05194179947982058,0.73279377530947,2.0401520088596663,0.6421205149354828,0.3606494989217303,0.0456353756232397,0.6584060789113554,0.5988964532349893,0.7034912109375,0.38888745777585615,0.6671754265886064,2.1138249971366796,0.9573643577579379,0.2547241837883638,0.20342139424874092,16384,323,64,6.738855375006096,True,1736572928,15353856,2191441920
1500,1,69.25097083181026,384000,4.690346496582031,1.959363487482071,0.6188210327029228,2.112161967277527,1.9897497410774232,0.6752048761844635,0.001,3.787121571063995,0.999999719619751,55.804134368896484,1848.349538822689,0.047382683675321786,0.6890174504822152,1.88833610493712,0.5943377487598244,0.3848788532284663,0.0456353756232397,0.5749949516749949,0.5230243890754566,0.740234375,0.3393636126886237,0.6671754265886064,2.0968807714641806,0.9496902136113643,0.26021354828624443,0.20342139424874092,16384,323,64,6.808192249998683,True,1736572928,15353856,2191441920
2000,1,69.62040229477861,512000,4.566841862678528,1.865838520526886,0.5978313795924187,2.1031719727516176,1.931892193555832,0.6559054462909698,0.001,3.560736909866333,0.9999997081756592,57.069801330566406,1838.5415162934175,0.04497720107550747,0.6813572759521768,1.8579660194713778,0.5847790223349257,0.39160218191044016,0.0456353756232397,0.5634407365421235,0.5125144945215784,0.747314453125,0.33427640084647453,0.6671754265886064,2.0904513984891,0.9467783110000262,0.26314513625993713,0.20342139424874092,16384,323,64,6.87322762500844,True,1736572928,15353856,2191441920
2500,1,69.60646316612838,640000,4.463711833953857,1.775543561220169,0.5925150851607323,2.09565318441391,1.8586835763454437,0.6321719665527343,0.001,3.4493315415382386,0.9999996973276138,58.474281311035156,1838.909695706057,0.0438806634169673,0.6681695038571137,1.7321081952961135,0.5451663412615915,0.4249651148040086,0.0456353756232397,0.567611129554474,0.516307949144328,0.7388916015625,0.34055829845847685,0.6671754265886064,2.082184586987524,0.9430342211654217,0.2651795767548182,0.20342139424874092,16384,323,64,6.743666541995481,True,1736572928,15353856,2191441920
3000,1,69.27322149091924,768000,4.400753545284271,1.7267575821876526,0.5878513185977936,2.0861446375846864,1.8210284140110016,0.61910853266716,0.001,3.3457401905059814,0.9999996857643128,59.95576477050781,1847.755846272849,0.04574346159501781,0.6600239437522258,1.6930581518926424,0.5328756718067672,0.43283014080933657,0.0456353756232397,0.5588720612165086,0.5083587560857834,0.7447509765625,0.3325208878388737,0.6671754265886064,2.0729181689253546,0.9388374033641267,0.2667722400821026,0.20342139424874092,16384,323,64,6.840963166003348,True,1736572928,15353856,2191441920
3500,1,73.61994217004394,896000,4.321392304420471,1.6652503218650818,0.5796065467000008,2.076535426616669,1.7600929038524629,0.5986229832172394,0.001,3.3393363540172576,0.9999996955394745,61.44894027709961,1738.6593391278618,7.639460080251318e-05,0.660400149842015,1.6669614445549406,0.5246619548479157,0.4372700748446023,0.0456353756232397,0.573725255545631,0.5218694536443932,0.73944091796875,0.3415904664115699,0.6671754265886064,2.0637145794876437,0.9346690410337364,0.2698828044467704,0.20342139424874092,16384,323,64,6.2247604169970145,False,1736572928,15353856,2191441920
4000,1,73.82597250299295,1024000,4.283733445644379,1.63691925239563,0.5760039271116256,2.070810269832611,1.7396705927848817,0.591811319231987,0.001,3.23354820728302,0.9999996767044067,62.998382568359375,1733.8071637974128,6.906389181439509e-05,0.6486400604817848,1.6091583571325365,0.5064689240838596,0.45274641633895724,0.0456353756232397,0.5552178958369215,0.5050348701809216,0.7523193359375,0.33298812068536127,0.6671754265886064,2.063156729149774,0.9344163871805731,0.27026114694414805,0.20342139424874092,16384,323,64,6.118942125001922,True,1736572928,15353856,2191441920
4500,1,70.20614425194799,1152000,4.227511131286621,1.592077149629593,0.5692912402749062,2.066142734527588,1.692614798784256,0.5753941214084626,0.001,3.281886703968048,0.9999996762275696,64.57100677490234,1823.202247664362,0.04128044030562039,0.6470344014424153,1.5985565676985192,0.5031321009152694,0.45502981098566536,0.0456353756232397,0.5542751880674892,0.5041773684693889,0.7525634765625,0.3279291119962651,0.6671754265886064,2.061781936099969,0.9337937349425875,0.2707459690665362,0.20342139424874092,16384,323,64,6.763577666992205,True,1736572928,15353856,2191441920
5000,1,70.2470214538771,1279941,4.181151814460755,1.552127985715866,0.565137903392315,2.0638859343528746,1.6785704979896545,0.5714065510034562,0.001,3.2164421808719634,0.999999674320221,66.20745086669922,1821.3014210716922,0.07214959164543384,0.6378162799873237,1.5699277374147675,0.4941214197679963,0.4686033236077635,0.0456353756232397,0.537641274003558,0.4890469004263603,0.75714111328125,0.32069158385597535,0.6671754265886064,2.0540248872846467,0.9302805197676145,0.27290954442579163,0.20342139424874092,16384,323,64,6.89279974999954,True,1736572928,15353856,2191441920
5500,1,71.05576504683995,1407941,4.16010534620285,1.538243411540985,0.5614738026857377,2.0603881254196166,1.6555380594730378,0.5633779233694076,0.001,3.1345576157569885,0.9999996700286865,68.0009765625,1801.402038464049,0.06087408992422264,0.6362070544633042,1.5186675371620069,0.4779877071627299,0.47596092858048966,0.0456353756232397,0.5521319852204618,0.5022278776843552,0.745361328125,0.33147321352026066,0.6671754265886064,2.0498850865943443,0.9284055785428273,0.2748737536786445,0.20342139424874092,16384,323,64,6.944517666997854,True,1736572928,15353856,2191441920
6000,1,72.07289762077562,1535941,4.139639378547669,1.5214287440776826,0.561749525487423,2.0564611077308657,1.6200058336257934,0.5513517161011696,0.001,3.0950436222553255,0.9999996719360351,69.7741928100586,1775.979657061865,0.06878129823760688,0.6306124122927266,1.5287274006273701,0.48115396373601843,0.4701255867055689,0.0456353756232397,0.5317194927485621,0.4836603557026018,0.758056640625,0.31840128492314723,0.6671754265886064,2.0468322221556674,0.9270229174395596,0.27369115018384726,0.20342139424874092,16384,323,64,6.739811999999802,True,1736572928,15353856,2191441920
6500,1,71.73118233097193,1663941,4.104982374191284,1.498561318039894,0.5521527510881424,2.054268304824829,1.6110670466423034,0.5477762553691864,0.001,3.050396593093872,0.9999996573925019,71.62970733642578,1784.4401254868546,0.10010731292418285,0.629223228725159,1.4987768413415619,0.4717272796126337,0.47773690219459597,0.0456353756232397,0.5391418998780136,0.4904118931605254,0.7547607421875,0.32342820124831173,0.6671754265886064,2.0435370493887,0.9255305134023178,0.27559192476648114,0.20342139424874092,16384,323,64,6.725576708995504,True,1736572928,15353856,2191441920
7000,1,71.33016696688719,1791941,4.097105710029602,1.4972946804761886,0.5470066725611686,2.052804370880127,1.6025623886585236,0.5452373467087746,0.001,2.9902554671764374,0.9999996575117112,73.40281677246094,1794.4721769601354,0.13203567979125658,0.6253878388843042,1.5046580864078885,0.4735783515396526,0.48027400735760495,0.0456353756232397,0.5255981197212304,0.4780922591852383,0.761962890625,0.3162449255264596,0.6671754265886064,2.0412460505661407,0.9244929059280215,0.276103933176106,0.20342139424874092,16384,323,64,6.722617874998832,True,1736572928,15353856,2191441920
