namespace,rl_iteration,bucket,opponent_kind,opponent_identity,learner_control,learner_color,games
canonical,1,current,current_policy,phase9_behavior_v1|ns=canonical|B001,both,,1024
canonical,1,historical,historical_snapshot,phase9_anchor_v1|H000,blue,blue,256
canonical,1,historical,historical_snapshot,phase9_anchor_v1|H000,red,red,256
canonical,1,rule,rule_policy,basic_heuristic@1.0.0,blue,blue,23
canonical,1,rule,rule_policy,basic_heuristic@1.0.0,red,red,23
canonical,1,rule,rule_policy,strategic_rule_based@1.1.0,blue,blue,77
canonical,1,rule,rule_policy,strategic_rule_based@1.1.0,red,red,77
canonical,1,rule,rule_policy,tactical_rule_based@1.0.0,blue,blue,54
canonical,1,rule,rule_policy,tactical_rule_based@1.0.0,red,red,53
canonical,1,stress,stress_policy,stress_berserker@1.0.0,blue,blue,34
canonical,1,stress,stress_policy,stress_chaos@1.0.0,blue,blue,34
canonical,1,stress,stress_policy,stress_draw_seeker@1.0.0,red,red,34
canonical,1,stress,stress_policy,stress_information_miser@1.0.0,red,red,34
canonical,1,stress,stress_policy,stress_miner_rush@1.0.0,blue,blue,35
canonical,1,stress,stress_policy,stress_scout_rush@1.0.0,red,red,34
canonical,2,current,current_policy,phase9_behavior_v1|ns=canonical|B002,both,,1024
canonical,2,historical,historical_snapshot,phase9_anchor_v1|H000,blue,blue,256
canonical,2,historical,historical_snapshot,phase9_anchor_v1|H000,red,red,256
canonical,2,rule,rule_policy,basic_heuristic@1.0.0,blue,blue,23
canonical,2,rule,rule_policy,basic_heuristic@1.0.0,red,red,23
canonical,2,rule,rule_policy,strategic_rule_based@1.1.0,blue,blue,77
canonical,2,rule,rule_policy,strategic_rule_based@1.1.0,red,red,77
canonical,2,rule,rule_policy,tactical_rule_based@1.0.0,blue,blue,53
canonical,2,rule,rule_policy,tactical_rule_based@1.0.0,red,red,54
canonical,2,stress,stress_policy,stress_berserker@1.0.0,blue,blue,34
canonical,2,stress,stress_policy,stress_chaos@1.0.0,blue,blue,34
canonical,2,stress,stress_policy,stress_draw_seeker@1.0.0,red,red,35
canonical,2,stress,stress_policy,stress_information_miser@1.0.0,red,red,34
canonical,2,stress,stress_policy,stress_miner_rush@1.0.0,blue,blue,34
canonical,2,stress,stress_policy,stress_scout_rush@1.0.0,red,red,34
canonical,3,current,current_policy,phase9_behavior_v1|ns=canonical|B003,both,,1024
canonical,3,historical,historical_snapshot,phase9_anchor_v1|H000,blue,blue,256
