candidate_id,namespace,learning_rate,initial_kl_beta,iteration,checkpoint_identity,checkpoint_sha256,ewr_random,ewr_basic,ewr_tactical,ewr_strategic,ewr_anchor,selection_score,random_guard_pass,basic_guard_pass,guard_binding,illegal_actions,inference_failures,policy_errors,run_mean_behavior_kl,run_examples_per_second,pass_seconds,status,veto_reason
P9-A,pilot_p9a,0.0001,0.005,4,behavior_B005.pt,a1e63300a58f4f1a9480135536219c55b5a355d2a98690b6f8c6ca0a3bfe8e8e,0.9609375,0.697265625,0.576171875,0.55859375,0.6015625,0.57333984375,True,True,intermediate_diagnostic,0,0,0,0.012947311941556046,1381.5314413563017,546.678,COMPLETE,
P9-A,pilot_p9a,0.0001,0.005,8,behavior_B009.pt,79c1b441e9bbdb45863586efc531778d74f35c5cb2ffd84ae8e65d927bdc58ea,0.98828125,0.783203125,0.640625,0.5546875,0.654296875,0.6046875,True,True,final,0,0,0,0.012947311941556046,1381.5314413563017,779.797,COMPLETE,
P9-B,pilot_p9b,0.0001,0.02,4,behavior_B005.pt,2027af46d14bf14741a0720ace33dce81ca864ff390434234e623c536c03e334,0.9765625,0.634765625,0.552734375,0.546875,0.626953125,0.56494140625,True,True,intermediate_diagnostic,0,0,0,0.012723877501860036,1364.7977030513175,534.979,COMPLETE,
P9-B,pilot_p9b,0.0001,0.02,8,behavior_B009.pt,2090958f39094a3b816d59ce2afb4752a03ae4ba174742af1205658ffa60f42a,0.974609375,0.67578125,0.62109375,0.57421875,0.6484375,0.60546875,True,True,final,0,0,0,0.012723877501860036,1364.7977030513175,726.038,COMPLETE,
P9-C,pilot_p9c,0.0003,0.005,4,behavior_B005.pt,a6235f2a278a5173c28c907121df4272cb1b56edefff6470022d6f86bdcbdc80,0.974609375,0.6953125,0.576171875,0.53515625,0.642578125,0.57099609375,True,True,intermediate_diagnostic,0,0,0,0.029833598071560996,1345.6136388207453,530.612,COMPLETE,
P9-C,pilot_p9c,0.0003,0.005,8,behavior_B009.pt,33a671810e7b7e1d8e973552008078df63ebec66e3e6ae0c0298f24935368d0d,0.986328125,0.7421875,0.685546875,0.689453125,0.70703125,0.6916015625,True,True,final,0,0,0,0.029833598071560996,1345.6136388207453,787.839,COMPLETE,
P9-D,pilot_p9d,0.0003,0.02,4,behavior_B005.pt,0596769983404a03647f1609807a412edb5c7a6ebda5428ea7634299bd254baa,0.97265625,0.703125,0.595703125,0.501953125,0.615234375,0.557421875,True,True,intermediate_diagnostic,0,0,0,0.02776317494398762,1355.2523593286069,547.905,COMPLETE,
P9-D,pilot_p9d,0.0003,0.02,8,behavior_B009.pt,e2c9d14498074cdc2e5965f20d3312cb6f3c1103649c49abe2f1078d91f28900,0.9921875,0.703125,0.6328125,0.599609375,0.689453125,0.6291992187500001,True,True,final,0,0,0,0.02776317494398762,1355.2523593286069,722.728,COMPLETE,
P9-E,pilot_p9e,0.0006,0.005,4,,,,,,,,,,,,,,,,,,VETOED,mean_iteration_or_epoch_kl_max
P9-E,pilot_p9e,0.0006,0.005,8,,,,,,,,,,,,,,,,,,VETOED,mean_iteration_or_epoch_kl_max
P9-F,pilot_p9f,0.0006,0.02,4,behavior_B005.pt,a9d66b3f059fa53d34ce67cacf5a3ef8dcec6188472d48f07c65ebc776f147ce,0.982421875,0.69140625,0.62109375,0.572265625,0.572265625,0.58935546875,True,True,intermediate_diagnostic,0,0,0,0.05333119159336962,1368.058117098307,515.289,COMPLETE,
P9-F,pilot_p9f,0.0006,0.02,8,behavior_B009.pt,beb81c250284f17b884aef774f8e438a0e26b9ddad776d25ffd9766e64d55f53,0.994140625,0.77734375,0.658203125,0.603515625,0.71484375,0.644921875,True,True,final,0,0,0,0.05333119159336962,1368.058117098307,712.776,COMPLETE,
