iteration,games,learner_decisions,collection_seconds,collection_games_per_second,optimizer_updates,examples,examples_per_second,ppo_loss,value_loss,belief_loss,mean_behavior_kl,max_behavior_kl,epoch1_mean_kl,epoch2_mean_kl,kl_beta_after,mean_clip_fraction,epoch1_clip_fraction,epoch2_clip_fraction,mean_policy_entropy,entropy_coefficient,advantage_threshold,advantage_mean,advantage_min,advantage_max,filter_retention,validation_score,strategic_ewr,tactical_ewr,phase8_anchor_ewr,random_ewr,basic_ewr,archive_identity,archive_sha256,train_seconds,checkpoint_seconds,archive_seconds,iteration_seconds,elapsed_run_seconds,rss_mib
1,2048,282414,226.536,9.3034,1104,564828,1276.058,-0.006326,0.640189,1.942063,0.038366,0.066875,0.035098,0.041636,0.02,0.29441,0.280876,0.308141,1.302794,0.005,0.128818,0.002052,-1.970486,1.910095,0.250002,,,,,,,,,442.635,0.185,0.0,675.333,676.235,979.8
2,2048,285187,227.994,9.258,1116,570374,1258.826,-0.004357,0.640999,1.927245,0.037444,0.171054,0.034828,0.039852,0.08,0.280264,0.26614,0.293687,1.289762,0.0049322,0.101261,0.000772,-1.973383,1.921206,0.250001,,,,,,,,,453.1,0.177,0.0,687.193,1364.321,1119.6
3,2048,286137,228.699,9.2304,1118,572274,1246.296,-0.004614,0.639651,1.923545,0.031711,0.04956,0.031715,0.031705,0.2,0.257897,0.252282,0.263493,1.293339,0.00486441,0.08845,-0.000145,-1.875899,1.830027,0.250003,,,,,,,,,459.18,0.17,0.0,694.14,2059.247,1150.5
4,2048,285147,224.736,9.4028,1114,570294,1220.004,-0.003163,0.642391,1.926497,0.028627,0.050949,0.027518,0.029736,0.2,0.239306,0.229186,0.249541,1.267912,0.00479661,0.077963,-0.000272,-1.926441,1.938258,0.250001,,,,,,,,,467.453,0.185,0.0,698.504,2773.578,928.5
5,2048,285215,222.333,9.4838,1116,570430,1244.026,-0.003542,0.643579,1.924939,0.027997,0.048669,0.026811,0.029146,0.2,0.242391,0.230801,0.253478,1.294829,0.00472881,0.073458,0.00044,-1.793306,1.914253,0.250001,0.621191,0.613281,0.642578,0.601562,0.996094,0.726562,canonical|H005,f0909fadc7b50efd2b21edf05c42e28f47e3641a289884dab18ac00fe92c93c3,458.536,0.157,0.171,687.167,3461.172,1099.8
6,2048,276179,233.164,9.0328,1080,552358,1217.681,-0.00213,0.650167,1.933963,0.029209,0.048225,0.027451,0.030962,0.2,0.24491,0.233065,0.256789,1.263536,0.00466102,0.07267,-7.5e-05,-1.798012,1.832013,0.250001,,,,,,,,,453.615,0.166,0.0,693.039,4779.24,1282.1
7,2048,282295,247.9,8.5254,1104,564590,1231.744,-0.003287,0.650556,1.925302,0.030344,0.051203,0.028852,0.031835,0.2,0.25085,0.240613,0.261258,1.267617,0.00459322,0.072227,-0.000918,-1.770232,1.914223,0.250001,,,,,,,,,458.366,0.167,0.0,712.674,5492.913,1290.1
8,2048,280951,231.983,9.12,1098,561902,1253.648,0.00012,0.636589,1.930484,0.028451,0.048463,0.027442,0.029463,0.2,0.242825,0.23651,0.249025,1.270313,0.00452542,0.073202,-0.001621,-1.72359,1.929431,0.250001,,,,,,,,,448.213,0.154,0.0,686.51,6180.216,1290.1
9,2048,269442,221.395,9.5164,1054,538884,1227.101,-0.000591,0.639407,1.93496,0.028592,0.05001,0.027362,0.029803,0.2,0.241433,0.23233,0.249818,1.26618,0.00445763,0.071867,-0.002376,-1.851899,1.930625,0.250002,,,,,,,,,439.152,0.16,0.0,666.614,6847.594,1292.6
10,2048,271563,225.051,9.3994,1062,543126,1261.682,-3.9e-05,0.640439,1.935645,0.028823,0.055344,0.027815,0.029827,0.2,0.240954,0.230325,0.252125,1.286968,0.00438983,0.069872,-0.002234,-1.678677,1.868328,0.250001,0.693848,0.664062,0.708984,0.734375,0.972656,0.771484,canonical|H010,5b23d3b07e9f5cbdf5006181fc522485d4b165daa2bae6926930f014a86d79a7,430.478,0.157,0.16,661.904,7510.617,1292.6
