matchup,candidate,opponent,games,wins,draws,losses,effective_win_rate,ci_lower,ci_upper,red_ewr,blue_ewr,policy_errors,schedule_digest,results_digest
anchor_vs_strategic_rule_based,anchor,strategic_rule_based,1024,450,10,564,0.4443359375,0.41796875,0.47021484375,0.447265625,0.44140625,0,c95857359d95efae64276b1c00154145e4f129621831cf4cfaa92473924c3f20,6378b4738f874056ad7e45ce12568669e8162e930a404bbfc5e20b4dbf704e72
anchor_vs_tactical_rule_based,anchor,tactical_rule_based,1024,475,8,541,0.4677734375,0.44189453125,0.494140625,0.501953125,0.43359375,0,4c29d9fe2bdd5a5a4982bc8f7e25ff09deabe8ae4a3c327e093051d2814756ee,96ef39801033b2be58f715079978955c3a275f687550f4c43ec579ecabdd001e
candidate_vs_basic_heuristic,candidate,basic_heuristic,1024,873,2,149,0.853515625,0.8330078125,0.87353515625,0.8662109375,0.8408203125,0,1780ea9d6af172c243d921d537db7c48edb8c22b2744e4c205125306fd74e3c1,14b304b39950595843ea08b311b404ebeb51bd08c67d1db241cc8d27638fd7a3
candidate_vs_phase8_anchor,candidate,phase8_anchor,1024,862,5,157,0.84423828125,0.82275390625,0.86474609375,0.853515625,0.8349609375,0,32988962c9d59ebd32481299101fea678b8f71e0b5365cdce35d41f92a896756,66c4ad096784457f028aaa97a07348deb79440df221b2ddb513988f957175ddc
candidate_vs_random_legal,candidate,random_legal,1024,1012,0,12,0.98828125,0.9814453125,0.994140625,0.990234375,0.986328125,0,63cfac3360b7c702f3400f38defdca8b504287080c7d3cf169f55dec8de33d11,e4fb708c6e183bc141c3c31cd061c5691a1194093210c183ab3fb18bb1911e19
candidate_vs_strategic_rule_based,candidate,strategic_rule_based,1024,828,4,192,0.810546875,0.787109375,0.8330078125,0.8193359375,0.8017578125,0,dc8fc9900c7b1d4a7584169a2bdc42a58312327cd9a265c79dc0c039a40999ba,ac8c5e3ca43785c5d68a5c105106517c393e49001671dea9f7f0e30ccb9ea777
candidate_vs_stress_berserker,candidate,stress_berserker,128,122,0,6,0.953125,0.9140625,0.984375,0.96875,0.9375,0,63fb2e06f38fdde5cd3db7523b21b4bd9e6cb649f1c937f8018e18ed23f1435a,4a9178bea5bf3a487e0d1b3944eeaeef951aebb687f841f46ecf1a6b3d9a220a
candidate_vs_stress_chaos,candidate,stress_chaos,128,124,2,2,0.9765625,0.94921875,0.99609375,0.9765625,0.9765625,0,b76a199dad1d04611f30af5b0b81845d9cf771d1ab4338edb2d7255e80b12b32,4f0c8c9dca45d9bba20617bd66226793d7c3bda4cc1feb4082f97dce4357e60a
candidate_vs_stress_draw_seeker,candidate,stress_draw_seeker,128,121,7,0,0.97265625,0.953125,0.9921875,0.9765625,0.96875,0,1353a3e172b14cf6a678d644952065e8e50d3db14e99e48dbd558872125e2e85,05ae71e3a2b8c45160c9ea8971d48d86a2cb99e688ef0fb30043779bc94c5031
candidate_vs_stress_information_miser,candidate,stress_information_miser,128,128,0,0,1.0,1.0,1.0,1.0,1.0,0,8b2095a77ccfe50f77189a673189c42c4ec86d12a4c6c0340b42247196ba009f,21bc7645153af0b113edff5a36fde5eb48fc56683dc8f1c305e0b9d05dbcabc5
candidate_vs_stress_miner_rush,candidate,stress_miner_rush,128,101,17,10,0.85546875,0.80859375,0.90234375,0.90625,0.8046875,0,a1294cfb53aede52d9b4eadc42cc04e76e4caf11ffa57e99e310e6b06376922c,7a2f0e795e35bda8eceb3f4a3216fdc4c9d55ed78378a92e9f56e941cd1a671a
candidate_vs_stress_scout_rush,candidate,stress_scout_rush,128,115,8,5,0.9296875,0.890625,0.96484375,0.9296875,0.9296875,0,dbe7d8b70b1485c58e48f40a5a58fce00fbda0b5d615974ca0d051240974deaf,d955f7bb7b4be0c8f1aac49c7ae53b10833a158f5ec505ee77a180cae2301f7b
candidate_vs_tactical_rule_based,candidate,tactical_rule_based,1024,856,3,165,0.83740234375,0.81494140625,0.8583984375,0.83984375,0.8349609375,0,dabcd3b4cbd872cc0905ce7052760681576c1399769748aba7a5146c02aa35f6,d15473b456d766cc234edcdea69129a990339b54edec1e1fef38f88b4e025bb8
